subj,k_bayes,k_bayes_sd,beta_bayes,beta_bayes_sd,alpha_bayes,alpha_bayes_sd,delta_bayes,delta_bayes_sd,delta_ols,logk_bayes,logbeta_bayes
1,5.235872,1.439255,147.96312,81.192154,0.16206849,0.028982034,0.36270407,0.04742015,0.4404278362154933,1.619035,4.8612933
2,15.435386,2.7646863,76.71184,90.1583,-0.025840746,0.028599674,0.10977081,0.046025682,0.03008406346241231,2.72069,3.9069154
3,6.1815658,1.1370178,36.85266,27.676281,-0.037434217,0.027392983,0.08309442,0.048624627,0.01382366383125283,1.8048849,3.4111729
4,2.3873432,0.9384765,117.32783,45.549286,0.0027756318,0.02851794,0.3295047,0.045169532,0.41720579579591244,0.7996052,4.693768
5,1.5382276,0.6685405,31.639677,15.923725,-0.19334868,0.02917143,0.15794514,0.045452405,0.15254896900760856,0.34131557,3.3377035
6,5.0972424,1.3985546,141.08746,74.51929,0.17614114,0.028304456,0.28630802,0.04889481,0.31425437574853965,1.592016,4.8247933
7,5.229006,1.186853,63.975452,36.48591,0.05648575,0.02745267,0.20471275,0.044220433,0.20553916434923503,1.6291637,4.016421
8,12.08329,1.9616605,61.83484,56.269573,0.064994074,0.028500115,0.20910895,0.047442887,0.20808137609245386,2.4788163,3.8034263
9,5.155334,1.146091,21.057476,13.803767,-0.11033596,0.029574772,0.14162484,0.046936195,0.11644510269446676,1.6159894,2.8760567
10,3.954804,1.1837252,141.22263,63.00011,-0.008606213,0.029266324,0.33017284,0.049139366,0.4118335252468651,1.3320682,4.8616304
11,4.4693465,1.1456717,79.76936,44.53982,-0.025480807,0.027755274,0.26412338,0.04726114,0.3022350898881267,1.4651437,4.243089
12,10.048359,1.8371552,112.94407,123.62927,0.14875226,0.02921858,0.19884497,0.04574188,0.14712627220358407,2.2908816,4.3585725
13,2.9705405,0.968122,33.053627,19.100443,-0.028424073,0.027370885,0.21379134,0.04914329,0.22625895718147432,1.0391011,3.3499336
14,2.3216739,0.84620804,62.488228,28.78038,0.20385432,0.028374953,0.36493647,0.047635008,0.44692444763966926,0.7791091,4.043241
15,10.70755,1.7414833,45.688095,36.337334,0.38019976,0.02978579,0.22054088,0.04723994,0.16264724516913637,2.3578346,3.559374
16,18.195234,3.5040414,32.288128,25.00461,0.007304037,0.029257895,0.1277698,0.04745829,0.08122710739632806,2.8828125,3.2294655
17,6.2536016,1.2126751,58.733486,37.433277,0.030181441,0.029555568,0.31562054,0.0504984,0.36532068664202855,1.8146772,3.9023578
18,3.4625793,1.0655901,44.038567,24.408033,0.054483414,0.02758352,0.3170145,0.04438478,0.37411917670944317,1.1978133,3.6533892
19,3.6263666,1.1575868,167.61841,69.09703,-0.108021766,0.028487908,0.3619912,0.04655194,0.48893446082541675,1.2388366,5.0421095
20,2.4451246,1.0445882,195.56487,74.12097,-0.012249559,0.02969734,0.38609236,0.047443196,0.4976169103685401,0.8084598,5.2071953
21,3.5432675,1.085846,68.21333,34.944706,0.16522853,0.029883867,0.21512757,0.050234463,0.17760642128202456,1.2206426,4.1109858
22,1.9745919,0.8994297,100.39049,37.796307,0.017277965,0.02923079,0.36556444,0.0470187,0.47011644064569696,0.58735573,4.542161
23,2.5137904,0.9405037,83.035995,33.534763,0.056937832,0.029237628,0.29950234,0.047332693,0.34762656039024087,0.8542166,4.3421736
24,1.3290259,0.64807147,24.321667,13.964443,-0.040475197,0.02814016,0.25013447,0.044231057,0.2911920496914608,0.17942795,3.0528007
25,3.9298427,1.2368871,138.38689,63.409,0.20362332,0.026173353,0.43831614,0.046754695,0.5436050333382338,1.3206648,4.8335977
26,8.256385,1.3949383,56.914906,44.74821,0.38783163,0.02962056,0.27296215,0.04492109,0.24201107002531486,2.0967858,3.8024538
27,7.3090506,1.2628301,46.64211,33.13327,0.0054545556,0.029685056,0.23903708,0.04730723,0.25874764799555816,1.9743499,3.63129
28,2.9614317,1.0434844,175.104,70.04064,0.024350764,0.030432483,0.36155352,0.048714634,0.46356426944888374,1.0259978,5.091587
29,3.2882848,0.9726925,37.450905,23.192331,0.09883318,0.029330349,0.19434765,0.04940254,0.20665173051984698,1.1487888,3.4617276
30,2.8758225,1.1022615,111.53188,45.541634,-0.05961517,0.030945208,0.23513088,0.045833994,0.28413847191000874,0.98821527,4.637825
31,2.5839972,0.90965945,28.435163,16.27364,-0.08369449,0.028379006,0.20036869,0.0477268,0.2227029004147979,0.8904268,3.2103446
32,14.685607,2.4896386,55.491104,48.924004,0.027213132,0.029909106,0.17313802,0.049657907,0.11595213982520747,2.6726823,3.7040634
33,1.7811795,0.7774191,83.86001,35.132862,-0.05086703,0.027260555,0.28469408,0.048021063,0.34081109107831414,0.4893113,4.3479347
34,8.277819,1.4225718,52.11418,37.494587,-0.032337204,0.029295204,0.19128272,0.047741067,0.1790774432279538,2.0991395,3.7400985
35,28.501034,6.4773254,63.60486,68.21837,0.095728695,0.02871041,0.14327207,0.048077505,0.07664794591948658,3.3246489,3.7517247
36,4.2204185,1.0994602,83.670235,44.602646,0.062476173,0.027848575,0.20549466,0.048047468,0.20716682969075687,1.4070773,4.3059025
37,17.409607,3.1675863,42.00588,34.278275,0.20794152,0.030677658,0.15473512,0.048520308,0.07141770272303748,2.8406837,3.48501
38,5.3855395,1.1696329,42.394638,26.488176,0.023489144,0.031500082,0.3360503,0.04798468,0.414765984972725,1.660649,3.5783134
39,1.211578,0.5681956,15.6635895,8.990298,-0.022231532,0.028608229,0.1100044,0.046354804,0.059937026258042155,0.0915441,2.6081126
40,2.667885,0.9368618,42.169468,23.051636,-0.0537526,0.027699476,0.22094312,0.046635997,0.24053698548741323,0.9233454,3.6102526
41,11.823678,1.9934882,76.11101,76.405205,0.002144665,0.028281119,0.110059835,0.047634028,0.05123083523982421,2.456186,3.9766467
42,3.9156034,0.99824506,22.1537,12.623525,0.13414371,0.02957988,0.07131437,0.049106047,-0.0354276062027698,1.3335501,2.9554882
43,16.961828,2.9175663,34.190987,24.72533,0.047786027,0.029382784,0.123679705,0.048823453,0.04098562223917901,2.8164842,3.3094249
44,5.3506293,1.3675444,177.9088,103.61467,-0.010892927,0.028802898,0.1587346,0.050245076,0.13321486169684915,1.6452043,5.0393524
45,9.498281,1.5457973,45.780056,35.994015,0.0914864,0.029100036,0.20620735,0.047085047,0.19777440482852418,2.2381191,3.5779016
46,6.2559905,1.3459798,102.84661,72.1601,0.048589487,0.027411077,0.25595236,0.048107,0.3120177524723787,1.8111432,4.438037
47,3.6948237,0.9609314,21.839752,13.062588,-0.021366602,0.027531585,0.12725872,0.048684683,0.058637463413983765,1.274227,2.9284894
48,7.199509,1.3619031,99.468025,72.68321,0.0401905,0.029750599,0.2472044,0.04503226,0.27502966705880644,1.956464,4.3830214
49,2.777057,1.1013975,187.55269,71.22409,0.06510114,0.029339287,0.34219202,0.045940857,0.44097360542647435,0.94822174,5.1662083
50,7.0696025,1.4281644,70.94181,51.208485,0.17740908,0.031117996,0.20090583,0.047121726,0.1577575716651279,1.9355375,4.060488
51,1.5126506,0.71783465,46.176773,22.07014,0.15592325,0.027999867,0.35802358,0.048312563,0.42586035061018607,0.3114513,3.7328217
52,10.238069,1.6604987,42.45508,33.891224,-0.007834962,0.027467193,0.058881234,0.049013115,-0.027409996244579057,2.313074,3.498045
53,9.2638235,1.5912524,67.14505,60.274544,0.038858682,0.028749514,0.22480543,0.04544351,0.2287474073918667,2.211643,3.9277318
54,3.5792975,1.032168,50.525654,27.817371,-0.027337918,0.029570464,0.25711182,0.049617123,0.29075486603899353,1.2346536,3.792256
55,12.526683,1.9051497,30.215021,22.187422,0.013769774,0.029036352,0.15553924,0.04922463,0.12063326926308718,2.5163302,3.1815705
56,5.577398,1.2000769,64.7835,43.021545,0.038770344,0.027433224,0.29757807,0.04906777,0.33884280570263653,1.6960508,3.989081
57,6.164232,1.2106384,33.607113,22.593405,-0.041989803,0.027597707,0.1509385,0.04601349,0.12679473356842746,1.7999679,3.3345697
58,5.8275332,1.2417363,34.795757,22.309362,-0.14615467,0.029304912,0.15787105,0.05143542,0.13853396855879468,1.7404896,3.3720603
59,7.2959633,1.3890665,31.4622,23.046055,0.00081749924,0.029612705,0.13469896,0.048323825,0.08348316203246514,1.9693794,3.2521307
60,2.2423875,0.8609617,26.411615,14.716066,-0.13089393,0.029644512,0.24683379,0.050108194,0.3024478578457787,0.7382707,3.1380754
61,6.992109,1.2658724,45.17616,33.740902,0.029207876,0.030120049,0.20822076,0.048612975,0.21313129797222038,1.9286455,3.5924823
62,1.0913101,0.5273517,25.85339,16.33373,-0.23637198,0.02820335,0.21474989,0.045843802,0.27124178148453815,-0.017418398,3.0893133
63,2.475748,0.9482953,95.32562,34.604713,-0.04747016,0.029777609,1.1161406,0.046461806,1.7301375438593425,0.8382544,4.495224
64,10.154599,1.7224413,43.44072,34.549538,0.014277374,0.029713916,0.2079895,0.047532964,0.18699336486151905,2.3036947,3.5221336
65,9.314163,1.4674306,38.274292,28.49746,0.12769999,0.031779513,0.19578484,0.04603182,0.1614188292656565,2.2193074,3.4154825
66,1.1143068,0.58172643,17.045107,10.045322,-0.10953399,0.028347576,0.05032953,0.048548006,-0.04275137089416783,-0.011519226,2.6794791
67,1.9418409,0.8013713,31.740412,17.636597,-0.12398996,0.02808339,0.082060374,0.047385447,0.008332928611388775,0.5845125,3.3234115
68,2.9869835,0.9779968,37.476414,19.162922,-0.12646791,0.028397359,0.16446476,0.043580633,0.17267042157486087,1.042902,3.5059059
69,1.9992079,0.87303156,45.435688,20.89706,0.022377817,0.030472701,0.2382905,0.046247914,0.26280009040432256,0.6039446,3.7192671
70,11.633304,1.9825071,41.877052,34.432087,-0.01820525,0.028575955,0.1496036,0.05011377,0.12698593597197272,2.4395268,3.4859655
71,5.2819757,1.128426,33.164776,20.865416,-0.12902331,0.027095405,0.14721955,0.046906576,0.10469341705688219,1.6419702,3.3348851
72,29.348932,6.5957446,66.05918,67.619835,0.40050435,0.027738018,0.13877502,0.044448014,0.014442884243936168,3.3542964,3.812653
73,6.4767146,1.4144651,99.83484,71.426765,0.02642703,0.027415905,0.31573322,0.047535792,0.4012030856311232,1.8447394,4.3981557
74,16.698183,3.1154304,68.216774,69.5694,-0.09429358,0.028753724,0.07731063,0.049735386,0.0050587674926872534,2.79819,3.8448596
75,5.738787,1.2595236,82.31354,50.465797,-0.09300551,0.028276041,0.33052057,0.04700227,0.44201860073281407,1.7236497,4.2562485
76,4.45667,1.0343995,26.254478,16.238024,-0.051617213,0.02892794,0.08841872,0.048234213,0.020954281402795448,1.4678208,3.1124399
77,21.391342,4.038126,30.65957,23.790228,0.5160678,0.028099308,0.12770748,0.046679847,-0.03137488842861092,3.0456119,3.179638
78,3.1751034,1.0851996,118.00542,53.304214,0.068116486,0.027557965,0.33337277,0.047379266,0.411212612283939,1.1000065,4.68053
79,1.5706098,0.7759265,25.50026,14.95,0.18785465,0.028931504,0.24068415,0.049996868,0.2305774130586451,0.34122702,3.0874903
80,9.128472,1.6093181,66.4671,53.74645,0.16731817,0.027230226,0.23427555,0.050404835,0.2387002794985448,2.1960406,3.9400134
