subj,k_joint,beta_joint,alpha_joint,delta_joint
1,7.2677445,7.2523437,0.1861602,0.2724853
2,14.81786,6.417903,-0.0817131,0.27186617
3,6.8648977,7.123366,-0.10351252,0.2720656
4,5.1838765,6.498223,0.039919678,0.27286708
5,2.9256876,6.2914896,-0.26424938,0.2722339
6,7.2116756,6.2088037,0.24026737,0.27260798
7,6.2582746,6.8779764,-0.012355944,0.27226546
8,11.6860485,6.6641026,0.04372753,0.27215844
9,5.6403213,7.4352913,-0.1652671,0.27182627
10,6.3894663,6.634248,0.013036451,0.272772
11,6.1152706,7.416883,-0.031630676,0.27233478
12,10.130789,7.291728,0.11266331,0.2717938
13,4.160936,7.4938626,-0.079784304,0.27275988
14,4.409788,6.515028,0.23743042,0.27323914
15,10.635726,5.861486,0.32147962,0.2722985
16,16.68962,7.4606843,-0.07106618,0.27172008
17,7.104149,6.0090365,0.038304176,0.27242163
18,4.809937,6.2729096,0.0022424478,0.27237725
19,6.3662815,6.6445804,-0.06437371,0.273105
20,5.9726806,6.024886,0.060487185,0.27307782
21,5.363143,6.5566173,0.113377966,0.27271193
22,4.5364933,7.1349087,0.03450371,0.27283472
23,4.649529,8.241384,0.06962584,0.27294064
24,2.298536,6.90715,-0.08346792,0.2724191
25,6.4949174,6.3874063,0.24087387,0.27287096
26,8.461641,7.0121765,0.35007218,0.27223048
27,7.7532635,6.615601,-0.0404089,0.27242467
28,6.250288,7.506086,0.07823383,0.2729597
29,4.645555,6.632384,0.09801476,0.2721677
30,5.3754163,7.0761833,-0.04854692,0.27262205
31,3.752659,7.355295,-0.16035193,0.27221373
32,13.59879,6.2235703,-0.013190543,0.27206072
33,4.068445,7.061891,-0.021317903,0.27283975
34,8.488987,8.030369,-0.05024208,0.27217686
35,23.389116,6.7065444,0.08618811,0.27166295
36,5.727448,7.4733796,0.040708613,0.27282134
37,15.566571,7.2776203,0.1621377,0.27174214
38,6.102728,6.380359,0.024742976,0.27279928
39,1.9317218,7.4677334,-0.09210631,0.27165964
40,4.119249,6.1447587,-0.10160321,0.27245075
41,11.236614,7.217858,-0.0010211831,0.2713701
42,4.820216,6.3835897,-0.010316537,0.27205297
43,15.615486,8.105792,-0.010437447,0.2713574
44,7.660118,6.5326557,-0.04976026,0.27235293
45,9.535727,6.413018,0.053535398,0.2718738
46,7.651634,7.4086385,0.11366176,0.27301556
47,4.4694476,7.3697066,-0.065638214,0.2720016
48,8.229234,7.091574,0.030963492,0.27252364
49,6.038542,6.5536485,0.111734495,0.27327397
50,7.8631415,6.8040338,0.13656643,0.27243868
51,2.9413695,7.1585207,0.17529689,0.27273062
52,10.070663,7.365104,-0.075635724,0.27199775
53,9.43724,6.3135095,0.028330423,0.27264443
54,5.179555,6.958069,-0.06147853,0.2727507
55,11.774169,7.1501803,-0.038627498,0.2720544
56,6.797878,7.2937174,0.053477284,0.27252954
57,6.6779656,6.8350453,-0.0905059,0.27177364
58,6.6065364,5.960349,-0.15584323,0.2723482
59,7.4691825,6.7317915,-0.026343334,0.27207518
60,3.9000242,6.815721,-0.122055225,0.27279466
61,7.3418045,8.19153,0.0080487365,0.2722191
62,2.0510921,6.9222207,-0.24778228,0.2723236
63,4.999449,6.678237,0.58441055,0.2748106
64,9.841074,6.76798,-0.04057893,0.27193195
65,9.139485,6.6911917,0.07353315,0.27201506
66,1.8511229,7.1557903,-0.2138269,0.27207768
67,3.340889,5.816742,-0.20028558,0.27228042
68,4.369776,7.6869006,-0.14851409,0.27214417
69,3.5641592,7.5932765,-0.024400022,0.27243623
70,11.43824,7.538772,-0.0068689818,0.27188066
71,6.010467,6.5232472,-0.14415558,0.27192977
72,23.739872,7.2831774,0.34563458,0.2720081
73,7.7072926,6.5057726,0.06521261,0.27276486
74,15.564797,5.931141,-0.18913072,0.27197573
75,7.049358,7.020198,-0.08471435,0.27276224
76,5.197573,6.890893,-0.12580585,0.2714746
77,18.085903,7.6559772,0.49581078,0.2718902
78,5.9112506,6.181824,0.09477849,0.27280003
79,2.1344004,7.2212067,0.07797143,0.27215803
80,9.585157,7.289357,0.13658608,0.27241716
81,5.0362153,6.618877,-0.0732481,0.27282256
82,12.088819,7.143242,-0.09247368,0.27210042
83,1.1791462,6.5078225,-0.27367762,0.27185664
84,7.1737437,6.650656,-0.08990422,0.2724664
85,7.409144,6.612562,-0.037234023,0.27227482
86,2.7978566,6.1141124,-0.03587985,0.27239165
87,4.322557,6.4456377,0.025620233,0.2727134
88,8.564726,6.732601,0.14246745,0.2723458
89,10.305403,7.7889624,0.07716569,0.27225384
90,3.182313,6.792767,0.02654102,0.27232
91,1.4371332,6.528887,0.056260098,0.27186015
92,3.563599,7.073421,-0.046849046,0.27293393
93,3.5592415,6.265921,-0.03531577,0.2723442
94,7.6371284,7.54707,0.045293935,0.2727007
95,7.081745,7.428866,-0.0035941713,0.2727273
96,2.2484252,7.0828156,-0.2170178,0.2721722
97,2.4107656,6.959659,-0.2612752,0.27252805
98,29.823185,6.6874447,0.0510496,0.2721576
99,8.140238,6.5600023,-0.028591253,0.27196482
100,4.622464,7.7307034,-0.08700034,0.272918
101,1.8791877,7.329757,0.2643609,0.27243346
102,6.314856,7.591231,-0.016664902,0.27297825
103,3.360212,6.764416,-0.116687365,0.27249905
104,10.128053,7.17068,0.09745023,0.27216583
105,6.375562,6.6018047,0.04929736,0.27306044
106,3.7194266,6.6993074,-0.14789797,0.27246773
107,3.819959,6.460413,0.11925758,0.27252346
108,7.6071763,6.596272,0.08488601,0.27277768
109,7.4503765,6.414249,0.10670164,0.27174267
110,20.662792,7.0255375,0.10344789,0.271691
111,7.6452594,7.022146,-0.11263054,0.2723892
112,6.703488,7.460894,0.13686828,0.27245015
113,5.4620256,6.4700527,-0.1165538,0.27220276
114,6.927731,6.565956,0.019944783,0.2723907
115,5.7496233,8.081323,0.0071118465,0.27248737
116,6.4317393,6.854452,0.07704549,0.27239946
117,10.747727,7.3087244,0.09531142,0.27187312
118,8.324202,7.088247,-0.14103033,0.27198297
119,12.280566,6.1926217,-0.10314933,0.2725921
120,5.813397,7.288388,0.028313965,0.27275395
