subj,k,beta,alpha,delta
1,9.55377,6.6773343,0.24271905,0.23289075
2,16.621996,7.1478863,-0.021831483,0.04866024
3,9.106928,7.384219,-0.0008472726,0.052759692
4,6.7441106,6.956978,0.1218317,0.19072145
5,4.006432,7.1135383,-0.078444056,0.063945726
6,9.534908,7.4616838,0.24750546,0.20992187
7,8.7609,6.8112717,0.13147295,0.08019866
8,14.688461,7.322717,0.120226175,0.0877862
9,7.401174,7.169252,-0.0043925494,0.05538799
10,8.587539,8.466072,0.09971148,0.17061672
11,8.181495,6.828543,0.06580837,0.14518404
12,13.236539,6.608883,0.18970604,0.110304154
13,5.3666496,7.653765,0.05632624,0.10854268
14,5.7756104,7.440968,0.33669934,0.21188977
15,13.79573,7.6756816,0.39713895,0.13846779
16,18.231998,7.366921,-0.009508878,0.068174526
17,9.398159,6.6964817,0.103180334,0.19299176
18,6.2985287,6.377373,0.13470566,0.17095798
19,8.654341,7.2738447,-0.010682978,0.2056919
20,7.7093744,7.8102007,0.093405426,0.21482334
21,7.063756,6.480543,0.26202863,0.13599192
22,5.9039235,6.934573,0.12602846,0.22368802
23,5.906188,7.7447224,0.19255716,0.13527678
24,3.2410588,6.823192,0.09893676,0.13694793
25,8.692748,6.32373,0.3063803,0.23588848
26,11.31322,6.658428,0.42247912,0.17219517
27,10.819126,7.0948358,0.034982663,0.1466312
28,8.263867,7.21217,0.12785727,0.21860245
29,6.1269975,6.7567067,0.2142387,0.1345134
30,6.8435345,7.1231747,0.05624052,0.1456564
31,4.93431,7.013576,0.021827191,0.081217274
32,16.194084,6.980671,0.044368133,0.08746152
33,5.227054,6.869337,0.032073636,0.19768846
34,11.144856,7.293235,0.022314645,0.10652314
35,19.209959,7.3617864,0.11369552,0.10114051
36,7.9179935,6.601979,0.1530897,0.1362044
37,17.38095,6.8698435,0.21248862,0.0962469
38,8.134774,6.565402,0.11612343,0.1849582
39,2.9595554,6.889713,0.101857655,0.048844464
40,5.428994,7.317749,0.031844582,0.10346127
41,14.462734,7.4362326,0.051667232,0.07621218
42,6.4228578,6.759133,0.19732082,0.03214127
43,17.481682,7.3028135,0.0519564,0.07787396
44,9.985922,7.5211945,0.03965598,0.05412556
45,12.649672,6.745668,0.12027294,0.13287182
46,10.132284,7.1726594,0.14592373,0.16595975
47,5.9120946,7.1035194,0.051542234,0.07799127
48,11.041985,8.10379,0.10123714,0.13832624
49,8.05566,7.0155253,0.16002406,0.22160985
50,10.848393,6.8895774,0.22089389,0.13431242
51,4.133566,7.114289,0.3033688,0.21465492
52,13.019935,6.6071253,0.036661018,0.0175521
53,12.683638,7.1010685,0.10212719,0.1250253
54,6.6427264,7.2350163,0.058640577,0.13607012
55,14.657533,7.3505754,0.05505371,0.11209904
56,8.749179,7.154697,0.117742315,0.16640455
57,8.964669,7.0915904,0.018557236,0.08654428
58,8.721987,6.800845,-0.051649936,0.02834367
59,9.9653015,7.0351467,0.04997816,0.07470316
60,4.70285,6.806947,0.0079082325,0.072371274
61,9.706661,8.147482,0.08805795,0.12413403
62,3.0021842,7.319835,-0.09570246,0.12166969
63,6.243848,6.5965915,0.12063007,0.8489948
64,12.670118,7.0700803,0.042242624,0.12851575
65,12.103798,7.2185082,0.17534,0.11296122
66,2.842384,7.4740067,-0.00024314225,-0.0008979291
67,4.4119873,7.0927696,-0.043076478,0.019343063
68,5.756355,7.065674,-0.027107686,0.09258861
69,4.7269936,6.7250257,0.13259774,0.13248067
70,14.398029,6.87055,0.015442707,0.08282703
71,7.897803,6.465222,-0.05421201,0.08074418
72,19.528318,6.923235,0.39334154,0.084477544
73,10.415733,6.8507075,0.10104904,0.19628847
74,17.052946,7.0091805,-0.0657162,0.026842192
75,9.335666,7.1065536,-0.015680872,0.21469927
76,6.794926,6.6911974,0.040896013,0.0011603311
77,18.327637,7.355099,0.5558738,0.05960597
78,7.991374,6.356081,0.16620529,0.1931968
79,3.592741,7.1389513,0.34792724,0.13918479
80,12.565627,7.089154,0.20423487,0.13924974
81,6.326511,6.7762485,0.029582292,0.19512358
82,14.848539,6.934581,-0.0012642443,0.049961045
83,2.1331391,6.9088306,-0.054403387,-0.0030025765
84,9.857921,7.3838854,-0.027244918,0.15467864
85,9.817698,7.1889663,0.014341705,0.1777218
86,3.829775,6.907223,0.060326904,0.20149465
87,5.6065416,6.858149,0.09028791,0.23721358
88,11.235044,6.972415,0.22144356,0.16236643
89,13.140867,7.2155976,0.14586109,0.11180537
90,4.4086895,7.245638,0.15788063,0.14468992
91,2.3908641,6.654804,0.2764226,0.13173015
92,4.522863,6.5571294,0.08056888,0.2106936
93,4.6562686,6.9051156,0.16168551,0.07464067
94,10.147001,6.8320413,0.062342837,0.18883412
