term,beta,se,z_stat,p,affect,aic,model
Intercept,4.401822817016908,0.07607332878469002,57.862892124457524,0.0,anxiety,21594.391722720116,dist_x_z
dist_safety_z,0.22499130414990137,0.023926428353811112,9.403463852726006,5.279574312827162e-21,anxiety,21594.391722720116,dist_x_z
z_z,-0.08664881002501724,0.07608552427846019,-1.1388343689122415,0.2547722438809792,anxiety,21594.391722720116,dist_x_z
dist_safety_z:z_z,0.045794621786194506,0.023441064476598484,1.9536067498944796,0.050747741763311704,anxiety,21594.391722720116,dist_x_z
p_threat_z,0.5749379590437433,0.02419008521980327,23.76750448870139,7.243675152390342e-125,anxiety,21594.391722720116,dist_x_z
Group Var,0.4940226712792548,0.0467222489492593,10.573606416415593,3.950061144796122e-26,anxiety,21594.391722720116,dist_x_z
Intercept,4.40146152008665,0.07601448576882977,57.90293094229544,0.0,anxiety,21593.428157001006,threat_x_beta
p_threat_z,0.5750875352721979,0.02418870434606444,23.775045039391127,6.05306099222787e-125,anxiety,21593.428157001006,threat_x_beta
beta_param_z,0.10182357106485439,0.0760011565773315,1.3397634411161687,0.18032226480376745,anxiety,21593.428157001006,threat_x_beta
p_threat_z:beta_param_z,0.05026589995891843,0.024183156536324187,2.0785499975330675,0.0376587309327474,anxiety,21593.428157001006,threat_x_beta
dist_safety_z,0.22601442518045067,0.023920678340772872,9.44849564718273,3.437351330586484e-21,anxiety,21593.428157001006,threat_x_beta
Group Var,0.49323211879365964,0.046655050403726216,10.571891242759573,4.0229867686434027e-26,anxiety,21593.428157001006,threat_x_beta
Intercept,3.168480061045791,0.07759322397976012,40.83449428357657,0.0,confidence,21680.583294892487,dist_x_z
dist_safety_z,-0.2831804984914192,0.024716575299259042,-11.457109047785776,2.1662529305634077e-30,confidence,21680.583294892487,dist_x_z
z_z,-0.19815600090731325,0.07760211202761819,-2.553487214842691,0.010665019402536691,confidence,21680.583294892487,dist_x_z
dist_safety_z:z_z,-0.05613968824342912,0.024686203403876103,-2.2741321265551244,0.022958043606408175,confidence,21680.583294892487,dist_x_z
p_threat_z,-0.5856674062297266,0.024401240756006696,-24.001542056239767,2.679575589240857e-127,confidence,21680.583294892487,dist_x_z
Group Var,0.5067712954533963,0.04780703162242079,10.600350581392886,2.968652682067339e-26,confidence,21680.583294892487,dist_x_z
Intercept,3.16862759350669,0.07834949621689746,40.44222039073327,0.0,confidence,21689.27519110166,threat_x_beta
p_threat_z,-0.5856184015941535,0.024408601643406344,-23.992296246612327,3.3464943349218984e-127,confidence,21689.27519110166,threat_x_beta
beta_param_z,-0.06607576561944598,0.07833919573263644,-0.8434572885450052,0.3989727435205128,confidence,21689.27519110166,threat_x_beta
p_threat_z:beta_param_z,-0.0365946000555646,0.02441637029588102,-1.498773143268474,0.13393249412597558,confidence,21689.27519110166,threat_x_beta
dist_safety_z,-0.2834261164881896,0.02472375301732917,-11.463717352682373,2.0071119617374886e-30,confidence,21689.27519110166,threat_x_beta
Group Var,0.5174407415713875,0.04871815685739815,10.621106686896571,2.3772585639883232e-26,confidence,21689.27519110166,threat_x_beta
