vigor,affect,r,p,n,p_fdr,sig
tonic_vigor,trait_anx,-0.12096139299570569,0.03851993038257382,293,0.196108611251393,False
tonic_vigor,trait_conf,0.009748560014650324,0.8680317303462398,293,0.899686956445696,False
tonic_vigor,anx_threat_slope,0.12416241705400614,0.03363164427625938,293,0.196108611251393,False
anticipatory_mobilization,trait_anx,-0.0614720465954662,0.2943041642543459,293,0.6503108401594179,False
anticipatory_mobilization,trait_conf,-0.06493922786114752,0.2678623068068763,293,0.6503108401594179,False
anticipatory_mobilization,anx_threat_slope,0.1205304927018737,0.039221722250278604,293,0.196108611251393,False
reactive_spike,trait_anx,-0.015100292401100363,0.7968814530968633,293,0.899686956445696,False
reactive_spike,trait_conf,-0.023258918816975768,0.6917506939041608,293,0.8646883673802009,False
reactive_spike,anx_threat_slope,-0.06031806531485275,0.30347839207439503,293,0.6503108401594179,False
terminal_persistence,trait_anx,0.037429389141679474,0.5233611253443747,293,0.8646883673802009,False
terminal_persistence,trait_conf,-0.06569178511647174,0.26234460080964594,293,0.6503108401594179,False
terminal_persistence,anx_threat_slope,0.03450028142502717,0.5563977477698877,293,0.8646883673802009,False
onset_threat_mod,trait_anx,-0.03167108541781215,0.5892385674981234,293,0.8646883673802009,False
onset_threat_mod,trait_conf,-0.027270720745775745,0.6420097757020884,293,0.8646883673802009,False
onset_threat_mod,anx_threat_slope,-0.0073958309723556595,0.899686956445696,293,0.899686956445696,False
