subj,event_idx,rating,p_threat,dist_safety,pre_threat,pre_effort_H,pre_term_mean,pre_onset_slope,fol_threat,fol_onset_slope,fol_term_mean
1,15,4,0.5,7.0,0.9,0.8,0.2525576651096344,0.3621174217230398,0.5,0.3954865645059376,0.22513656318187714
1,17,0,0.1000000014901161,5.0,0.5,0.8,0.22513656318187714,0.3954865645059376,0.9,0.4440075390758929,0.3747994601726532
1,20,3,0.5,4.0,0.9,0.8,0.28485235571861267,0.27783115611884973,0.9,0.4329994839543371,0.2717466950416565
1,26,3,0.1000000014901161,9.0,0.1,0.6,0.18173536658287048,0.6078791056077886,0.5,0.4937750561776763,0.2321772277355194
1,28,1,0.1000000014901161,9.0,0.5,0.6,0.2321772277355194,0.4937750561776763,0.1,0.5885653932545077,0.06301478296518326
1,36,3,0.1000000014901161,7.0,0.1,0.6,0.06408023834228516,0.6553037863877856,0.1,0.4655102599044873,-0.05933692306280136
1,40,4,0.1000000014901161,4.0,0.9,0.6,0.06896521151065826,-0.05402020081502342,0.5,0.07580422404974688,0.11972280591726303
1,44,0,0.8999999761581421,5.0,0.5,0.8,-0.0405571274459362,0.16919908036762288,0.9,0.19013695433478117,0.3741509020328522
1,46,0,0.8999999761581421,7.0,0.9,0.6,0.3741509020328522,0.19013695433478117,0.1,0.46949213075545726,0.03314328193664551
1,5,7,0.8999999761581421,5.0,0.9,1.0,0.16777262091636658,0.14438257923036737,0.1,0.37703241436911716,0.09577108174562454
1,50,0,0.8999999761581421,9.0,0.5,1.0,0.0459229052066803,0.3751799955557664,0.1,0.4927410537367001,0.09771890938282013
1,52,1,0.1000000014901161,7.0,0.1,0.8,0.09771890938282013,0.4927410537367001,0.5,0.34914756566786326,0.28713685274124146
1,56,0,0.8999999761581421,7.0,0.1,0.6,0.15055343508720398,0.430755016872515,0.5,0.18071574780789185,0.2735070586204529
1,58,7,0.5,9.0,0.5,0.8,0.2735070586204529,0.18071574780789185,0.1,0.03011672720249507,-0.05271460860967636
