term,beta,se,z_stat,p,label,aic,p_fdr,sig
rating_z,0.0016765219028529968,0.003983629186410959,0.42085290181425117,0.6738624989634157,M1_+anxiety,216.0822561187888,0.7412487488597572,False
pre_threat_z,0.004793890064223157,0.0033053713768119233,1.4503332659844506,0.14696560674215892,M1_+anxiety,216.0822561187888,0.26943694569395804,False
pre_effort_H_z,0.015051286900783513,0.003270217910500829,4.602533321236208,4.1738276013124995e-06,M1_+anxiety,216.0822561187888,2.2956051807218748e-05,True
anx_residual_z,0.0026914829285204322,0.003268347965184716,0.8234995040891611,0.4102239990735178,resid_anxiety,235.02475672725996,0.5013848877565217,False
pre_threat_z,0.005379420230375977,0.003293228928924107,1.6334789795902303,0.10236829815540507,resid_anxiety,235.02475672725996,0.22521025594189117,False
anx_residual_z,0.000908128011521029,0.0027667859292932503,0.3282248915271164,0.7427416287043864,resid_anxiety_onset,-1252.8664289005173,0.7427416287043864,False
pre_threat_z,0.014436358846106516,0.0027886946156465055,5.176744260597255,2.2579138166219333e-07,resid_anxiety_onset,-1252.8664289005173,2.4837051982841267e-06,True
rating_z,0.0065571261688291355,0.003391800624510184,1.9332286577947257,0.053208035909998355,anx→next_onset,-1119.0713649642203,0.14632209875249547,False
fol_threat_z,0.010492888822113565,0.0028345083028132106,3.701837391585524,0.00021404378646297582,anx→next_onset,-1119.0713649642203,0.0007848272170309115,True
rating_z,0.004058699874878297,0.003938109302930949,1.0306214385308194,0.30271837858476747,anx→next_term,322.5043335575465,0.41623777055405525,False
fol_threat_z,-0.004490036233645688,0.0033194273947384097,-1.3526538464925602,0.17616624150172733,anx→next_term,322.5043335575465,0.2768326652170001,False
