Step,Claim,Model,Sample,Key predictor,Stream,beta,SE,p,CI_lo,CI_hi,N_obs,N_subj
1A,Threat scales anticipatory vigor,onset_slope_norm ~ threat_c + C(choice) + (1|subj),All trials,threat_c,norm,0.02971303561111964,0.004443859481458228,2.2886319674355533e-11,0.021003071027461514,0.03842300019477776,23556,293
1A,Threat scales anticipatory vigor,onset_slope_resid ~ threat_c + C(choice) + (1|subj),All trials,threat_c,resid,0.029731821762712964,0.004443646038054178,2.2186003379623956e-11,0.02102227552812678,0.03844136799729915,23556,293
1B,Attack triggers phasic spike,encounter_spike_norm ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,norm,0.014680887048420703,0.005762729396904874,0.010847983636656948,0.0033859374304871515,0.025975836666354255,20502,293
1B-check,Manipulation check (expect n.s.),pre_encounter_vigor_norm ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,norm,-0.02962499933051514,0.006050226902386568,9.755345637821989e-07,-0.04148344405919281,-0.017766554601837466,20502,293
1B,Attack triggers phasic spike,encounter_spike_resid ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,resid,0.002360268250873057,0.0062770967849397575,0.7069074378153725,-0.009942841447608868,0.014663377949354982,16129,293
1B-check,Manipulation check (expect n.s.),pre_encounter_vigor_resid ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,resid,-0.0030088495319574703,0.005113002431251833,0.5562167345192892,-0.013030334297211062,0.007012635233296122,16129,293
1B-corr,Tonic-phasic tradeoff,"Pearson r(pre_encounter_vigor_norm, encounter_spike_norm)",Attack trials,r,norm,-0.3509029999954118,,5.905095657530873e-293,,,10186,293
1B-corr,Tonic-phasic tradeoff,"Pearson r(pre_encounter_vigor_resid, encounter_spike_resid)",Attack trials,r,resid,-0.4817498028278351,,0.0,,,7892,293
1C,Terminal vigor predicts escape,escaped ~ terminal_mean_norm_z + threat_c + startDistance_z + C(choice) + (1|subj),Attack trials,terminal_mean_norm_z,norm,0.09043218275471505,0.004620305911787051,2.639409653168611e-85,0.08137638316761243,0.09948798234181767,11671,293
1C,Terminal vigor predicts escape,escaped ~ terminal_mean_resid_z + threat_c + startDistance_z + C(choice) + (1|subj),Attack trials,terminal_mean_resid_z,resid,0.06976318847382756,0.004638195382669862,3.9541153696075074e-51,0.06067232552379463,0.0788540514238605,11638,293
