subj,k,beta,alpha
1,5.04685,133.57523,0.7252699
2,15.196227,52.6085,0.66683894
3,6.0461254,29.181305,0.34048268
4,2.2686858,111.23612,0.7953145
5,1.377741,27.923876,0.24332698
6,4.9618506,130.27953,0.62070155
7,5.0615306,55.966194,0.6418693
8,12.054357,43.281662,0.48115176
9,5.0882254,17.31228,0.2796844
10,3.8071651,132.68977,0.49967152
11,4.307698,70.5662,0.43045953
12,10.032255,71.30135,0.73734015
13,2.821067,28.404907,0.54919624
14,2.2552738,56.18524,0.6871863
15,10.585691,35.882965,0.81027985
16,17.97547,24.679958,0.2926229
17,6.1239333,48.656742,0.8179998
18,3.2885807,37.51323,0.6115383
19,3.4335585,152.25374,0.49604255
20,2.2503123,178.3379,0.58705693
21,3.3508954,59.42791,0.81557107
22,1.8242534,92.09757,0.80386335
23,2.3733487,75.96547,0.592082
24,1.1596656,20.219975,0.6879298
25,3.716404,125.51857,0.8001704
26,8.0099745,43.668743,0.6403839
27,7.162038,37.793823,0.34267768
28,2.8440223,165.0292,0.62708575
29,3.1185586,31.172152,0.6715052
30,2.7627308,98.89932,0.4904068
31,2.4953992,24.965277,0.41176528
32,14.512806,38.38218,0.8201186
33,1.6383514,76.09903,0.54115134
34,8.222317,42.008667,0.5820591
35,28.025763,43.610466,0.2854009
36,4.1431704,72.57561,0.7515288
37,17.086575,32.48994,0.8238889
38,5.290704,34.483505,0.6268926
39,1.10711,14.27437,0.70533943
40,2.4951327,36.74757,0.5834399
41,11.756099,54.71864,0.49274284
42,3.8187613,18.392277,0.5238495
43,16.894075,26.49058,0.37819058
44,5.2093506,152.38477,0.45536947
45,9.415349,35.18792,0.6867326
46,6.1213636,85.41447,0.6794166
47,3.5412862,19.198082,0.70835394
48,7.0144935,77.16686,0.43884873
49,2.5800316,175.12244,0.7496479
50,7.266561,53.438137,0.7849211
51,1.3421887,41.769733,0.7724692
52,10.16143,33.116558,0.18677764
53,9.094623,52.355335,0.59155643
54,3.4174755,45.030525,0.6010665
55,12.33842,24.158905,0.6165586
56,5.3867435,55.722385,0.64497083
57,6.074785,27.82669,0.81826085
58,5.731246,28.475616,0.1985614
59,7.1690083,25.8322,0.55784696
60,2.3708274,23.215866,0.2703867
61,6.8952637,35.42746,0.51918536
62,0.9958568,21.354681,0.29459962
63,2.2594879,86.46273,0.89287704
64,10.1104355,32.723644,0.28489387
65,9.240917,30.59695,0.6962148
66,0.9994911,14.450044,0.50092304
67,1.8122523,28.13142,0.4582505
68,2.844103,32.94099,0.33337048
69,1.8609798,40.01346,0.3642999
70,11.435069,33.095814,0.40274444
71,5.1577673,27.365347,0.30324084
72,28.652613,46.3115,0.81817317
73,6.319622,77.880936,0.6024893
74,16.62395,46.16762,0.30086866
75,5.6527815,69.23437,0.5387046
76,4.307872,21.849905,0.42820865
77,21.30145,23.046143,0.58646834
78,2.9997604,105.78502,0.66286474
79,1.1338214,17.232883,0.5678763
80,9.005615,51.886494,0.6886919
81,2.855282,62.50397,0.41148552
82,12.208596,54.55041,0.49836475
83,0.6259044,9.943479,0.32266754
84,5.0352,108.771416,0.6136646
85,6.0326138,74.43999,0.7297509
86,1.3679055,27.841318,0.80712795
87,1.6040419,106.036415,0.78487766
88,7.7259665,66.94496,0.7136424
89,9.930598,76.81842,0.60449535
90,1.9622209,23.821714,0.7982687
91,0.7281161,12.338399,0.75472575
92,1.641634,57.99712,0.7912018
93,2.2436,23.623363,0.6894537
94,6.0285954,81.990654,0.5043126
95,5.103677,107.985794,0.6554093
96,1.1820991,18.586248,0.30820906
97,1.180283,21.202642,0.4398968
98,39.650734,41.188927,0.6482889
99,6.6514874,97.906456,0.6173367
100,2.8057404,45.759636,0.47733232
101,0.9960399,16.41864,0.7559686
102,3.8936644,133.67468,0.54277223
103,1.6533269,36.454113,0.41842365
104,9.926117,33.589447,0.4540678
105,2.9702501,172.76442,0.7204116
106,1.9833564,40.190742,0.38004708
107,2.2253501,35.468933,0.8051621
108,5.9164114,97.49463,0.7173015
109,6.4707546,43.10793,0.6236258
110,23.644213,37.38168,0.5239992
111,6.5752654,66.04893,0.13589199
112,5.15773,67.64955,0.819569
113,4.382267,32.937992,0.639204
114,5.906569,46.104233,0.6303692
115,2.021442,217.86049,0.69405776
116,5.868889,25.479143,0.87853515
117,11.0013275,42.08289,0.4809372
118,7.6748195,91.32794,0.16699901
119,13.058128,38.50689,0.24009342
120,1.9798474,214.75755,0.66122794
121,8.038079,46.97564,0.41503674
122,1.4669476,82.67281,0.46647343
123,5.6956167,20.852423,0.4872858
124,41.03947,45.95257,0.6717711
125,5.032925,61.01078,0.55850565
126,4.739167,124.548904,0.4334223
127,7.4432764,31.888462,0.5696823
128,6.5729303,78.95898,0.3575932
129,2.8731284,177.46695,0.53691304
130,0.88659424,18.08198,0.63986355
131,2.169374,37.96392,0.6925826
132,2.9028573,26.7865,0.39624465
133,2.3352945,32.135235,0.31101343
134,20.205156,29.308294,0.23557602
135,2.1083202,83.443085,0.59369797
136,1.5326064,107.45545,0.75573707
137,2.0934203,64.00394,0.64447767
138,4.2957473,35.0152,0.27632225
139,12.380641,24.623123,0.70353645
140,3.8694992,42.217266,0.4587956
141,10.1232,80.483826,0.6536873
142,4.12311,41.757965,0.44762042
143,2.9567347,246.1219,0.6960013
144,3.2482617,89.00765,0.73084295
