subj,k_unified,beta_unified,alpha
1,3.647128,0.33953443,0.7252699
2,5.727817,0.26021892,0.66683894
3,2.204435,0.34799683,0.34048268
4,1.4939013,0.326907,0.7953145
5,0.5984362,1.3440915,0.24332698
6,3.7863412,0.35387993,0.62070155
7,3.9229486,0.5018211,0.6418693
8,6.4717956,0.30531195,0.48115176
9,6.643284,2.172781,0.2796844
10,4.9384212,0.39518282,0.49967152
11,2.1761873,0.38271555,0.43045953
12,3.342815,0.2797509,0.73734015
13,1.6100986,0.9499872,0.54919624
14,1.2349015,0.43936872,0.6871863
15,5.9372215,0.31473786,0.81027985
16,7.357383,0.29506886,0.2926229
17,2.129206,0.33967435,0.8179998
18,1.6014563,0.5195811,0.6115383
19,1.9726293,0.3507827,0.49604255
20,1.6398696,0.34116927,0.58705693
21,1.6273272,0.3659038,0.81557107
22,1.2096001,0.34846768,0.80386335
23,1.3499186,0.40936264,0.592082
24,0.70206046,1.3753681,0.6879298
25,6.1449356,0.40456453,0.8001704
26,5.747172,0.35449734,0.6403839
27,5.875371,0.4460764,0.34267768
28,2.4583294,0.33308482,0.62708575
29,1.3453851,0.45826536,0.6715052
30,1.3334123,0.34740472,0.4904068
31,1.2143255,1.1135275,0.41176528
32,6.446864,0.27867082,0.8201186
33,0.74330187,0.3493751,0.54115134
34,2.9439936,0.32333785,0.5820591
35,7.2818584,0.25934476,0.2854009
36,1.9128429,0.35976544,0.7515288
37,7.082352,0.27827373,0.8238889
38,2.0404165,0.432111,0.6268926
39,1.6156482,5.7775183,0.70533943
40,1.0561831,0.46928197,0.5834399
41,6.386124,0.2930232,0.49274284
42,1.4734976,0.63907844,0.5238495
43,6.950933,0.2785505,0.37819058
44,2.4162018,0.3148115,0.45536947
45,4.4990406,0.34232476,0.6867326
46,5.800273,0.3642086,0.6794166
47,2.1431057,1.4667411,0.70835394
48,3.2076907,0.34673125,0.43884873
49,2.563324,0.35672942,0.7496479
50,3.1604183,0.337597,0.7849211
51,0.6427695,0.34120682,0.7724692
52,5.3636146,0.34022066,0.18677764
53,6.4288297,0.33076182,0.59155643
54,1.7088968,0.49443954,0.6010665
55,8.260279,0.35569173,0.6165586
56,2.496939,0.40968925,0.64497083
57,3.4061935,0.40475887,0.81826085
58,1.8678945,0.4379696,0.1985614
59,2.5933692,0.38060248,0.55784696
60,1.2711674,2.9056048,0.2703867
61,4.962938,0.43202466,0.51918536
62,0.33366632,2.7574592,0.29459962
