model,ELBO,per_subj_params,total_params,BIC,dELBO,dBIC
L4a_add,-6259.712392578125,2,592,18135.631163638383,0.0,0.0
L4a_add_norm,-6262.624091796875,2,592,18141.454562075884,-2.9116992187500728,5.8233984375001455
L3_add,-6275.4362280273435,2,592,18167.07883453682,-15.723835449218313,31.447670898436627
L4d_add,-6278.020300292968,2,592,18172.24697906807,-18.307907714843168,36.615815429686336
L4c_add,-6299.925881347656,2,592,18216.058141177447,-40.21348876953107,80.42697753906396
L4a_hyp,-6418.146364746094,2,592,18452.49910797432,-158.43397216796893,316.86794433593604
L3_survival,-6449.34857421875,2,592,18514.903526919632,-189.63618164062518,379.27236328124854
L3b_surv_zi,-6561.1539453125,3,886,21527.643788150624,-301.44155273437445,3392.012624512241
L2_TxD,-6780.387238769531,2,592,19176.980856021197,-520.6748461914058,1041.3496923828134
L1_threat,-6783.9178784179685,2,591,19174.555300219283,-524.2054858398433,1038.9241365808994
L0_effort,-8297.617353515625,1,296,19403.337896272315,-2037.9049609374997,1267.706732633931
