window,predictor,bin,bin_mid,beta,p
onset,anx_z,0,0.05,0.000273138665161648,0.8166924457007987
onset,anx_z,1,0.15000000000000002,0.00022546786152691212,0.8848689605265792
onset,anx_z,2,0.25,0.0007724999166075405,0.6719649732327555
onset,anx_z,3,0.35000000000000003,0.0027995577080099933,0.15629790843352584
onset,anx_z,4,0.45,0.002256434828070311,0.2974937648540388
onset,anx_z,5,0.55,0.0004514850905261585,0.8452775271681217
onset,anx_z,6,0.6500000000000001,-0.0010602016770547185,0.5910269716240126
onset,anx_z,7,0.75,-0.001883930935815641,0.5992306622436532
onset,anx_z,8,0.8500000000000001,-0.001674008955897338,0.4316595663844027
onset,anx_z,9,0.95,-0.004158872368680323,0.2718539439286156
onset,anx_z,10,1.05,-0.004795347453821422,0.07845320321487333
onset,anx_z,11,1.1500000000000001,-0.005519068306038531,0.056850910263290595
onset,anx_z,12,1.25,-0.005101230825489085,0.052275077548663736
onset,anx_z,13,1.35,-0.005623249273839481,0.10650179580469477
onset,anx_z,14,1.4500000000000002,-0.005898678577199046,0.2560246596530862
onset,anx_z,15,1.55,-0.0046749503702007015,0.2148064427624905
onset,anx_z,16,1.6500000000000001,-0.004277792451730555,0.26731391945520755
onset,anx_z,17,1.75,0.0013462044476458038,0.6774696446682063
onset,anx_z,18,1.85,0.009086146068389145,0.02740827047291249
onset,anx_z,19,1.9500000000000002,0.009230774007702253,0.12084232829509961
onset,anx_z,20,2.05,0.009370154700943666,0.006637180880692741
onset,anx_z,21,2.1500000000000004,0.008791851800990314,0.1470415972668023
onset,anx_z,22,2.25,0.006657177818586691,0.05367217712556316
onset,anx_z,23,2.3500000000000005,0.0008204076097540799,0.8898283718474258
onset,anx_z,24,2.45,0.00031666357539174425,0.939401935135268
onset,threat_pre_z,0,0.05,0.0024514308829057642,0.0110811231997479
onset,threat_pre_z,1,0.15000000000000002,0.004350893941797165,0.000630296836424912
onset,threat_pre_z,2,0.25,0.0056955580479328026,0.00013178919897847527
onset,threat_pre_z,3,0.35000000000000003,0.006802521194351274,2.4344694158297188e-05
onset,threat_pre_z,4,0.45,0.008436707523633147,1.8116863951027958e-06
onset,threat_pre_z,5,0.55,0.00912180475305549,1.3525527963077684e-06
onset,threat_pre_z,6,0.6500000000000001,0.007475207274359483,3.3425110813317684e-06
onset,threat_pre_z,7,0.75,0.005324084423394478,0.06964923155587607
onset,threat_pre_z,8,0.8500000000000001,0.00507416763473557,0.003450886254718439
onset,threat_pre_z,9,0.95,0.00735914816277472,0.017513162303039936
onset,threat_pre_z,10,1.05,0.009504299497427544,1.9112428166498217e-05
onset,threat_pre_z,11,1.1500000000000001,0.012541803298883472,1.1374440583532531e-07
onset,threat_pre_z,12,1.25,0.01888492115230223,1.243260230600569e-18
onset,threat_pre_z,13,1.35,0.024101645118554723,2.5007425527087684e-17
onset,threat_pre_z,14,1.4500000000000002,0.025176424083089777,3.581167984615377e-09
onset,threat_pre_z,15,1.55,0.025878190777735604,4.478732632787125e-17
onset,threat_pre_z,16,1.6500000000000001,0.027858539148573846,1.0049132881711427e-18
onset,threat_pre_z,17,1.75,0.027575396512030313,1.7176551273443955e-25
