subj,subj_idx,alpha_bayes,alpha_sd,rho_bayes,rho_sd,gamma_bayes,gamma_sd,alpha_ols,rho_ols
1,0,0.8308785,0.030918801,0.09170677,0.029861372,0.7265229,0.024341831,0.8369518766800562,0.10773891
2,1,0.41949105,0.030098766,0.070847675,0.02931071,0.41679525,0.02368732,0.42089152556878556,0.07915786
3,2,0.045421507,0.029682955,0.060471036,0.0295139,0.5882483,0.023649268,0.04155593202274164,0.05771309
4,3,0.53544056,0.03109035,0.07132423,0.028997619,0.6584097,0.023556618,0.5380955507093467,0.07391912
5,4,0.0045904024,0.030239403,0.0730948,0.029768525,0.63112324,0.024374511,0.0013779549755983883,0.079431176
6,5,0.8249927,0.03042819,0.114853404,0.029801678,0.7525259,0.024543492,0.8309723608839659,0.1442092
7,6,0.5084623,0.030818013,0.018519806,0.029895777,0.62675965,0.024193859,0.5109117774929042,-0.013631642
8,7,0.087202504,0.030102568,0.087419696,0.029653572,0.60581225,0.02400888,0.08422795328344239,0.103122115
9,8,0.039777216,0.03075565,0.10231336,0.03012714,0.67191786,0.023955818,0.03686383536886286,0.12426293
10,9,0.1485383,0.031071952,0.024045037,0.029665666,0.7455242,0.024411594,0.14609301029845823,-0.0063991547
11,10,0.08172942,0.030494157,0.081462614,0.029995043,0.7052197,0.02392538,0.07905281786690771,0.090777576
12,11,0.6379308,0.030436514,0.03935033,0.029831639,0.6567539,0.023459006,0.6417016717202869,0.020880342
13,12,0.15981346,0.031561047,0.07746128,0.030172948,0.6699832,0.02445762,0.15775130464432147,0.08402115
14,13,0.46379018,0.030862682,0.10323721,0.029716223,0.97924787,0.024258837,0.4658917421681056,0.12027538
15,14,1.0684485,0.03039088,0.09352411,0.030091459,0.763994,0.024161149,1.0763035718305611,0.10967386
16,15,0.21256697,0.029810676,0.153432,0.029938044,0.4810236,0.023787444,0.2109997784881076,0.21704888
17,16,0.66935337,0.031114249,0.080406636,0.030263713,0.5789899,0.02506476,0.6737113845201186,0.09229231
18,17,0.5893227,0.02947573,0.06791569,0.030099602,0.74177235,0.024386996,0.5928129818345205,0.066995025
19,18,0.082551636,0.030070843,0.07913252,0.029464826,0.6373913,0.023780756,0.0799315577640087,0.08673966
20,19,0.31795648,0.030086085,0.07974136,0.028696649,0.73690784,0.02317491,0.31761831093799975,0.087527335
21,20,0.94944537,0.030540243,0.03458335,0.029743478,0.6870547,0.02417805,0.9567452012618751,0.013117373
22,21,0.77021056,0.03114063,0.03968565,0.030220652,0.6917799,0.024606183,0.7748873189974589,0.020373285
23,22,0.2603661,0.030517695,0.037560944,0.03011013,0.8305118,0.024673197,0.25954125929750727,0.014253914
24,23,0.46296188,0.030939493,0.04189166,0.029100787,0.72901976,0.023796258,0.46462626427211545,0.022916675
25,24,1.0371623,0.03072154,0.03572231,0.029456884,0.78984624,0.023724403,1.0447868403093314,0.010365605
26,25,1.0804299,0.030584289,0.095346354,0.030311206,0.8075632,0.024512503,1.0887349685769023,0.11155236
27,26,0.035277978,0.030582173,0.055190843,0.029901333,0.6914765,0.02445139,0.03219696137325411,0.0468719
28,27,0.27736244,0.03058495,0.07957695,0.030447343,0.74381155,0.024375668,0.27697129931329,0.08616042
29,28,0.5831363,0.03040978,0.118840896,0.030111823,0.7227934,0.024229504,0.5869374762205878,0.15212321
30,29,0.15841289,0.029935094,0.074178025,0.030058367,0.6737283,0.024227386,0.15708128516440864,0.07684648
31,30,0.051824063,0.03060034,0.058809374,0.030224008,0.700505,0.024453694,0.048687125791407306,0.0530746
32,31,0.5673452,0.030216644,0.023818871,0.030179966,0.47134322,0.024272606,0.5702996104955673,-0.001927644
33,32,0.41501784,0.030037785,0.13380677,0.029815873,0.6506399,0.02432511,0.41625744608160103,0.17854989
34,33,0.14290544,0.030206302,0.07614673,0.029674359,0.5333902,0.024027934,0.14080503839742275,0.08498502
35,34,0.050750513,0.029912166,0.14398038,0.030166574,0.65533173,0.024057489,0.04726604726924583,0.19563782
36,35,0.6425257,0.031528566,0.07325835,0.028865825,0.6573866,0.023341766,0.6461443757638335,0.0780043
37,36,0.7440921,0.02980883,0.07773084,0.02929265,0.6085611,0.024134165,0.7494684623347388,0.0862394
38,37,0.20010014,0.03157393,0.08964062,0.03009595,0.69661427,0.024526542,0.19836028134587694,0.10341525
39,38,0.56401694,0.030571913,0.061084036,0.029079974,0.6858089,0.023290003,0.5665195085507829,0.05670613
40,39,0.3607872,0.030713754,0.05366771,0.030220618,0.6308042,0.024758553,0.3609007275636277,0.0444113
41,40,0.3907552,0.030487297,0.06679465,0.030232657,0.5187506,0.024121251,0.3919125707113199,0.06986165
42,41,0.12843347,0.031194296,0.035807103,0.028831357,0.7781234,0.02360708,0.1269337584788635,0.012310505
43,42,0.09551432,0.030623911,0.077203974,0.029486163,0.58557945,0.024017915,0.09325927820904524,0.08567023
44,43,0.13559103,0.030621894,0.037290268,0.030428838,0.6052538,0.024248356,0.133254695283476,0.018135786
45,44,0.39824077,0.030267676,0.12214084,0.029565316,0.59464324,0.023292083,0.39956977766960433,0.15998828
46,45,0.5176897,0.031238582,0.033442255,0.03008258,0.7141434,0.024475753,0.520042672368281,0.008960724
47,46,0.40063083,0.030396925,0.048105836,0.029747134,0.59543693,0.024596788,0.4018185908010051,0.036410213
48,47,0.06555185,0.030646067,0.07521065,0.028944235,0.69013494,0.023676515,0.06277364420680571,0.07947618
49,48,0.55751765,0.03110226,0.0875737,0.029635504,0.70945287,0.024373436,0.5602715523417807,0.100130856
50,49,0.8016295,0.030467395,0.05669781,0.03011542,0.6636514,0.023903294,0.8076220777215837,0.050442815
51,50,1.0899967,0.03046424,0.037594546,0.029630706,0.8055104,0.023653822,1.098791285061542,0.013979137
