feature,param,r,p,n,p_fdr,sig
v_tonic_mean,z,0.11648243421325004,0.04635774292266725,293,0.11920562465828721,False
v_tonic_mean,kappa,-0.19916782207745432,0.0006057012101195031,293,0.010902621782151057,True
v_tonic_mean,beta,0.044587265033813814,0.44705925262159163,293,0.5029416591992906,False
tonic_threat_slope,z,0.07318025888022843,0.21167789456765476,293,0.34638200929252594,False
tonic_threat_slope,kappa,0.10056802769024105,0.0857149270316049,293,0.19285858582111104,False
tonic_threat_slope,beta,0.09020430785867958,0.12341634233722226,293,0.24683268467444452,False
alpha,z,0.05834183016917463,0.3196242237472425,293,0.4425566174961819,False
alpha,kappa,0.003785193770108498,0.94855988444889,293,0.94855988444889,False
alpha,beta,0.11701590050733782,0.04535921427637951,293,0.11920562465828721,False
v_amplitude,z,-0.16476184868787577,0.004690388552111667,293,0.04221349696900501,True
v_amplitude,kappa,0.048149682984084285,0.4115647558326238,293,0.49387770699914857,False
v_amplitude,beta,-0.06594541233723682,0.2605027423500586,293,0.39075411352508793,False
v_pre,z,0.13281292182011076,0.022980722961232727,293,0.10341325332554728,False
v_pre,kappa,-0.14982680819303124,0.010223659672545318,293,0.061341958035271905,False
v_pre,beta,0.05462435758135687,0.3514826060894118,293,0.45190620782924373,False
v_max,z,-0.08347693087331438,0.15407753052234627,293,0.2773395549402233,False
v_max,kappa,-0.12086868246769639,0.038670021548118896,293,0.11920562465828721,False
v_max,beta,-0.03149256163480779,0.5913403368874258,293,0.6261250625866862,False
