subj_idx,threat,distance_H,choice
157,0.5,0,0
157,0.9,0,0
157,0.1,0,1
157,0.5,0,0
157,0.1,0,1
157,0.9,0,0
157,0.9,0,0
157,0.5,0,0
157,0.5,0,1
157,0.5,0,0
157,0.1,0,1
157,0.9,0,0
157,0.1,0,1
157,0.5,0,0
157,0.9,0,0
157,0.5,0,1
157,0.1,0,1
157,0.9,0,0
157,0.5,0,1
157,0.5,0,1
157,0.5,0,0
157,0.1,0,1
157,0.1,0,1
157,0.9,0,0
157,0.1,0,1
157,0.1,0,1
157,0.5,0,0
157,0.5,0,0
157,0.9,0,0
157,0.1,0,1
157,0.1,0,1
157,0.9,0,0
157,0.9,0,0
157,0.9,0,0
157,0.5,0,0
157,0.9,0,0
157,0.9,0,0
157,0.1,0,1
157,0.5,0,0
157,0.9,0,0
157,0.1,0,1
157,0.5,0,0
157,0.9,0,0
157,0.1,0,1
157,0.1,0,1
148,0.5,0,0
148,0.9,0,0
148,0.5,0,0
148,0.1,0,1
148,0.9,0,0
148,0.5,0,0
148,0.9,0,0
148,0.5,0,1
148,0.1,0,1
148,0.9,0,0
148,0.1,0,1
148,0.1,0,1
148,0.5,0,1
148,0.1,0,0
148,0.5,0,0
148,0.9,0,0
148,0.5,0,0
148,0.9,0,1
148,0.5,0,0
148,0.1,0,0
148,0.9,0,0
148,0.5,0,0
148,0.5,0,0
148,0.5,0,0
148,0.9,0,0
148,0.1,0,0
148,0.1,0,0
148,0.5,0,0
148,0.1,0,0
148,0.9,0,0
148,0.1,0,0
148,0.5,0,0
148,0.9,0,0
148,0.9,0,0
148,0.5,0,0
148,0.1,0,0
148,0.9,0,0
148,0.1,0,0
148,0.1,0,0
148,0.1,0,1
148,0.9,0,0
148,0.9,0,0
148,0.9,0,0
148,0.5,0,0
148,0.1,0,0
182,0.1,0,0
182,0.9,0,0
182,0.5,0,0
182,0.9,0,0
182,0.1,0,0
182,0.1,0,0
182,0.9,0,0
182,0.1,0,1
182,0.5,0,0
182,0.5,0,0
182,0.9,0,0
182,0.5,0,0
182,0.9,0,0
182,0.9,0,0
182,0.9,0,0
182,0.1,0,0
182,0.9,0,0
182,0.1,0,0
182,0.5,0,0
182,0.1,0,0
182,0.1,0,0
182,0.5,0,0
182,0.1,0,0
182,0.1,0,0
182,0.9,0,0
182,0.5,0,0
182,0.5,0,0
182,0.9,0,0
182,0.1,0,0
182,0.5,0,0
182,0.1,0,0
182,0.5,0,0
182,0.1,0,0
182,0.5,0,0
182,0.1,0,0
182,0.9,0,0
182,0.9,0,0
182,0.5,0,0
182,0.9,0,0
182,0.1,0,0
182,0.5,0,0
182,0.5,0,0
182,0.9,0,0
182,0.5,0,0
182,0.9,0,0
61,0.5,0,0
61,0.9,0,1
61,0.1,0,1
61,0.5,0,0
61,0.1,0,0
61,0.9,0,0
61,0.9,0,0
61,0.5,0,0
61,0.5,0,0
61,0.5,0,0
61,0.1,0,0
61,0.9,0,0
61,0.1,0,0
61,0.5,0,0
61,0.5,0,0
61,0.1,0,0
61,0.9,0,0
61,0.5,0,0
61,0.5,0,1
61,0.5,0,0
61,0.1,0,1
61,0.1,0,1
61,0.9,0,0
61,0.1,0,1
61,0.1,0,0
61,0.5,0,0
61,0.5,0,0
61,0.9,0,0
61,0.1,0,0
61,0.1,0,1
61,0.9,0,0
61,0.9,0,0
61,0.9,0,1
61,0.5,0,0
61,0.9,0,0
61,0.9,0,0
61,0.1,0,0
61,0.5,0,1
61,0.9,0,0
61,0.1,0,0
61,0.5,0,1
61,0.9,0,0
61,0.1,0,0
61,0.1,0,1
58,0.5,0,1
58,0.9,0,0
58,0.1,0,1
58,0.5,0,0
58,0.1,0,1
58,0.9,0,0
58,0.9,0,0
58,0.5,0,0
58,0.5,0,0
58,0.5,0,0
58,0.1,0,0
58,0.9,0,0
58,0.1,0,0
58,0.5,0,0
58,0.9,0,0
58,0.5,0,0
58,0.1,0,0
58,0.9,0,0
58,0.5,0,0
58,0.5,0,0
58,0.5,0,0
58,0.1,0,1
58,0.1,0,1
58,0.9,0,0
58,0.1,0,1
58,0.1,0,1
58,0.5,0,0
58,0.5,0,0
58,0.9,0,0
58,0.1,0,0
58,0.1,0,1
58,0.9,0,0
58,0.9,0,0
58,0.9,0,0
58,0.5,0,0
58,0.9,0,0
58,0.9,0,0
58,0.1,0,1
58,0.5,0,1
58,0.9,0,0
58,0.1,0,0
58,0.5,0,0
58,0.9,0,0
58,0.1,0,1
58,0.1,0,1
226,0.5,0,0
226,0.9,0,0
226,0.1,0,1
226,0.5,0,0
226,0.1,0,1
226,0.9,0,0
226,0.9,0,0
226,0.5,0,1
226,0.5,0,0
226,0.5,0,1
226,0.1,0,1
226,0.9,0,0
226,0.1,0,0
226,0.5,0,0
226,0.9,0,1
226,0.5,0,1
226,0.1,0,0
226,0.9,0,0
226,0.5,0,0
226,0.5,0,1
226,0.5,0,0
226,0.1,0,1
226,0.1,0,0
226,0.9,0,0
226,0.1,0,0
226,0.1,0,0
226,0.5,0,0
226,0.5,0,0
226,0.9,0,0
226,0.1,0,0
226,0.1,0,1
226,0.9,0,0
226,0.9,0,0
226,0.9,0,0
226,0.5,0,1
226,0.9,0,0
226,0.9,0,0
226,0.1,0,0
226,0.5,0,1
226,0.9,0,0
226,0.1,0,1
226,0.5,0,0
226,0.9,0,0
226,0.1,0,1
226,0.1,0,1
124,0.5,0,0
124,0.9,0,0
124,0.1,0,1
124,0.5,0,0
124,0.1,0,1
124,0.9,0,0
124,0.9,0,0
124,0.5,0,1
124,0.5,0,0
124,0.5,0,0
124,0.1,0,0
124,0.9,0,0
124,0.1,0,0
124,0.5,0,0
124,0.9,0,0
124,0.5,0,0
124,0.1,0,0
124,0.9,0,0
124,0.5,0,0
124,0.5,0,0
124,0.5,0,0
124,0.1,0,0
124,0.1,0,0
124,0.9,0,0
124,0.1,0,0
124,0.1,0,0
124,0.5,0,0
124,0.5,0,0
124,0.9,0,0
124,0.1,0,0
124,0.1,0,0
124,0.9,0,0
124,0.9,0,0
124,0.9,0,0
124,0.5,0,0
124,0.9,0,0
124,0.9,0,0
124,0.1,0,0
124,0.5,0,1
124,0.9,0,0
124,0.1,0,0
124,0.5,0,0
124,0.9,0,0
124,0.1,0,0
124,0.1,0,0
49,0.5,0,1
49,0.9,0,1
49,0.1,0,1
49,0.5,0,1
49,0.1,0,1
49,0.9,0,1
49,0.9,0,0
49,0.5,0,1
49,0.5,0,0
49,0.5,0,0
49,0.1,0,1
49,0.9,0,1
49,0.1,0,0
49,0.5,0,1
49,0.9,0,1
49,0.5,0,1
49,0.1,0,1
49,0.9,0,0
49,0.5,0,1
49,0.5,0,1
49,0.5,0,0
49,0.1,0,1
49,0.1,0,1
49,0.9,0,0
49,0.1,0,1
49,0.1,0,1
49,0.5,0,0
49,0.5,0,0
49,0.9,0,0
49,0.1,0,1
49,0.1,0,1
49,0.9,0,0
49,0.9,0,0
49,0.9,0,0
49,0.5,0,1
49,0.9,0,0
49,0.9,0,1
49,0.1,0,1
49,0.5,0,1
49,0.9,0,1
49,0.1,0,1
49,0.5,0,0
49,0.9,0,0
49,0.1,0,1
49,0.1,0,1
213,0.5,0,0
213,0.9,0,0
213,0.1,0,1
213,0.5,0,0
213,0.1,0,1
213,0.9,0,0
213,0.9,0,0
213,0.5,0,1
213,0.5,0,0
213,0.5,0,0
213,0.1,0,1
213,0.9,0,0
213,0.1,0,1
213,0.5,0,0
213,0.9,0,0
213,0.5,0,1
213,0.1,0,1
213,0.9,0,0
213,0.5,0,0
213,0.5,0,0
213,0.5,0,0
213,0.1,0,1
213,0.1,0,1
213,0.9,0,0
213,0.1,0,1
213,0.1,0,0
213,0.5,0,0
213,0.5,0,0
213,0.9,0,0
213,0.1,0,0
213,0.1,0,1
213,0.9,0,0
213,0.9,0,0
213,0.9,0,0
213,0.5,0,0
213,0.9,0,0
213,0.9,0,0
213,0.1,0,1
213,0.5,0,1
213,0.9,0,0
213,0.1,0,0
213,0.5,0,0
213,0.9,0,0
213,0.1,0,1
213,0.1,0,1
131,0.5,0,0
131,0.9,0,0
131,0.1,0,0
131,0.5,0,0
131,0.1,0,0
131,0.9,0,0
131,0.9,0,0
131,0.5,0,0
131,0.5,0,0
131,0.5,0,0
131,0.1,0,0
131,0.9,0,0
131,0.1,0,0
131,0.5,0,0
131,0.9,0,0
131,0.5,0,0
131,0.1,0,0
131,0.9,0,0
131,0.5,0,0
131,0.5,0,0
131,0.5,0,0
131,0.1,0,0
131,0.1,0,0
131,0.9,0,0
131,0.1,0,0
131,0.1,0,0
131,0.5,0,0
131,0.5,0,0
131,0.9,0,0
131,0.1,0,0
131,0.1,0,0
131,0.9,0,0
131,0.9,0,0
131,0.9,0,0
131,0.5,0,0
131,0.9,0,0
131,0.9,0,0
131,0.1,0,0
131,0.5,0,0
131,0.9,0,0
131,0.1,0,0
131,0.5,0,0
131,0.9,0,0
131,0.1,0,0
131,0.1,0,0
256,0.5,0,1
256,0.9,0,1
256,0.1,0,1
256,0.5,0,1
256,0.1,0,1
256,0.9,0,1
256,0.9,0,1
256,0.5,0,1
256,0.5,0,1
256,0.5,0,0
256,0.1,0,1
256,0.9,0,1
256,0.1,0,0
256,0.5,0,0
256,0.9,0,1
256,0.5,0,1
256,0.1,0,0
256,0.9,0,1
256,0.5,0,1
256,0.5,0,1
256,0.5,0,0
256,0.1,0,1
256,0.1,0,1
256,0.9,0,0
256,0.1,0,1
256,0.1,0,0
256,0.5,0,0
256,0.5,0,0
256,0.9,0,0
256,0.1,0,0
256,0.1,0,1
256,0.9,0,1
256,0.9,0,1
256,0.9,0,1
256,0.5,0,1
256,0.9,0,0
256,0.9,0,1
256,0.1,0,1
256,0.5,0,1
256,0.9,0,1
256,0.1,0,1
256,0.5,0,1
256,0.9,0,1
256,0.1,0,1
256,0.1,0,1
170,0.5,0,1
170,0.9,0,1
170,0.1,0,0
170,0.5,0,0
170,0.1,0,1
170,0.9,0,1
170,0.9,0,1
170,0.5,0,1
170,0.5,0,1
170,0.5,0,0
170,0.1,0,0
170,0.9,0,1
170,0.1,0,1
170,0.5,0,1
170,0.5,0,1
170,0.1,0,1
170,0.9,0,1
170,0.5,0,1
170,0.5,0,0
170,0.1,0,1
170,0.1,0,1
170,0.9,0,1
170,0.1,0,1
170,0.5,0,0
170,0.1,0,1
170,0.1,0,1
170,0.9,0,1
170,0.1,0,0
170,0.1,0,0
170,0.1,0,1
170,0.1,0,0
104,0.5,0,0
104,0.9,0,0
104,0.1,0,1
