subj_idx,threat,distance_H,choice
157,0.5,1,0
157,0.9,1,0
157,0.1,1,1
157,0.5,2,0
157,0.1,1,1
157,0.9,3,0
157,0.9,2,0
157,0.5,1,0
157,0.5,2,1
157,0.5,3,0
157,0.1,3,1
157,0.9,2,0
157,0.1,3,1
157,0.5,3,0
157,0.9,1,0
157,0.5,1,1
157,0.1,2,1
157,0.9,3,0
157,0.5,2,1
157,0.5,1,1
157,0.5,3,0
157,0.1,1,1
157,0.1,1,1
157,0.9,3,0
157,0.1,2,1
157,0.1,3,1
157,0.5,3,0
157,0.5,3,0
157,0.9,3,0
157,0.1,3,1
157,0.1,1,1
157,0.9,3,0
157,0.9,2,0
157,0.9,1,0
157,0.5,2,0
157,0.9,2,0
157,0.9,1,0
157,0.1,2,1
157,0.5,1,0
157,0.9,1,0
157,0.1,3,1
157,0.5,2,0
157,0.9,2,0
157,0.1,2,1
157,0.1,2,1
148,0.5,3,0
148,0.9,2,0
148,0.5,2,0
148,0.1,1,1
148,0.9,2,0
148,0.5,3,0
148,0.9,3,0
148,0.5,1,1
148,0.1,2,1
148,0.9,1,0
148,0.1,2,1
148,0.1,1,1
148,0.5,1,1
148,0.1,3,0
148,0.5,1,0
148,0.9,3,0
148,0.5,3,0
148,0.9,1,1
148,0.5,2,0
148,0.1,3,0
148,0.9,3,0
148,0.5,2,0
148,0.5,1,0
148,0.5,1,0
148,0.9,3,0
148,0.1,2,0
148,0.1,1,0
148,0.5,3,0
148,0.1,2,0
148,0.9,2,0
148,0.1,3,0
148,0.5,3,0
148,0.9,2,0
148,0.9,1,0
148,0.5,2,0
148,0.1,1,0
148,0.9,1,0
148,0.1,1,0
148,0.1,3,0
148,0.1,2,1
148,0.9,1,0
148,0.9,3,0
148,0.9,2,0
148,0.5,2,0
148,0.1,3,0
182,0.1,3,0
182,0.9,2,0
182,0.5,3,0
182,0.9,3,0
182,0.1,2,0
182,0.1,2,0
182,0.9,2,0
182,0.1,1,1
182,0.5,3,0
182,0.5,2,0
182,0.9,2,0
182,0.5,2,0
182,0.9,2,0
182,0.9,2,0
182,0.9,3,0
182,0.1,3,0
182,0.9,1,0
182,0.1,1,0
182,0.5,1,0
182,0.1,2,0
182,0.1,3,0
182,0.5,1,0
182,0.1,1,0
182,0.1,3,0
182,0.9,1,0
182,0.5,3,0
182,0.5,2,0
182,0.9,1,0
182,0.1,2,0
182,0.5,3,0
182,0.1,2,0
182,0.5,1,0
182,0.1,1,0
182,0.5,2,0
182,0.1,1,0
182,0.9,3,0
182,0.9,3,0
182,0.5,1,0
182,0.9,1,0
182,0.1,3,0
182,0.5,2,0
182,0.5,1,0
182,0.9,3,0
182,0.5,3,0
182,0.9,1,0
61,0.5,1,0
61,0.9,1,1
61,0.1,1,1
61,0.5,2,0
61,0.1,1,0
61,0.9,3,0
61,0.9,2,0
61,0.5,1,0
61,0.5,2,0
61,0.5,3,0
61,0.1,3,0
61,0.9,2,0
61,0.1,3,0
61,0.5,3,0
61,0.9,1,0
61,0.5,1,0
61,0.1,2,0
61,0.9,3,0
61,0.5,2,0
61,0.5,1,1
61,0.5,3,0
61,0.1,1,1
61,0.1,1,1
61,0.9,3,0
61,0.1,2,1
61,0.1,3,0
61,0.5,3,0
61,0.5,3,0
61,0.9,3,0
61,0.1,3,0
61,0.1,1,1
61,0.9,3,0
61,0.9,2,0
61,0.9,1,1
61,0.5,2,0
61,0.9,2,0
61,0.9,1,0
61,0.1,2,0
61,0.5,1,1
61,0.9,1,0
61,0.1,3,0
61,0.5,2,1
61,0.9,2,0
61,0.1,2,0
61,0.1,2,1
58,0.5,1,1
58,0.9,1,0
58,0.1,1,1
58,0.5,2,0
58,0.1,1,1
58,0.9,3,0
58,0.9,2,0
58,0.5,1,0
58,0.5,2,0
58,0.5,3,0
58,0.1,3,0
58,0.9,2,0
58,0.1,3,0
58,0.5,3,0
58,0.9,1,0
58,0.5,1,0
58,0.1,2,0
58,0.9,3,0
58,0.5,2,0
58,0.5,1,0
58,0.5,3,0
58,0.1,1,1
58,0.1,1,1
58,0.9,3,0
58,0.1,2,1
58,0.1,3,1
58,0.5,3,0
58,0.5,3,0
58,0.9,3,0
58,0.1,3,0
58,0.1,1,1
58,0.9,3,0
58,0.9,2,0
58,0.9,1,0
58,0.5,2,0
58,0.9,2,0
58,0.9,1,0
58,0.1,2,1
58,0.5,1,1
58,0.9,1,0
58,0.1,3,0
