subj_idx,T_round,actual_dist,actual_R,actual_req,is_heavy,mean_rate,n_trials
0,0.1,1,5.0,0.9,1,1.055372955583738,5
0,0.1,2,1.0,0.4,0,0.9557706790300348,2
0,0.1,2,5.0,0.9,1,1.0154345033400254,3
0,0.1,3,1.0,0.4,0,0.9787452657737846,1
0,0.1,3,5.0,0.9,1,1.1154441980230188,4
0,0.5,1,1.0,0.4,0,1.181800978260193,2
0,0.5,1,5.0,0.9,1,1.1714506197842052,3
0,0.5,2,1.0,0.4,0,1.0696596718355873,5
0,0.5,3,1.0,0.4,0,1.0208117677818098,5
0,0.9,1,1.0,0.4,0,1.105480777194106,5
0,0.9,2,1.0,0.4,0,1.107623721026515,5
0,0.9,3,1.0,0.4,0,1.1099557509912867,5
1,0.1,1,1.0,0.4,0,0.7089233263965975,2
1,0.1,1,5.0,0.9,1,0.5762823958425541,3
1,0.1,2,1.0,0.4,0,0.5904715947183564,5
1,0.1,3,1.0,0.4,0,0.5092192872956226,5
1,0.5,1,1.0,0.4,0,0.5469202407431198,3
1,0.5,1,5.0,0.9,1,0.7145424642625573,2
1,0.5,2,1.0,0.4,0,0.4218116519212446,5
1,0.5,3,1.0,0.4,0,0.4738278448352032,5
1,0.9,1,1.0,0.4,0,0.4444464493032058,4
1,0.9,1,5.0,0.9,1,0.4710482433442585,1
1,0.9,2,1.0,0.4,0,0.6699444157349599,5
1,0.9,3,1.0,0.4,0,0.569803999446417,5
2,0.1,1,5.0,0.9,1,0.8232777731051965,5
2,0.1,2,1.0,0.4,0,0.8478396436556012,3
2,0.1,2,5.0,0.9,1,0.8688549206462142,2
2,0.1,3,1.0,0.4,0,0.9356438706491876,4
2,0.1,3,5.0,0.9,1,0.7805809619142953,1
2,0.5,1,1.0,0.4,0,0.9308771378349132,1
2,0.5,1,5.0,0.9,1,0.8943513403119094,4
2,0.5,2,1.0,0.4,0,0.9377443097282784,4
2,0.5,2,5.0,0.9,1,0.9050933598497404,1
2,0.5,3,1.0,0.4,0,0.9192452320129344,4
2,0.5,3,5.0,0.9,1,0.7701822463896346,1
2,0.9,1,1.0,0.4,0,0.9685791552974066,1
2,0.9,1,5.0,0.9,1,0.9864687737938136,4
2,0.9,2,1.0,0.4,0,0.8955753688591974,5
2,0.9,3,1.0,0.4,0,0.933279893293538,4
2,0.9,3,5.0,0.9,1,0.8930070311222543,1
3,0.1,1,5.0,0.9,1,0.9750350133584468,5
