subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,actual_R,actual_req,subj_cookie_mean,rel_rate,rel_rate_cc
1,0.1,1,1,0.8022252936369757,15,0.08997147604559773,0.023230535223886635,5.0,0.9,0.8421818536051515,0.952555900133525,0.952555900133525
1,0.5,1,0,0.8092696747781893,8,0.10272772044202706,0.03631973387019662,1.0,0.4,0.8257786939876242,0.9800079375628911,0.9800079375628911
1,0.5,1,1,0.8901130573918458,7,0.108115393272099,0.040863777642274245,5.0,0.9,0.8421818536051515,1.056913128181893,1.056913128181893
1,0.9,1,0,0.8422877131970589,13,0.10594659615428467,0.029384298838088407,1.0,0.4,0.8257786939876242,1.0199920624371088,1.0199920624371088
1,0.9,1,1,0.8342072097866332,2,0.010277160512880912,0.007267049890000709,5.0,0.9,0.8421818536051515,0.9905309716845822,0.9905309716845822
2,0.1,1,1,0.9983251517678516,15,0.15851183216261483,0.040927579076175495,5.0,0.9,1.046161269934414,0.9542746232905741,0.9542746232905741
2,0.5,1,0,0.7320837397116923,12,0.1657350763455746,0.04784359547114034,1.0,0.4,0.7215784981847,1.0145586953511234,1.0145586953511234
2,0.5,1,1,1.0361975660604292,3,0.13213335261577985,0.07628722670164824,5.0,0.9,1.046161269934414,0.9904759388821482,0.9904759388821482
2,0.9,1,0,0.7110732566577078,12,0.13074941174251142,0.03774410403296209,1.0,0.4,0.7215784981847,0.9854413046488766,0.9854413046488766
2,0.9,1,1,1.1039610919749616,3,0.023914791828824607,0.01380721149998575,5.0,0.9,1.046161269934414,1.0552494378272779,1.0552494378272779
3,0.1,1,0,1.0209047415369439,9,0.17363507253723948,0.05787835751241316,1.0,0.4,1.109367542608857,0.9202583475050311,0.9202583475050311
3,0.1,1,1,1.1816274716541975,6,0.07502401952583446,0.030628427715149398,5.0,0.9,1.1816274716541975,1.0,1.0
3,0.5,1,0,1.157108227192522,15,0.08470230234636639,0.02187004042486016,1.0,0.4,1.109367542608857,1.043034145808336,1.043034145808336
3,0.9,1,0,1.150089659097105,15,0.13502578473371155,0.0348635077054835,1.0,0.4,1.109367542608857,1.036707506686633,1.036707506686633
4,0.1,1,0,0.827181329416431,9,0.07859571529713265,0.026198571765710884,1.0,0.4,0.8495637428408255,0.9736542271100803,0.9736542271100803
4,0.1,1,1,0.8402795349739072,6,0.0628560205087323,0.025660862918051478,5.0,0.9,0.8951772985089205,0.9386738653600182,0.9386738653600182
4,0.5,1,0,0.8569220442983051,10,0.07674905525773605,0.02427018228805672,1.0,0.4,0.8495637428408255,1.0086612705868008,1.0086612705868008
4,0.5,1,1,0.9500750620439338,5,0.17873930158481852,0.07993464571889801,5.0,0.9,0.8951772985089205,1.0613261346399818,1.0613261346399818
4,0.9,1,0,0.8645878548077403,15,0.08065249266834368,0.02082438406230739,1.0,0.4,0.8495637428408255,1.0176845023031187,1.0176845023031187
5,0.1,1,0,1.0483210483210483,1,,,1.0,0.4,1.0181115452578313,1.029672095561559,1.029672095561559
5,0.1,1,1,1.0442675117808484,14,0.04953566639561177,0.01323896371985075,5.0,0.9,1.0563430041454283,0.9885685877435721,0.9885685877435721
5,0.5,1,0,0.9920525885485404,4,0.021575678073297862,0.010787839036648931,1.0,0.4,1.0181115452578313,0.9744046152598224,0.9744046152598224
5,0.5,1,1,1.0502698975026077,11,0.05257594851096075,0.015852244927991047,5.0,0.9,1.0563430041454283,0.994250819460168,0.994250819460168
5,0.9,1,0,1.0139609989039051,10,0.03718684324565616,0.011759512364792186,1.0,0.4,1.0181115452578313,0.9959232891786184,0.9959232891786184
