Step,Claim,Model,Sample,Key predictor,Stream,beta,SE,p,CI_lo,CI_hi,N_obs,N_subj
1A,Threat scales anticipatory vigor,onset_slope_norm ~ threat_c + C(choice) + (1|subj),All trials,threat_c,norm,0.02972172864322207,0.004471587351128418,2.995418550049202e-11,0.02095741743501037,0.03848603985143377,23556,293
1A,Threat scales anticipatory vigor,onset_slope_resid ~ threat_c + C(choice) + (1|subj),All trials,threat_c,resid,0.02974051355227378,0.004471373055846172,2.904845503738396e-11,0.02097662236281528,0.03850440474173228,23556,293
1B,Attack triggers phasic spike,encounter_spike_norm ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,norm,0.014680887048420703,0.005762729396904874,0.010847983636656948,0.0033859374304871515,0.025975836666354255,20502,293
1B,Attack triggers phasic spike,encounter_spike_resid ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,resid,0.0026043410352618707,0.006332544032953222,0.6808796996257945,-0.009807445269326443,0.015016127339850185,16129,293
1B-check,Manipulation check (expect n.s.),pre_encounter_vigor_norm ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,norm,-0.02946096712349327,0.0060935971553788435,1.333187571944862e-06,-0.0414044175480358,-0.017517516698950734,20502,293
1B-check,Manipulation check (expect n.s.),pre_encounter_vigor_resid ~ attack_c + threat_c + C(choice) + (1|subj),All trials,attack_c,resid,-0.0027550159638427317,0.005159276680513855,0.5933466008719963,-0.012867198257649887,0.007357166329964425,16129,293
1B-corr,Tonic–phasic tradeoff,"Pearson r(pre_encounter_vigor_norm, encounter_spike_norm)",Attack trials,r,norm,-0.35090299999541186,,5.905095657533429e-293,,,10186,293
1B-corr,Tonic–phasic tradeoff,"Pearson r(pre_encounter_vigor_resid, encounter_spike_resid)",Attack trials,r,resid,-0.4817498028278351,,0.0,,,7892,293
1C,Terminal vigor predicts escape,escaped ~ terminal_mean_norm_z + threat_c + startDistance_z + C(choice) + (1|subj),Attack trials,terminal_mean_norm_z,norm,0.0966069305540942,0.004583382927991882,1.2756812274988863e-98,0.0876235000152301,0.10559036109295829,11671,293
1C,Terminal vigor predicts escape,escaped ~ terminal_mean_resid_z + threat_c + startDistance_z + C(choice) + (1|subj),Attack trials,terminal_mean_resid_z,resid,0.07354308854655808,0.004597847789039529,1.382103957300266e-57,0.0645313068800406,0.08255487021307556,11638,293
