predictor,outcome,r,p
log_k,overcautious_rate,0.8829267848931384,3.07983633656399e-96
log_k,threat_sensitivity_choice,-0.6781236033358469,2.8522708292273793e-40
log_k,vigor_gap,0.007963171753807955,0.8927784179170243
log_k,policy_alignment,-0.7657839249356166,5.794247951167385e-57
log_k,residual_overcaution,2.6326720238189283e-16,0.999999999999997
log_k,total_earnings,-0.7892941765529132,9.591606915944487e-63
log_beta,overcautious_rate,0.32382801873189754,1.7633546969328777e-08
log_beta,threat_sensitivity_choice,0.5739888293960547,1.0054451731686476e-26
log_beta,vigor_gap,-0.20189235779885625,0.0005545551990042301
log_beta,policy_alignment,0.1780100517774703,0.0023866765447269696
log_beta,residual_overcaution,2.753904279575569e-17,1.0
log_beta,total_earnings,-0.22608164825007965,0.0001057319136977068
log_cd,overcautious_rate,-0.15043567948317996,0.010439749376955207
log_cd,threat_sensitivity_choice,0.058605717349757974,0.3207913676988998
log_cd,vigor_gap,0.5785483364404959,3.2259337514684275e-27
log_cd,policy_alignment,0.10931448701697304,0.0634738463472155
log_cd,residual_overcaution,1.643873272954161e-15,0.999999999999979
log_cd,total_earnings,0.1493230568668006,0.011029700381046762
calibration,overcautious_rate,-0.1806558559811812,0.00204754951415194
calibration,threat_sensitivity_choice,0.4085435395112875,4.71663581926742e-13
calibration,vigor_gap,-0.07654609093116238,0.19444255873395244
calibration,policy_alignment,0.3148500242261781,4.526561883972267e-08
calibration,residual_overcaution,-0.11033331589555351,0.06103242543951618
calibration,total_earnings,0.20782242022473396,0.0003757163337820768
discrepancy,overcautious_rate,0.1849584220979047,0.0015887914544543188
discrepancy,threat_sensitivity_choice,-0.16828520914752554,0.0041185216230308925
discrepancy,vigor_gap,-0.027932150833814756,0.6362981435218865
discrepancy,policy_alignment,-0.21192251005529508,0.0002852202841490828
discrepancy,residual_overcaution,0.12327473576913257,0.0362080204359395
discrepancy,total_earnings,-0.2363122323925704,4.9598323161269854e-05
encounter_reactivity,overcautious_rate,-0.0859644416992142,0.1449062224153087
encounter_reactivity,threat_sensitivity_choice,0.11303296944086474,0.05493522663637209
encounter_reactivity,vigor_gap,0.04771892726421356,0.4189951717853546
encounter_reactivity,policy_alignment,0.10518871950539688,0.07419410010226654
encounter_reactivity,residual_overcaution,-0.01121040842737094,0.8494995789497265
encounter_reactivity,total_earnings,-0.019672914747642774,0.7391174052450034
