test,r,p,n,beta_ce,t_ce,p_ce,beta_cd,t_cd,p_cd
ce_overcautious_bivariate,0.9241884461372474,1.156468360638462e-123,293,,,,,,
ce_overcautious_partial,0.9227524863792512,1.5934015616080185e-122,293,,,,,,
ce_overrisky_bivariate,-0.7751156719792436,5.646971946719387e-60,293,,,,,,
cd_survival_bivariate,-0.019563046929059896,0.7387826095051485,293,,,,,,
cd_survival_partial,0.012759602120573742,0.8278308263050208,293,,,,,,
cd_vigor_gap_bivariate,0.5539778782296803,5.74673703628284e-25,293,,,,,,
cd_vigor_gap_partial,0.5495039906850444,1.6268905080467096e-24,293,,,,,,
overcautious_multiple_R2,0.8550007828059556,2.5004625525462815e-122,293,0.19616540769402244,40.773714479294675,4.141585380549305e-122,-0.002733047611133011,-1.3240117554779676,0.1865417754083042
overcautious_unique_R2_ce,0.8312434085932895,4.141585380549305e-122,293,,,,,,
overcautious_unique_R2_cd,0.0008764988323757272,0.1865417754083042,293,,,,,,
survival_multiple_R2,0.05578109490996053,0.00024296307851686135,293,0.05087663587311386,4.124878814645975,4.850027875167149e-05,0.0011499842395145841,0.21730588461487396,0.8281227785340527
survival_unique_R2_ce,0.05539838210481218,4.850027875167149e-05,293,,,,,,
survival_unique_R2_cd,0.00015375090045421924,0.8281227785340527,293,,,,,,
gamma_distortion_pct_explained,-0.19964885879107072,,293,,,,,,
profile_Vigilant,103.46341463414635,,82,,,,,,
profile_Cautious,67.61538461538461,,65,,,,,,
profile_Bold,96.0625,,64,,,,,,
profile_Disengaged,66.4390243902439,,82,,,,,,
