clinical_measure,predictor,model,posterior_mean,hdi_low,hdi_high,P_positive,P_negative,pct_in_ROPE
OASIS,log_ce,params_only,-0.05688084928834477,-0.17236141353616033,0.050142864944196286,0.17525,0.82475,0.759875
OASIS,log_cd,params_only,-0.045932221514342376,-0.16446264593416998,0.06366567347909062,0.227375,0.772625,0.80825
STAI_State,log_ce,params_only,0.05151792934787767,-0.06364773149924714,0.16345012368025072,0.795625,0.204375,0.78225
STAI_State,log_cd,params_only,0.020985616241419803,-0.09076415505400687,0.13656661175172624,0.63675,0.36325,0.873375
PHQ9,log_ce,params_only,-0.03235249647424671,-0.14547671192569264,0.08153499199754642,0.299125,0.700875,0.845375
PHQ9,log_cd,params_only,0.0323873809942519,-0.07984937331933535,0.14663485104312157,0.70325,0.29675,0.851875
DASS_Anxiety,log_ce,params_only,-0.04513197283607953,-0.1553834069690395,0.06867084541117555,0.22825,0.77175,0.809625
DASS_Anxiety,log_cd,params_only,-0.0017272436483049504,-0.11393923751463916,0.11222863498192436,0.484375,0.515625,0.89625
DASS_Stress,log_ce,params_only,-0.04937794098655007,-0.16087407960851272,0.06238570441358972,0.205625,0.794375,0.797375
DASS_Stress,log_cd,params_only,0.02091389623899422,-0.08887474329589581,0.13641780956698313,0.63325,0.36675,0.88325
DASS_Depression,log_ce,params_only,-0.02158581631068711,-0.13333738843367482,0.08908195328627805,0.360875,0.639125,0.8845
DASS_Depression,log_cd,params_only,0.06094250557581829,-0.04734724578802736,0.17465142276545195,0.846,0.154,0.74025
STICSA,log_ce,params_only,-0.014913422826981104,-0.13031741628829457,0.09950261578946652,0.399125,0.600875,0.887375
STICSA,log_cd,params_only,-0.018278425340657236,-0.12967194021557502,0.09985270159030277,0.3855,0.6145,0.88275
AMI_Emotional,log_ce,params_only,0.0697966601895607,-0.04396874090989136,0.18016698381606158,0.874375,0.125625,0.69
AMI_Emotional,log_cd,params_only,0.08059457458226223,-0.030172086285892782,0.19349365655524176,0.911,0.089,0.62675
AMI_Behavioural,log_ce,params_only,-0.009665706263692316,-0.12416803012959053,0.0981322729685152,0.437375,0.562625,0.9005
AMI_Behavioural,log_cd,params_only,-0.03660770477642449,-0.15037749558923905,0.07902378962869439,0.276125,0.723875,0.83975
OASIS,log_ce,full_metacog,-0.09155281405817184,-0.2003109969724304,0.02161208589306887,0.062875,0.937125,0.556125
OASIS,log_cd,full_metacog,-0.05522221423122455,-0.16255651964941029,0.05372739570232771,0.170875,0.829125,0.772125
OASIS,discrepancy,full_metacog,0.22834414311754797,0.11853089266171914,0.34916208320034264,1.0,0.0,0.02025
OASIS,calibration,full_metacog,-0.01999540955543521,-0.12939454067034273,0.09078551638565158,0.3675,0.6325,0.893
STAI_State,log_ce,full_metacog,0.013603082207920255,-0.09030589541612793,0.1213559904749084,0.588125,0.411875,0.914375
STAI_State,log_cd,full_metacog,0.002113519738501476,-0.10288911891902258,0.10553260438857992,0.517625,0.482375,0.927625
STAI_State,discrepancy,full_metacog,0.33755488517929894,0.22558775091514105,0.4481366571350021,1.0,0.0,0.0
STAI_State,calibration,full_metacog,0.11551410197678245,0.00822707385943156,0.21725804688228334,0.9815,0.0185,0.39775
PHQ9,log_ce,full_metacog,-0.06551303918675135,-0.17559057923409394,0.048048530719342224,0.138375,0.861625,0.71475
PHQ9,log_cd,full_metacog,0.02224129099273909,-0.09462341711001017,0.12692651647230174,0.65,0.35,0.888125
PHQ9,discrepancy,full_metacog,0.22518784229390512,0.11355373337233811,0.3430170252999525,1.0,0.0,0.020625
PHQ9,calibration,full_metacog,-0.007551332391501691,-0.11525533712664643,0.1073535227086198,0.44675,0.55325,0.907125
