clinical_measure,beta_cd,beta_eps,beta_interaction,t_interaction,p_interaction,R2,R2_adj
DASS21_Stress,-0.1429290520707073,0.03043734954312167,-0.03467738146353412,-0.5082882274835874,0.6116416825476814,0.005540049891956889,-0.0048550018513326965
DASS21_Anxiety,-0.1617147964128194,-0.0009402678106869524,-0.04161399876776475,-0.6102771226104183,0.5421611771687722,0.006564836854840217,-0.0038195028296039713
DASS21_Depression,-0.23969671133712683,0.07078283382907838,-0.11855587668258506,-1.7468988509428753,0.08172459143465106,0.015931200985316973,0.005644767546139184
AMI_Behavioural,-0.17163476603212535,0.008381906416163421,-0.09085838138210625,-1.3325438543613775,0.18373854171963308,0.006696929553525743,-0.003686029371001709
AMI_Social,-0.11661443900188481,0.07540273163671742,-0.11146388644195027,-1.6444087260717506,0.10118666700188246,0.018334279586651236,0.008072965435989121
AMI_Emotional,0.18184220686120817,0.053150117506877946,0.02263694762243635,0.3336257716017256,0.7389055893428541,0.01637092531717499,0.006089088299584544
MFIS_Physical,-0.007150477512690203,0.06570083325129522,0.008807136143965447,0.12891377793039085,0.8975161675635959,0.0027924551494374894,-0.007631317096387091
MFIS_Cognitive,-0.09715143558809247,0.06219546177415659,-0.034898589769894725,-0.5112023014867744,0.6096024458055859,0.00426227211985708,-0.006146136185510187
MFIS_Psychosocial,-0.16123572144595413,0.07655211961598325,-0.08504184854064929,-1.2495739689943888,0.212473285198396,0.010407824858738701,6.36557806071858e-05
OASIS_Total,-0.31299429525251915,-0.03833497158542663,-0.11945497073048013,-1.764091441102267,0.07878040148446996,0.020327145346780262,0.010086662545527147
PHQ9_Total,-0.16700187506392933,0.05415142481810899,-0.07525852416750235,-1.104228053211015,0.2704191451280502,0.00754996767445526,-0.0028240744752889846
STICSA_Total,-0.11293154885934488,-0.01781054946114739,-0.042838152178778385,-0.6270260726733189,0.5311406217327537,0.0027476535370605237,-0.007676587018301095
STAI_Trait,0.11124185327409102,0.07634562191435865,0.10624394414876046,1.5625525154675215,0.11925984137656483,0.012234319122097825,0.001909242318496096
