parameter,clinical_measure,r,p_uncorrected,n,ci_lo,ci_hi,p_FDR
log(c_effort),DASS21_Stress,-0.10250111279314474,0.08087827021017177,291,-0.21495102948983136,0.012631067705035533,0.3656237228525677
log(c_effort),DASS21_Anxiety,-0.08674498390333205,0.13989732706686045,291,-0.1997360829431324,0.02852282092269305,0.3806523145118166
log(c_effort),DASS21_Depression,-0.10134657777205378,0.08437470527366948,291,-0.21383800001998485,0.013797518770240482,0.3656237228525677
log(c_effort),AMI_Behavioural,0.027076094481354288,0.645530613348088,291,-0.08818175346211565,0.1416185055052872,0.7628998157750131
log(c_effort),AMI_Social,-0.06187527068013975,0.2928094727013974,291,-0.17560918918633808,0.0534885922951315,0.3806523145118166
log(c_effort),AMI_Emotional,0.020986161598185223,0.7214694994679388,291,-0.09422451944378003,0.1356421609249289,0.7815919577569337
log(c_effort),MFIS_Physical,-0.0677979316254186,0.24895338446737353,291,-0.18136737036066308,0.04755611002373898,0.3806523145118166
log(c_effort),MFIS_Cognitive,-0.07527483772791474,0.2004104593761786,291,-0.18862552950299008,0.04005516553190865,0.3806523145118166
log(c_effort),MFIS_Psychosocial,-0.1334119673147556,0.02283243376061694,291,-0.24464242759741345,-0.018715758070374865,0.2968216388880202
log(c_effort),OASIS_Total,-0.08149203127269303,0.1656023188991233,291,-0.19465141575281256,0.03380806967841426,0.3806523145118166
log(c_effort),PHQ9_Total,-0.07106368418158379,0.22682941185491143,291,-0.18453910153926206,0.04428145748489739,0.3806523145118166
log(c_effort),STICSA_Total,-0.013546871893153989,0.8180076536484906,291,-0.12833028817560388,0.10159469029568162,0.8180076536484906
log(c_effort),STAI_Trait,0.06407252662032308,0.27597273990463644,291,-0.05128864250124679,0.17774633293954364,0.3806523145118166
log(c_death),DASS21_Stress,-0.06205363124033073,0.2914177160731348,291,-0.17578271017245178,0.05331005481660728,0.762543502405951
log(c_death),DASS21_Anxiety,-0.07253911502574878,0.2173055531669843,291,-0.18597127984358064,0.04280119240996426,0.762543502405951
log(c_death),DASS21_Depression,-0.02496494657207974,0.6714905291358831,291,-0.13954767944633834,0.09027751151780715,0.9174623461046033
log(c_death),AMI_Behavioural,-0.016726551635873926,0.7763142928577412,291,-0.1314570354751765,0.09844609899383519,0.9174623461046033
log(c_death),AMI_Social,0.06181433630347592,0.2932859624638273,291,-0.05354958542317377,0.175549906562486,0.762543502405951
log(c_death),AMI_Emotional,0.11985895520236048,0.04103147926092515,291,0.0049437774765994785,0.2316497215691486,0.5334092303920269
log(c_death),MFIS_Physical,-0.006726521569852435,0.9090370146840996,291,-0.12161577112169851,0.10834058490327088,0.9220185295691588
log(c_death),MFIS_Cognitive,-0.021650876521348273,0.713030002336392,291,-0.13629488361908804,0.09356536524903905,0.9174623461046033
log(c_death),MFIS_Psychosocial,-0.0057632531217969565,0.9220185295691588,291,-0.12066660180523628,0.10929248437298343,0.9220185295691588
log(c_death),OASIS_Total,-0.09685170194246626,0.09916118369259402,291,-0.20950193119563562,0.018335803381964604,0.6445476940018611
log(c_death),PHQ9_Total,-0.025919091024738574,0.6597071409397787,291,-0.1404837243669531,0.08933044897777037,0.9174623461046033
log(c_death),STICSA_Total,-0.035875047695413956,0.5421634402622918,291,-0.15023862038701288,0.07943593985951881,0.9174623461046033
log(c_death),STAI_Trait,-0.03653035472115201,0.5348060686694206,291,-0.15087991335215423,0.0787838793794075,0.9174623461046033
log(ε),DASS21_Stress,0.016270838666681813,0.7822536180039783,291,-0.09889749795884523,0.13100904890082793,0.8689136507002523
log(ε),DASS21_Anxiety,-0.009716321437469172,0.8689136507002523,291,-0.12456047240946991,0.10538472771925343,0.8689136507002523
log(ε),DASS21_Depression,0.06381337203528643,0.2779236485144483,291,-0.051548173062556595,0.17749432402869908,0.7659879061838036
log(ε),AMI_Behavioural,0.013117016450912658,0.8236864566596055,291,-0.10202016601685171,0.12790741340794207,0.8689136507002523
log(ε),AMI_Social,0.08269756833576022,0.15941130780622792,291,-0.03259569065803795,0.19581886975622537,0.7659879061838036
log(ε),AMI_Emotional,0.061675149672338454,0.29437630355086747,291,-0.0536889030257764,0.1754144897800058,0.7659879061838036
log(ε),MFIS_Physical,0.049734141672061145,0.39795867651577527,291,-0.06562444984258106,0.1637808568445845,0.7659879061838036
log(ε),MFIS_Cognitive,0.048822841450895466,0.4066713279483038,291,-0.06653397957951367,0.16289170979310286,0.7659879061838036
log(ε),MFIS_Psychosocial,0.0683750049230143,0.2449385626742867,291,-0.04697764436666929,0.18192800157035383,0.7659879061838036
log(ε),OASIS_Total,-0.035530223925278756,0.5460549657251904,291,-0.14990113219325996,0.07977901567176478,0.7887460616030528
log(ε),PHQ9_Total,0.04593606943325042,0.4350082973960126,291,-0.06941387821595799,0.16007388990996507,0.7659879061838036
log(ε),STICSA_Total,-0.01616177980117761,0.7836768756324282,291,-0.13090183212686546,0.09900551739100372,0.8689136507002523
log(ε),STAI_Trait,0.04238467104277572,0.47137717303618687,291,-0.07295418513320631,0.15660476482492822,0.7659879061838036
