predictor,outcome,r,p,domain
calibration,choice_quality,0.22966803698405305,8.140253551803632e-05,performance
calibration,survival_rate,0.17868267725823034,0.0022959268813924523,performance
discrepancy,choice_quality,0.014488272162343425,0.8062659144478811,performance
discrepancy,survival_rate,-0.14036602121563474,0.016953551396374198,performance
calibration,OASIS_Total,-0.009446158230344956,0.8729659138038498,clinical
calibration,STAI_State,0.1207247163093023,0.040273506946369976,clinical
calibration,STICSA_Total,0.06389553773048467,0.2789757099993023,clinical
calibration,PHQ9_Total,0.003938921471151746,0.9468430493300392,clinical
calibration,DASS21_Anxiety,0.01630944583142554,0.7824886750812062,clinical
calibration,DASS21_Stress,0.06255797267422969,0.2891832790384929,clinical
calibration,DASS21_Depression,0.052325523093498194,0.3754633983595754,clinical
calibration,STAI_Trait,-0.06095046272739488,0.30262340018247313,clinical
discrepancy,OASIS_Total,0.20371310871574747,0.0004926422676579394,clinical
discrepancy,STAI_State,0.3271451841725121,1.23493806039565e-08,clinical
discrepancy,STICSA_Total,0.26388399420531067,5.430106600619692e-06,clinical
discrepancy,PHQ9_Total,0.20625589244325654,0.000416856124919904,clinical
discrepancy,DASS21_Anxiety,0.24987016148014665,1.7254069326378505e-05,clinical
discrepancy,DASS21_Stress,0.23172885952956068,6.991398146030389e-05,clinical
discrepancy,DASS21_Depression,0.21258852608436987,0.00027259906439034787,clinical
discrepancy,STAI_Trait,-0.22287771508450036,0.00013673850026388245,clinical
calibration,discrepancy,0.01900673994349744,0.747647169273572,orthogonality
