domain,threat,distance_H,cookie_type,obs_mean,obs_sem,pred_mean,pred_sem,resid,n,choice_accuracy,choice_auc,vigor_r,vigor_r2,subj_choice_r,subj_vigor_r
choice,0.100000,1,all,0.808247,0.010324,0.874022,0.003827,-0.065774,1455,,,,,,
choice,0.100000,2,all,0.694578,0.012071,0.708091,0.006567,-0.013514,1457,,,,,,
choice,0.100000,3,all,0.566438,0.012974,0.529058,0.007756,0.037380,1460,,,,,,
choice,0.500000,1,all,0.631469,0.012761,0.539851,0.004173,0.091617,1430,,,,,,
choice,0.500000,2,all,0.383287,0.012781,0.329279,0.005006,0.054009,1448,,,,,,
choice,0.500000,3,all,0.187630,0.010296,0.200687,0.004665,-0.013057,1439,,,,,,
choice,0.900000,1,all,0.392681,0.012959,0.328413,0.003121,0.064268,1421,,,,,,
choice,0.900000,2,all,0.138365,0.009131,0.177086,0.003202,-0.038721,1431,,,,,,
choice,0.900000,3,all,0.080000,0.007189,0.100754,0.002720,-0.020754,1425,,,,,,
vigor,0.100000,all,Heavy,-0.026144,0.004083,-0.048975,0.002131,0.022831,4765,,,,,,
vigor,0.100000,all,Light,-0.028656,0.005841,-0.051044,0.002355,0.022388,3101,,,,,,
vigor,0.500000,all,Heavy,-0.002697,0.005391,-0.006933,0.002731,0.004236,3463,,,,,,
vigor,0.500000,all,Light,-0.001454,0.004933,-0.023823,0.002069,0.022369,4329,,,,,,
vigor,0.900000,all,Heavy,0.012938,0.006128,0.009839,0.003312,0.003099,2582,,,,,,
vigor,0.900000,all,Light,0.023794,0.004278,-0.011628,0.001917,0.035422,5124,,,,,,
overall,,,,,,,,,36330,0.793306,0.876418,0.721707,0.520861,0.975716,0.835950
