test,param_a,param_b,pearson_r,pearson_p,spearman_rho,spearman_p
correlation_raw,c_effort,c_death,-0.022407547422514603,0.7024881828925645,0.36475644070335606,1.193371572130087e-10
correlation_raw,c_effort,epsilon,-0.055428479402032736,0.3444270923359153,-0.44710279268096037,8.334679784901107e-16
correlation_raw,c_death,epsilon,0.6635611090956097,1.4854763622913636e-38,0.011801316908080735,0.8405816659446139
correlation_log,c_effort,c_death,0.12260849997811586,0.03593440892129799,0.36475644070335606,1.193371572130087e-10
correlation_log,c_effort,epsilon,-0.3380404333837409,2.897918168532603e-09,-0.44710279268096037,8.334679784901107e-16
correlation_log,c_death,epsilon,0.17921761232546735,0.0020730026978892113,0.011801316908080735,0.8405816659446139
quadrant,Hi_cd_Hi_eps,,0.38133333333333325,0.7120000000000002,25.0,
quadrant,Hi_cd_Lo_eps,,0.11288888888888887,0.728,25.0,
quadrant,Lo_cd_Hi_eps,,0.7313131313131312,0.6444444444444444,11.0,
quadrant,Lo_cd_Lo_eps,,0.5814814814814814,0.5802469135802468,18.0,
partial_r2_p_heavy,log(c_effort),unique,0.00490891909969049,0.87852907107328,,
partial_r2_p_heavy,log(c_death),unique,0.7138750427741277,0.87852907107328,,
partial_r2_p_heavy,log(epsilon),unique,0.2776450481340169,0.87852907107328,,
partial_r2_survival_rate,log(c_effort),unique,0.00020459463547262136,0.056432643485467504,,
partial_r2_survival_rate,log(c_death),unique,0.05051430072914853,0.056432643485467504,,
partial_r2_survival_rate,log(epsilon),unique,0.006003830856872283,0.056432643485467504,,
