parameter,clinical_measure,r,p_uncorrected,n,p_fdr,sig_fdr
cd,DASS21_Stress,-0.06446968476526535,0.27300101467876037,291,0.6583006716091288,False
cd,DASS21_Anxiety,-0.07465267658104653,0.20416633605174933,291,0.6583006716091288,False
cd,DASS21_Depression,-0.02897578913510296,0.6225314063012922,291,0.9125817435758555,False
cd,DASS21_Total,-0.05922945545435754,0.31397593228560594,291,0.6671988561069127,False
cd,AMI_Behavioural,-0.02073264171154706,0.724697266957297,291,0.9125817435758555,False
cd,AMI_Social,0.0661870954138907,0.260401694949791,291,0.6583006716091288,False
cd,AMI_Emotional,0.12088423304080684,0.0393203844174427,291,0.6583006716091288,False
cd,AMI_Total,0.06752770795585346,0.2508490377771758,291,0.6583006716091288,False
cd,MFIS_Physical,-0.011001763116304714,0.8517594962538728,291,0.9789148099001035,False
cd,MFIS_Cognitive,-0.024158423619875455,0.6815140186605815,291,0.9125817435758555,False
cd,MFIS_Psychosocial,-0.00568978241091897,0.9230095526645022,291,0.9789148099001035,False
cd,MFIS_Total,-0.01741932928077732,0.7673102719053931,291,0.931733901599406,False
cd,OASIS_Total,-0.09541418401812711,0.10430188226043861,291,0.6583006716091288,False
cd,PHQ9_Total,-0.02987088391139743,0.6118186244426294,291,0.9125817435758555,False
cd,STICSA_Total,-0.03822651311521233,0.5159982753174475,291,0.8970510830386189,False
cd,STAI_State,0.020894405453241383,0.7226371552491907,291,0.9125817435758555,False
cd,STAI_Trait,-0.037169646613718,0.5276771076697758,291,0.8970510830386189,False
eps,DASS21_Stress,0.05420380546335019,0.35687010373183553,291,0.7137402074636711,False
eps,DASS21_Anxiety,0.028446767107918183,0.6289006960080352,291,0.9125817435758555,False
eps,DASS21_Depression,0.09144136000628765,0.11960791887260787,291,0.6583006716091288,False
eps,DASS21_Total,0.06803214014538103,0.2473184615532158,291,0.6583006716091288,False
eps,AMI_Behavioural,0.0025988921941534054,0.9647903856749652,291,0.9789148099001035,False
eps,AMI_Social,0.08902565736439388,0.12973759629525436,291,0.6583006716091288,False
eps,AMI_Emotional,0.03874861486352312,0.5102784447151077,291,0.8970510830386189,False
eps,AMI_Total,0.062180973772117246,0.2904267668863803,291,0.6583006716091288,False
eps,MFIS_Physical,0.0675183895788101,0.25091458565809893,291,0.6583006716091288,False
eps,MFIS_Cognitive,0.0705248927466528,0.2303800439683885,291,0.6583006716091288,False
eps,MFIS_Psychosocial,0.09894286229127205,0.09204444426185623,291,0.6583006716091288,False
eps,MFIS_Total,0.07730097422992904,0.18852716791684787,291,0.6583006716091288,False
eps,OASIS_Total,0.002392026583348611,0.9675913867717052,291,0.9789148099001035,False
eps,PHQ9_Total,0.07109338845769608,0.22663479638197592,291,0.6583006716091288,False
eps,STICSA_Total,-0.0031024635709370678,0.9579738051137573,291,0.9789148099001035,False
eps,STAI_State,0.022362188580481335,0.7040374600941991,291,0.9125817435758555,False
eps,STAI_Trait,-0.0015560176519902739,0.9789148099001035,291,0.9789148099001035,False
