predictor,outcome,r,p,domain
calibration,choice_quality,0.23903059315546657,4.0330416880354234e-05,performance
calibration,survival_rate,0.18525347860338573,0.0015610759072297237,performance
discrepancy,choice_quality,-0.06539854102712155,0.26779981255715957,performance
discrepancy,survival_rate,-0.15341239664664183,0.008996451592920101,performance
calibration,OASIS_Total,0.01807001145060175,0.7596930876517073,clinical
calibration,STAI_State,0.13799210381182087,0.018928430902669338,clinical
calibration,STICSA_Total,0.07683513425694881,0.19275830987633596,clinical
calibration,PHQ9_Total,0.015660940717932278,0.7909336492127801,clinical
calibration,DASS21_Anxiety,0.022309805704112236,0.7056757497208509,clinical
calibration,DASS21_Stress,0.07292627457757775,0.21645108006316488,clinical
calibration,DASS21_Depression,0.06742485809317693,0.2532231370832997,clinical
calibration,STAI_Trait,-0.07882773348847655,0.18220062901583442,clinical
discrepancy,OASIS_Total,0.17658233472265378,0.0025902172692351525,clinical
discrepancy,STAI_State,0.30826402778406936,8.864089896975328e-08,clinical
discrepancy,STICSA_Total,0.2490003887302806,1.8497166307122613e-05,clinical
discrepancy,PHQ9_Total,0.2008500112865191,0.0005931688151362574,clinical
discrepancy,DASS21_Anxiety,0.23400843034186797,5.8990293234465616e-05,clinical
discrepancy,DASS21_Stress,0.21721597409676266,0.00019828247108408077,clinical
discrepancy,DASS21_Depression,0.20558606993728148,0.00043569291455243823,clinical
discrepancy,STAI_Trait,-0.2028456295215558,0.0005331787452406275,clinical
calibration,discrepancy,-0.02367605668963351,0.6885638483442014,orthogonality
