parameter,outcome,r,p,analysis,F,mean_vigilant,mean_helpless,mean_reckless,mean_disengaged,R2,R2_adj,b_cd,p_cd,b_eps,p_eps,b_int,p_int
log_cd,p_heavy,-0.7792672009493316,5.244462172467841e-61,correlation,,,,,,,,,,,,,
log_cd,survival,0.22517438294596484,0.00010110057943870789,correlation,,,,,,,,,,,,,
log_cd,total_earnings,-0.17298528245638592,0.0029702332723564114,correlation,,,,,,,,,,,,,
log_cd,OASIS_Total,-0.09180783850110122,0.11685946147370482,correlation,,,,,,,,,,,,,
log_cd,AMI_Total,0.06982345879330272,0.23344523332445663,correlation,,,,,,,,,,,,,
log_cd,PHQ9_Total,-0.02858338573644173,0.6260621170899067,correlation,,,,,,,,,,,,,
log_cd,STAI_Trait,,,correlation,,,,,,,,,,,,,
log_eps,p_heavy,0.37654171059056046,2.6520755350038707e-11,correlation,,,,,,,,,,,,,
log_eps,survival,-0.06205454004550989,0.28974428840712535,correlation,,,,,,,,,,,,,
log_eps,total_earnings,0.153315633646466,0.008571651595792944,correlation,,,,,,,,,,,,,
log_eps,OASIS_Total,-0.004528858641776505,0.9384719242247391,correlation,,,,,,,,,,,,,
log_eps,AMI_Total,0.05335304787261137,0.3628216833934383,correlation,,,,,,,,,,,,,
log_eps,PHQ9_Total,0.06621548821188748,0.2585512390990347,correlation,,,,,,,,,,,,,
log_eps,STAI_Trait,,,correlation,,,,,,,,,,,,,
,p_heavy,,4.93043049394297e-57,quadrant_anova,143.8407196313664,0.37365079365079357,0.21327561327561326,0.621933621933622,0.5201288244766508,,,,,,,,
,survival,,2.5352131836305162e-05,quadrant_anova,8.315560836156587,0.7025396825396826,0.736219336219336,0.6611832611832611,0.6286634460547502,,,,,,,,
,total_earnings,,0.0029994988007160323,quadrant_anova,4.749310962604277,13.6,1.6753246753246753,27.7012987012987,5.3768115942028984,,,,,,,,
,OASIS_Total,,0.2912368384395284,quadrant_anova,1.2517591035217988,5.557142857142857,6.753246753246753,6.64935064935065,5.739130434782608,,,,,,,,
,AMI_Total,,0.04829706292065714,quadrant_anova,2.66226647536846,28.885714285714286,28.87012987012987,29.07792207792208,24.956521739130434,,,,,,,,
,PHQ9_Total,,0.32556093261733327,quadrant_anova,1.1593456846303742,7.4714285714285715,7.35064935064935,8.61038961038961,6.681159420289855,,,,,,,,
,STAI_Trait,,,quadrant_anova,,51.385714285714286,,51.12987012987013,52.20289855072464,,,,,,,,
,p_heavy,,,regression,,,,,,0.8766784685494061,0.8753983142436906,-0.161933879639284,2.110805838704757e-61,0.09552617694447921,2.298270223700333e-72,0.03689058993436667,8.733584663772008e-21
,survival,,,regression,,,,,,0.07637715334641004,0.06678937293132092,0.01892972389018989,0.20035127145244822,-0.015163176651397528,0.04691519855618644,-0.01662358342670157,0.01982971874476152
,total_earnings,,,regression,,,,,,0.060949079103862824,0.05120114566895484,-12.330870023329688,0.011353306944713018,7.461949111899956,0.003002206450836164,-0.4901729964558996,0.8334187068057312
