outcome,params_only_r2_mean,params_only_r2_std,params_meta_r2_mean,params_meta_r2_std,improvement
DASS21_Stress,-0.046702384511379445,0.06758316933907346,-0.04670422945923443,0.06736868887184802,-1.844947854982848e-06
DASS21_Anxiety,-0.042903192121911723,0.0471661709304056,-0.05117138266772694,0.054282692116806766,-0.008268190545815214
DASS21_Depression,-0.0395161827854081,0.06497608292500257,-0.04205846562496384,0.06701321232801118,-0.0025422828395557442
DASS21_Total,-0.041901312178866015,0.06465980677071155,-0.04728685480882347,0.06853092091751356,-0.005385542629957454
AMI_Behavioural,-0.047491999163719066,0.0784923382984156,-0.052498109033895984,0.07825808638760316,-0.005006109870176918
AMI_Social,-0.040250003493574216,0.03651322115700041,-0.03498883637389823,0.03674680359229663,0.0052611671196759885
AMI_Emotional,-0.05684398277696637,0.05138256015487113,-0.058560566564452896,0.05500733105005496,-0.001716583787486528
AMI_Total,-0.03717876557745485,0.060331940700958625,-0.03966520526352136,0.0611326241242375,-0.002486439686066509
MFIS_Physical,-0.05009405454280687,0.0779449022595177,-0.047663665037487916,0.0790172055167924,0.0024303895053189514
MFIS_Cognitive,-0.04797515418699962,0.06820139316955995,-0.04854835498303002,0.061969827084071324,-0.0005732007960303973
MFIS_Psychosocial,-0.03210959759498269,0.03252589300189518,-0.03596745886313101,0.03453430926243862,-0.00385786126814832
MFIS_Total,-0.047801787958217525,0.07186143594878679,-0.05221979240656634,0.0651177932535668,-0.004418004448348813
OASIS_Total,-0.039487131302741806,0.05981365929232036,-0.04202714014886823,0.0630932443453329,-0.0025400088461264222
PHQ9_Total,-0.04344782777508504,0.06054767803418511,-0.05156023557187642,0.06518812876942201,-0.008112407796791378
STICSA_Total,-0.04168732846740133,0.059844383117477154,-0.045658975155787075,0.06161056740980995,-0.0039716466883857465
STAI_State,-0.04475322627756784,0.05980699992121693,-0.05168357871968636,0.06198055526479365,-0.006930352442118523
STAI_Trait,-0.0472726987832464,0.09639198824240543,-0.049717759562222436,0.10605150197650344,-0.0024450607789760354
F1_distress,-0.04480515823205174,0.05412294915145118,-0.04526581534887043,0.053862912679295376,-0.0004606571168186968
F2_fatigue,-0.045567492859278975,0.06497727746356652,-0.0447412261740374,0.06640714526223158,0.0008262666852415779
F3_amotivation,-0.04241934120666075,0.053647202057065656,-0.03393299870321673,0.052297002143167085,0.008486342503444023
