domain,threat,distance_H,cookie_type,obs_mean,obs_sem,pred_mean,pred_sem,resid,n
choice,0.100000,1,all,0.808247,0.010324,0.815472,0.006401,-0.007225,1455
choice,0.100000,2,all,0.694578,0.012071,0.815105,0.006409,-0.120528,1457
choice,0.100000,3,all,0.566438,0.012974,0.813166,0.006456,-0.246727,1460
choice,0.500000,1,all,0.631469,0.012761,0.353485,0.007771,0.277983,1430
choice,0.500000,2,all,0.383287,0.012781,0.355183,0.007742,0.028104,1448
choice,0.500000,3,all,0.187630,0.010296,0.353297,0.007736,-0.165666,1439
choice,0.900000,1,all,0.392681,0.012959,0.179823,0.006072,0.212858,1421
choice,0.900000,2,all,0.138365,0.009131,0.180254,0.006060,-0.041889,1431
choice,0.900000,3,all,0.080000,0.007189,0.180271,0.006105,-0.100271,1425
vigor,0.100000,all,Heavy,-0.021499,0.005015,0.210331,0.003258,-0.231830,3015
vigor,0.100000,all,Light,-0.041963,0.008656,0.008203,0.003460,-0.050166,1357
vigor,0.500000,all,Heavy,0.018181,0.008689,0.274295,0.003834,-0.256114,1728
vigor,0.500000,all,Light,-0.005150,0.006512,0.058392,0.002378,-0.063542,2589
vigor,0.900000,all,Heavy,0.038396,0.011160,0.287759,0.005865,-0.249364,870
vigor,0.900000,all,Light,0.020627,0.005340,0.074884,0.001998,-0.054258,3407
