# EVC Quadrant Analysis — Behavioral Profiles
# N = 293 subjects
# Median log(c_death) = -0.6175, Median log(epsilon) = -1.9248

## Section 1: Parameter-Behavior Correlations
parameter,outcome,pearson_r,pearson_p,spearman_rho,spearman_p,n
log(c_effort),P(choose heavy),-0.2262496693138516,9.345037119392143e-05,-0.39338926796291296,2.773368020886471e-12,293
log(c_effort),Survival rate,0.07272201020628417,0.21456024403032867,0.10381180457593418,0.07603462211743621,293
log(c_effort),Total earnings,-0.06017971722697095,0.30459082535766574,-0.11677925669448622,0.045799910062378435,293
log(c_death),P(choose heavy),-0.7635605108540927,3.2492509869986376e-57,-0.8262557081424894,1.6444282690232905e-74,293
log(c_death),Survival rate,0.2197758500820788,0.00014923123235100196,0.26279077847217086,5.129696332559376e-06,293
log(c_death),Total earnings,-0.17010959845650123,0.0034927195155159537,-0.13452142630725733,0.021263567564871584,293
log(ε),P(choose heavy),0.39349779020915643,2.7321730104603634e-12,0.40420969953567226,6.069783205381274e-13,293
log(ε),Survival rate,-0.04820242015797852,0.41105211918825474,-0.02251627589141654,0.7011135518321726,293
log(ε),Total earnings,0.1764021206337704,0.0024422201981244306,0.19648744891373549,0.0007196708388666762,293

## Section 2: Quadrant Summary Statistics
variable,quadrant,mean,sd,n,F_stat,F_pval
P(heavy),Adaptive Vigilance,0.37365079365079357,0.15586777303719415,70,147.79185050172845,4.6903001522219675e-58
P(heavy),Anxious Helplessness,0.2126984126984127,0.12200558000365481,77,147.79185050172845,4.6903001522219675e-58
P(heavy),Bold Vigorous,0.6251082251082251,0.1208240414173185,77,147.79185050172845,4.6903001522219675e-58
P(heavy),Disengaged,0.517230273752013,0.1118202246599726,69,147.79185050172845,4.6903001522219675e-58
Survival,Adaptive Vigilance,0.7031746031746032,0.14856795821341795,70,7.609254320178438,6.495851707527212e-05
Survival,Anxious Helplessness,0.7336219336219335,0.14760348982270993,77,7.609254320178438,6.495851707527212e-05
Survival,Bold Vigorous,0.6606060606060605,0.1386670210876208,77,7.609254320178438,6.495851707527212e-05
Survival,Disengaged,0.631561996779388,0.12239475624334197,69,7.609254320178438,6.495851707527212e-05
Earnings,Adaptive Vigilance,13.542857142857143,46.26818035602391,70,5.260628193741795,0.0015101929808529013
Earnings,Anxious Helplessness,0.7142857142857143,47.99968671576961,77,5.260628193741795,0.0015101929808529013
Earnings,Bold Vigorous,28.428571428571427,50.22146442231453,77,5.260628193741795,0.0015101929808529013
Earnings,Disengaged,5.695652173913044,38.08477553927866,69,5.260628193741795,0.0015101929808529013
OASIS,Adaptive Vigilance,5.357142857142857,4.779290209521943,70,1.7723241161140124,0.15255321255545012
OASIS,Anxious Helplessness,6.753246753246753,4.877865808548491,77,1.7723241161140124,0.15255321255545012
OASIS,Bold Vigorous,6.818181818181818,4.734329477136771,77,1.7723241161140124,0.15255321255545012
OASIS,Disengaged,5.753623188405797,4.275118839426467,69,1.7723241161140124,0.15255321255545012
STAI-State,Adaptive Vigilance,41.31428571428572,13.997456142739255,70,1.1867489338724289,0.3150232361025851
STAI-State,Anxious Helplessness,44.0,14.659288415271229,77,1.1867489338724289,0.3150232361025851
STAI-State,Bold Vigorous,43.84415584415584,14.348175140767202,77,1.1867489338724289,0.3150232361025851
STAI-State,Disengaged,40.34782608695652,14.218697391066497,69,1.1867489338724289,0.3150232361025851
PHQ-9,Adaptive Vigilance,7.214285714285714,6.556096525853985,70,1.3100559141835464,0.2713009846516724
PHQ-9,Anxious Helplessness,7.597402597402597,6.667398569985583,77,1.3100559141835464,0.2713009846516724
PHQ-9,Bold Vigorous,8.64935064935065,6.67628606527815,77,1.3100559141835464,0.2713009846516724
PHQ-9,Disengaged,6.6231884057971016,5.506951353878227,69,1.3100559141835464,0.2713009846516724
AMI-Emotional,Adaptive Vigilance,7.271428571428571,3.870817718992279,70,1.7870497427943253,0.14973314932779658
AMI-Emotional,Anxious Helplessness,7.220779220779221,3.7996654167916604,77,1.7870497427943253,0.14973314932779658
AMI-Emotional,Bold Vigorous,6.753246753246753,3.873512767759505,77,1.7870497427943253,0.14973314932779658
AMI-Emotional,Disengaged,5.9855072463768115,3.3715625353971674,69,1.7870497427943253,0.14973314932779658

## Section 3: Regression Results
outcome,predictor,beta,se,t,p,R2
Total earnings,log(c_effort),2.1301634061865524,2.9546157125566035,0.7209612394375783,0.4715161562344832,0.0748246288041825
Total earnings,log(c_death),-13.223602648908411,3.5788169435987793,-3.6949648046572197,0.0002629943947096087,0.0748246288041825
Total earnings,log(ε),13.212172584272274,3.5509935012187195,3.7206974836022053,0.00023869537126819393,0.0748246288041825
Survival rate,log(c_effort),0.0022952759241932383,0.009169070513753557,0.2503280916806493,0.8025114957390727,0.05643264348546717
Survival rate,log(c_death),0.043685110101216104,0.01110615663898949,3.933413828133335,0.00010492945176241624,0.05643264348546717
Survival rate,log(ε),-0.014943450140607996,0.011019812041269412,-1.3560530873525323,0.17614084416573839,0.05643264348546717
P(choose heavy),log(c_effort),0.015814878363497677,0.00462764646988153,3.4174776458026503,0.0007228293209082319,0.87852907107328
P(choose heavy),log(c_death),-0.2310055956275399,0.005605297340365991,-41.212014564147395,5.029752757506898e-123,0.87852907107328
P(choose heavy),log(ε),0.14294427261200887,0.005561719065748809,25.70145505772025,1.2494031402111621e-76,0.87852907107328
