predictor,outcome,r,p
log_ce,overcautious_rate,0.9234267637353205,2.1720282864484147e-121
log_ce,survival_rate,0.23263991653251365,6.533764517863342e-05
log_ce,policy_alignment,-0.5593007538078741,3.4801219543118593e-25
log_ce,residual_overcaution,-8.360996578180894e-16,0.999999999999988
log_ce,total_earnings,-0.8099995633293261,1.743802438762581e-68
log_cd,overcautious_rate,-0.14669142278041813,0.012543780338370024
log_cd,survival_rate,-0.023653017011106038,0.688851132763471
log_cd,policy_alignment,0.10493054409858861,0.07491113718844557
log_cd,residual_overcaution,-1.491367596040314e-15,0.999999999999979
log_cd,total_earnings,0.14796951556957635,0.011786979303839058
calibration,overcautious_rate,-0.16939226851715034,0.0038759134010024066
calibration,survival_rate,0.1786844704346499,0.0022956892090384914
calibration,policy_alignment,0.304234663333035,1.326509362881636e-07
calibration,residual_overcaution,-0.21786476813303648,0.00018952566067413732
calibration,total_earnings,0.200637714938712,0.0006013323544431191
discrepancy,overcautious_rate,0.18495842209790467,0.0015887914544543188
discrepancy,survival_rate,-0.14036602121563477,0.016953551396374198
discrepancy,policy_alignment,-0.21192251005529514,0.0002852202841490828
discrepancy,residual_overcaution,0.14227711389672848,0.015496839803578098
discrepancy,total_earnings,-0.23631223239257046,4.9598323161269854e-05
encounter_reactivity,overcautious_rate,-0.0859644416992142,0.1449062224153087
encounter_reactivity,survival_rate,-0.24200350686227323,3.207600606701471e-05
encounter_reactivity,policy_alignment,0.10518871950539688,0.07419410010226654
encounter_reactivity,residual_overcaution,-0.055869630778225515,0.34394109754302066
encounter_reactivity,total_earnings,-0.019672914747642774,0.7391174052450034
