parameter,mean,std,rhat,ess
mu_ce,-0.5448897338311283,0.06394350544967317,1.0187142074025815,145.97271820479227
mu_cd,3.2514488835415283,0.35655794883173,1.012683688682532,525.0012623905335
sigma_ce,0.732635742967588,0.035884874837726476,1.0248393005596252,180.99393099412495
sigma_cd,1.7571407064230278,0.09046821254286734,1.120349889579631,38.94845934171475
eps_raw,-2.0909504059332122,0.4391063057291073,1.0146876050344373,540.8358405214067
gamma_raw,-1.5693867186122834,0.056903598631460196,1.0019682830859784,568.0379917344779
tau_raw,-0.7424377090923227,0.047319189835065806,1.0052859630492967,519.712793879971
p_esc_raw,-4.480894970389719,0.5209998541939093,1.0101559581490338,473.80349107158753
sigma_v,0.22941897925707463,0.001030292131541788,1.0037315577975718,800.0
sigma_motor_raw,0.18619578030390904,0.18005063485010459,1.0036423698509143,343.38202016057767
ce_vigor_raw,-5.928549115684038,0.3416248167669551,1.005054970909352,800.0
ce_raw (median across subjects),0.0506494676688534,0.28496036788068557,1.0003849939591454,800.0
cd_raw (median across subjects),0.23565618047951958,0.14216160310651346,1.0435169101028363,241.52480496185913
