test,r,p,n,note
calibration_discrepancy_orthogonality,0.01899471706349828,0.7478013976460882,289,orthogonal if |r|<0.15
base_model_overcaution_R2,0.8535140880190777,5.1145551592150066e-120,289,
discrepancy_residual_overcaution,0.14227711389672848,0.015496839803578098,289,KEY TEST: does affect explain what params cannot?
hierarchical_discrepancy_delta_R2,0.0030328790220902624,0.014698801797853434,289,F_change=6.025
calibration_policy_alignment_bivariate,0.304234663333035,1.326509362881636e-07,289,
calibration_policy_alignment_partial,0.3051827944595041,1.2071206704044985e-07,289,
hierarchical_calibration_delta_R2,0.06389842974688242,1.33547723324412e-07,289,
discrepancy_excess_vigor_lowT,-0.12181107474215457,0.03849672628257208,289,
clinical_discrepancy_STAI_Trait,-0.22287771508450036,0.00013673850026388245,288,
clinical_discrepancy_OASIS_Total,0.2037131087157475,0.0004926422676579394,289,
clinical_discrepancy_DASS21_Anxiety,0.24987016148014668,1.7254069326378505e-05,289,
clinical_discrepancy_STICSA_Total,0.26388399420531067,5.430106600619692e-06,289,
clinical_encounter_reactivity_AMI_Total,-0.005523174231861321,0.9255160823798211,289,
clinical_calibration_STAI_Trait,-0.06095350182141669,0.3025992484282703,288,
clinical_calibration_OASIS_Total,-0.009448314266407524,0.8729371639890674,289,
