component,variable_set,variable,structure_coef,ci_lo,ci_hi,perm_p,canonical_r
1,param,z,-0.4626596337382713,-0.9862318516922466,0.6337392071370095,0.0032,0.25367862558226567
1,param,kappa,0.6616256956979286,-0.4332557725594514,0.9913672295678847,0.0032,0.25367862558226567
1,param,beta,-0.37909329817015397,-0.868354369842796,0.31555161549183885,0.0032,0.25367862558226567
1,vigor,onset_slope_resid,-0.882916661646913,-0.9217455881078928,-0.3660095175535052,0.0032,0.25367862558226567
1,vigor,onset_mean_resid,-0.7815827067663141,-0.9356236291953975,-0.15000983420536393,0.0032,0.25367862558226567
1,vigor,enc_pre_mean_resid,-0.9193720556359324,-0.9637397506008097,-0.37780738520920254,0.0032,0.25367862558226567
1,vigor,enc_post_mean_resid,-0.9291568584622014,-0.9845486799585926,-0.2497465147430724,0.0032,0.25367862558226567
1,vigor,enc_spike_resid,-0.23567796925384477,-0.7523516276225453,0.545071465461184,0.0032,0.25367862558226567
1,vigor,term_mean_resid,-0.6783426533392062,-0.9009680068483885,0.06194592575225594,0.0032,0.25367862558226567
1,vigor,term_slope_resid,0.5860583513813118,0.07539051590731473,0.7707438460744435,0.0032,0.25367862558226567
2,param,z,0.8750266903495207,-0.1159058044399918,0.9915313155929315,0.0,0.25116509138071286
2,param,kappa,0.6269989365259859,-0.42487720605305784,0.9697927839208712,0.0,0.25116509138071286
2,param,beta,0.014956395262247043,-0.7929545619664808,0.699718161867324,0.0,0.25116509138071286
2,vigor,onset_slope_resid,-0.051111709857031826,-0.7206382771914527,0.6349973109854578,0.0,0.25116509138071286
2,vigor,onset_mean_resid,0.4760176538428222,-0.37949143827569704,0.87079137641776,0.0,0.25116509138071286
2,vigor,enc_pre_mean_resid,0.19583654588345992,-0.5836585995172442,0.7886051493314228,0.0,0.25116509138071286
2,vigor,enc_post_mean_resid,-0.31574214777021054,-0.9083896944745482,0.46075802780116004,0.0,0.25116509138071286
2,vigor,enc_spike_resid,-0.7936743081175625,-0.9493591613401713,0.11611189687172806,0.0,0.25116509138071286
2,vigor,term_mean_resid,-0.5893283495517989,-0.8751541597327804,0.10529326746375624,0.0,0.25116509138071286
2,vigor,term_slope_resid,-0.4632797996408153,-0.7989117914068584,0.1996974002175732,0.0,0.25116509138071286
3,param,z,-0.14238804193165813,-0.7362369742715595,0.49450505853316745,0.0048,0.12512899059523036
3,param,kappa,0.41124660775198413,-0.2007030670393076,0.9416944780414076,0.0048,0.12512899059523036
3,param,beta,0.9252375789618759,0.2267055674781001,0.9969755534857776,0.0048,0.12512899059523036
3,vigor,onset_slope_resid,0.24686155082732825,-0.13826130335445627,0.47081039600599506,0.0048,0.12512899059523036
3,vigor,onset_mean_resid,-0.2861245187783129,-0.607148626164632,0.2564044821587281,0.0048,0.12512899059523036
3,vigor,enc_pre_mean_resid,-0.3066320435382963,-0.5176339195281536,0.2544838013486916,0.0048,0.12512899059523036
3,vigor,enc_post_mean_resid,0.05892232872643506,-0.1899849155805549,0.24367133557023699,0.0048,0.12512899059523036
3,vigor,enc_spike_resid,0.5273119664674552,-0.47659634166976983,0.8627970778361105,0.0048,0.12512899059523036
3,vigor,term_mean_resid,-0.2875809362142436,-0.5721693808320851,0.25350526678706775,0.0048,0.12512899059523036
3,vigor,term_slope_resid,-0.5253483468987591,-0.6907596565651252,0.6690610895419846,0.0048,0.12512899059523036
