DV,predictor,beta,SE,p,N_obs,N_subj,p_fdr
Anticipatory slope,S_trial_z,0.0009020332479529777,0.0020830390053216833,0.6649877902368966,13101,293,0.7624335215321945
Anticipatory slope,S_trial_z × z_i_z,0.0014389560505294126,0.0020175716001638623,0.4757146509765724,13101,293,0.7020254871064313
Anticipatory mean,S_trial_z,0.0002403931203943727,0.001424754884042076,0.8660122067794648,13101,293,0.8660122067794648
Anticipatory mean,S_trial_z × z_i_z,0.001049502184082998,0.001379774782050646,0.44687632409390043,13101,293,0.7020254871064313
Encounter spike,S_trial_z,-0.001509935051985462,0.0037371793323545924,0.686190169378975,8805,293,0.7624335215321945
Encounter spike,S_trial_z × z_i_z,-0.0023798022929816744,0.0034587360210203526,0.4914178409745019,8805,293,0.7020254871064313
Post-encounter mean,S_trial_z,0.00571313660904525,0.0035472727008163474,0.10727313168608478,8805,293,0.4117759064493967
Post-encounter mean,S_trial_z × z_i_z,0.003116909942124526,0.0032787829019803676,0.3417921485066995,8805,293,0.7020254871064313
Terminal mean,S_trial_z,-0.011051066138035295,0.0026073545119334835,2.250973551780325e-05,13058,293,0.0002250973551780325
Terminal mean,S_trial_z × z_i_z,0.003888980540833374,0.0025251264880748305,0.12353277193481901,13058,293,0.4117759064493967
