test,r,p
k_overcautious_bivariate,0.8846948724694289,1.857647368711066e-98
k_overcautious_partial,0.9333956290952405,1.5088628511009522e-131
beta_threat_sensitivity_bivariate,0.5737546441159775,4.761479695662415e-27
beta_threat_sensitivity_partial,0.7786176981959845,7.63220724995467e-61
beta_overcautious_bivariate,0.3156916974295434,3.3413972544624975e-08
beta_overcautious_partial,0.6877234988326334,2.282326635595968e-42
beta_heavy_highT,-0.840356272741071,2.2200628601434843e-79
k_heavy_lowT,-0.9374484742377344,2.198228929322621e-135
cd_vigor_gap_bivariate,0.5798457553471644,1.0182162758204727e-27
cd_vigor_gap_partial,0.5865387981841048,1.800429408872548e-28
overcautious_3param_R2,0.8865356268200767,3.42572756098919e-136
overcautious_unique_R2_k,0.767657647690942,1.1757630078498559e-130
overcautious_unique_R2_beta,0.1018231771962197,4.3453127922169716e-42
overcautious_unique_R2_cd,0.0006586181510830347,0.19628577161704733
calibration_discrepancy_orthogonality,0.032208396531896576,0.5855394641860907
base_overcaution_R2_3param,0.885057642061288,1.6695499414301107e-133
discrepancy_residual_overcaution,0.12327473576913257,0.0362080204359395
hierarchical_discrepancy_deltaR2,0.001796951489692944,0.03455308831954673
calibration_alignment_bivariate,0.3148500242261781,4.526561883972267e-08
calibration_alignment_partial,0.10734407437926781,0.06842327115884889
hierarchical_calibration_deltaR2,0.004391341079701072,0.06988680351115661
reactivity_cd,0.3897441198065402,6.396433806948997e-12
reactivity_beta,0.07785516100331252,0.18689987521407553
reactivity_k,-0.11072202383693316,0.060121593285961394
beta_STAI_Trait,-0.08584274387330457,0.14618274982011126
beta_STAI_State,0.08922727354368702,0.13020101520453478
beta_OASIS_Total,0.01998562669349231,0.7351243254318373
beta_DASS21_Anxiety,-0.052418808856442484,0.3746115965268785
beta_DASS21_Depression,0.012676029274517126,0.8301047706500033
beta_DASS21_Stress,0.025759223538361915,0.6627777211881654
beta_PHQ9_Total,0.007195658055737476,0.9030593028024786
beta_AMI_Total,0.14303727736778588,0.014948605817678585
beta_MFIS_Total,0.05422791737913029,0.35916837206221675
beta_STICSA_Total,-0.0002489627117215226,0.9966377056377752
k_STAI_Trait,-0.029832043048348557,0.6141369640264367
k_STAI_State,0.0027587426352860536,0.9627559488682161
k_OASIS_Total,-0.07061310200113266,0.23141781279384352
k_DASS21_Anxiety,-0.03207631647395985,0.5870789280392751
k_DASS21_Depression,-0.04241500747158515,0.47260102473121235
k_DASS21_Stress,-0.0736878689331373,0.21167847861936093
k_PHQ9_Total,-0.046931729796569996,0.4267183739089639
k_AMI_Total,-0.039025812356140735,0.5087307516191364
k_MFIS_Total,-0.07496729743323755,0.20462301674316927
k_STICSA_Total,-0.023622834808980017,0.689227545685393
cd_STAI_Trait,0.007824392263350022,0.8948190709957312
cd_STAI_State,0.010818640212542335,0.8546998091883838
cd_OASIS_Total,-0.04334650996870485,0.46292304756928193
cd_DASS21_Anxiety,0.003525635627359491,0.9524134992251156
cd_DASS21_Depression,0.06647643039284176,0.2599759265159204
cd_DASS21_Stress,0.019388905918169295,0.7427500463288531
cd_PHQ9_Total,0.03797349092797376,0.5202347671919757
cd_AMI_Total,0.0500780979540058,0.39634307504676486
cd_MFIS_Total,0.04688857596060056,0.4279520280491384
cd_STICSA_Total,-0.013185326617917027,0.823388559745843
discrepancy_STAI_Trait,-0.2228777150845004,0.0001367385002638803
discrepancy_STAI_State,0.32714518417251204,1.23493806039565e-08
discrepancy_OASIS_Total,0.20371310871574747,0.0004926422676579394
discrepancy_DASS21_Anxiety,0.24987016148014662,1.7254069326378505e-05
discrepancy_DASS21_Depression,0.21258852608436987,0.00027259906439034787
discrepancy_DASS21_Stress,0.23172885952956068,6.991398146030389e-05
discrepancy_PHQ9_Total,0.2062558924432565,0.000416856124919904
discrepancy_AMI_Total,0.025674839416400752,0.663814819565893
discrepancy_MFIS_Total,0.18296924096769968,0.00182113904785529
discrepancy_STICSA_Total,0.2638839942053106,5.430106600619692e-06
