outcome,sample,N,R2,predictor,beta,se,t,p
omega_z,exploratory,290,0.052513906878621786,anxiety_slope_T,-0.034226431239582925,0.06418217596239979,-0.5332700352763668,0.5942652061132492
omega_z,exploratory,290,0.052513906878621786,anxiety_slope_D,0.04426952446092579,0.06047547357148249,0.7320244364618139,0.4647594242647767
omega_z,exploratory,290,0.052513906878621786,anxiety_intercept,0.07503830348080254,0.059497793763293776,1.2611947222671007,0.20827735458082786
omega_z,exploratory,290,0.052513906878621786,confidence_slope_T,0.02803368921008916,0.06852697598899288,0.409089833682316,0.6827831603851797
omega_z,exploratory,290,0.052513906878621786,confidence_slope_D,-0.05319145493715862,0.06448612405251712,-0.8248511709874176,0.41015079949325794
omega_z,exploratory,290,0.052513906878621786,confidence_intercept,-0.1966790044337182,0.05927076906258537,-3.318313690616032,0.0010241546910570976
omega_z,confirmatory,281,0.026061036256629144,anxiety_slope_T,0.010818743951337974,0.06797066905421902,0.15916783079931215,0.8736539070891074
omega_z,confirmatory,281,0.026061036256629144,anxiety_slope_D,0.016818170675234476,0.06642686155108136,0.2531832798137171,0.800316440326729
omega_z,confirmatory,281,0.026061036256629144,anxiety_intercept,-0.040264306216532555,0.061254257651167814,-0.6573307352091453,0.5115200609067866
omega_z,confirmatory,281,0.026061036256629144,confidence_slope_T,0.02978628026910108,0.06500595285962776,0.4582085018186078,0.6471658421175271
omega_z,confirmatory,281,0.026061036256629144,confidence_slope_D,-0.06192965080453733,0.06270389358437765,-0.9876523970748569,0.32419426024294096
omega_z,confirmatory,281,0.026061036256629144,confidence_intercept,-0.13795259865652917,0.061208851098851116,-2.2538014711914522,0.02499910720259138
kappa_z,exploratory,290,0.032429648832172364,anxiety_slope_T,-0.06569193190294632,0.06485885697618216,-1.0128444281259859,0.31199963471051934
kappa_z,exploratory,290,0.032429648832172364,anxiety_slope_D,-0.008408299855658522,0.061113074340725534,-0.1375859412468677,0.890665504799491
kappa_z,exploratory,290,0.032429648832172364,anxiety_intercept,0.040471205216899994,0.06012508672738938,0.6731167873469984,0.5014222898242874
kappa_z,exploratory,290,0.032429648832172364,confidence_slope_T,-0.008626315189740602,0.06924946479353007,-0.1245686911149464,0.9009534514398216
kappa_z,exploratory,290,0.032429648832172364,confidence_slope_D,-0.03308809405892164,0.0651660096304744,-0.5077508082288382,0.6120236030249054
kappa_z,exploratory,290,0.032429648832172364,confidence_intercept,-0.15375088322773073,0.05989566847578735,-2.5669783331641765,0.010773150668578493
kappa_z,confirmatory,281,0.04701839213368686,anxiety_slope_T,0.06850960020808342,0.06723539087091655,1.018951467681852,0.30912485468220374
kappa_z,confirmatory,281,0.04701839213368686,anxiety_slope_D,-0.11125496681609605,0.06570828362970174,-1.693165011630377,0.09156060985431576
kappa_z,confirmatory,281,0.04701839213368686,anxiety_intercept,0.027430283886695262,0.060591634788806914,0.4527074402647155,0.6511176619322357
kappa_z,confirmatory,281,0.04701839213368686,confidence_slope_T,0.11796377836219357,0.06430274573238373,1.8345060855276265,0.06766310402087483
kappa_z,confirmatory,281,0.04701839213368686,confidence_slope_D,-0.09255761957804122,0.06202558916863128,-1.4922489381987387,0.136784369108418
kappa_z,confirmatory,281,0.04701839213368686,confidence_intercept,-0.146150749936454,0.06054671942552458,-2.413850846472806,0.01644091111338481
