test,sample,N,R2,predictor,beta,p,scale
A_omega_with_kappa_control,exploratory,290,0.07797976624078773,anxiety_intercept_HvL,0.030529186670771827,0.7610569844698916,
A_omega_with_kappa_control,exploratory,290,0.07797976624078773,anxiety_slopeT_HvL,-0.02819000799372571,0.7511346663590749,
A_omega_with_kappa_control,exploratory,290,0.07797976624078773,anxiety_slopeD_HvL,-0.018171042164208593,0.8052691871501091,
A_omega_with_kappa_control,exploratory,290,0.07797976624078773,confidence_intercept_HvL,-0.06704268450801376,0.5113566688424551,
A_omega_with_kappa_control,exploratory,290,0.07797976624078773,confidence_slopeT_HvL,-0.0007398794146101672,0.9929322724764093,
A_omega_with_kappa_control,exploratory,290,0.07797976624078773,confidence_slopeD_HvL,0.09935344553903795,0.19253573362054394,
A_omega_with_kappa_control,exploratory,290,0.07797976624078773,kappa_z,0.21368076805092942,0.00027723627925721906,
A_omega_with_kappa_control,confirmatory,281,0.06196907403273266,anxiety_intercept_HvL,-0.15794586882566153,0.12930277463723258,
A_omega_with_kappa_control,confirmatory,281,0.06196907403273266,anxiety_slopeT_HvL,-0.08343777520411216,0.3635769316562586,
A_omega_with_kappa_control,confirmatory,281,0.06196907403273266,anxiety_slopeD_HvL,-0.06892730950641769,0.4056016740211869,
A_omega_with_kappa_control,confirmatory,281,0.06196907403273266,confidence_intercept_HvL,-0.11253383558383015,0.32032064170669455,
A_omega_with_kappa_control,confirmatory,281,0.06196907403273266,confidence_slopeT_HvL,-0.08359605210655194,0.3899750457979046,
A_omega_with_kappa_control,confirmatory,281,0.06196907403273266,confidence_slopeD_HvL,-0.13893293203263238,0.0724025251097924,
A_omega_with_kappa_control,confirmatory,281,0.06196907403273266,kappa_z,0.20266998184048035,0.0010247109118077973,
B_kappa_with_omega_control,exploratory,290,0.12255315518304954,anxiety_intercept_HvL,-0.14086588475443876,0.1510736316038951,
B_kappa_with_omega_control,exploratory,290,0.12255315518304954,anxiety_slopeT_HvL,-0.07937855038502345,0.36033726873526495,
B_kappa_with_omega_control,exploratory,290,0.12255315518304954,anxiety_slopeD_HvL,0.07228990840322448,0.31288058578186,
B_kappa_with_omega_control,exploratory,290,0.12255315518304954,confidence_intercept_HvL,-0.0845923451693377,0.3964788152228281,
B_kappa_with_omega_control,exploratory,290,0.12255315518304954,confidence_slopeT_HvL,-0.11583938566465748,0.15437612332626627,
B_kappa_with_omega_control,exploratory,290,0.12255315518304954,confidence_slopeD_HvL,-0.059122679397212635,0.4259610960517456,
B_kappa_with_omega_control,exploratory,290,0.12255315518304954,omega_z,0.31473952748498696,8.752082286756853e-08,
B_kappa_with_omega_control,confirmatory,281,0.14256403691725528,anxiety_intercept_HvL,0.3135878544967845,0.0017087858358648504,
B_kappa_with_omega_control,confirmatory,281,0.14256403691725528,anxiety_slopeT_HvL,0.18666850793256326,0.03379850675696404,
B_kappa_with_omega_control,confirmatory,281,0.14256403691725528,anxiety_slopeD_HvL,0.1493057807711975,0.061473951659234076,
B_kappa_with_omega_control,confirmatory,281,0.14256403691725528,confidence_intercept_HvL,0.046005629460937086,0.6764195900091308,
B_kappa_with_omega_control,confirmatory,281,0.14256403691725528,confidence_slopeT_HvL,0.2025542496556491,0.032521832613980485,
B_kappa_with_omega_control,confirmatory,281,0.14256403691725528,confidence_slopeD_HvL,-0.0880836471620272,0.23334178050582188,
B_kappa_with_omega_control,confirmatory,281,0.14256403691725528,omega_z,0.2918377092883666,7.93603059837276e-07,
C_clinical_full,exploratory,290,0.030946546456999013,omega_z,-0.06568159341298829,0.3105294218939878,DASS21_Anxiety
