outcome,model,sample,R2,predictor,beta,p
pre_slope_T,params_only,exploratory,0.051152535311410396,,,
pre_slope_T,params_only,confirmatory,0.031632314417656016,,,
pre_slope_T,params_plus_affect,exploratory,0.08964603578514341,,,
pre_slope_T,params_plus_affect,exploratory,,omega_z,0.2245721918699975,0.0003696706500325225
pre_slope_T,params_plus_affect,exploratory,,kappa_z,0.027392927797840607,0.6571494156721022
pre_slope_T,params_plus_affect,exploratory,,anxiety_intercept,-0.14531225048666058,0.01389172940353996
pre_slope_T,params_plus_affect,exploratory,,anxiety_slope_T,0.0016895899872531126,0.978709055250414
pre_slope_T,params_plus_affect,exploratory,,anxiety_slope_D,0.00934363563762994,0.8754614163897391
pre_slope_T,params_plus_affect,exploratory,,confidence_intercept,0.03530396612798428,0.554486058275202
pre_slope_T,params_plus_affect,exploratory,,confidence_slope_T,-0.00622043965769442,0.926574497458888
pre_slope_T,params_plus_affect,exploratory,,confidence_slope_D,-0.10891353124812171,0.087499907212595
pre_slope_T,params_plus_affect,confirmatory,0.06253064293359478,,,
pre_slope_T,params_plus_affect,confirmatory,,omega_z,0.19872910294531523,0.001837695331068672
pre_slope_T,params_plus_affect,confirmatory,,kappa_z,-0.0326470698725436,0.610265109763001
pre_slope_T,params_plus_affect,confirmatory,,anxiety_intercept,-0.08061931830333821,0.18459037632495726
pre_slope_T,params_plus_affect,confirmatory,,anxiety_slope_T,0.020068920308564393,0.765724929720187
pre_slope_T,params_plus_affect,confirmatory,,anxiety_slope_D,-0.05579847977138358,0.3990553500503082
pre_slope_T,params_plus_affect,confirmatory,,confidence_intercept,0.1447000062960048,0.019143852894408897
pre_slope_T,params_plus_affect,confirmatory,,confidence_slope_T,0.018060703878920132,0.7801591968968596
pre_slope_T,params_plus_affect,confirmatory,,confidence_slope_D,0.025276896263671488,0.6848050839626508
pre_at_lowT,params_only,exploratory,0.1901257115986248,,,
pre_at_lowT,params_only,confirmatory,0.23840352131571851,,,
pre_at_lowT,params_plus_affect,exploratory,0.26454420030268644,,,
pre_at_lowT,params_plus_affect,exploratory,,omega_z,0.254126873593425,8.418042478729393e-06
pre_at_lowT,params_plus_affect,exploratory,,kappa_z,-0.4567707490518013,6.4826576128955636e-15
pre_at_lowT,params_plus_affect,exploratory,,anxiety_intercept,-0.04838573099172663,0.3598747651438702
pre_at_lowT,params_plus_affect,exploratory,,anxiety_slope_T,0.15923528313020885,0.005451832993692896
pre_at_lowT,params_plus_affect,exploratory,,anxiety_slope_D,-0.012130944288401004,0.8209074817578084
pre_at_lowT,params_plus_affect,exploratory,,confidence_intercept,-0.01384453624081497,0.7964542726830157
pre_at_lowT,params_plus_affect,exploratory,,confidence_slope_T,-0.028027483467150525,0.644165327844347
pre_at_lowT,params_plus_affect,exploratory,,confidence_slope_D,-0.1787673000090072,0.0019238698720736834
pre_at_lowT,params_plus_affect,confirmatory,0.37694302999065477,,,
pre_at_lowT,params_plus_affect,confirmatory,,omega_z,0.2334612705115826,8.705669335149632e-06
pre_at_lowT,params_plus_affect,confirmatory,,kappa_z,-0.49075420030199074,2.2780548059768e-18
pre_at_lowT,params_plus_affect,confirmatory,,anxiety_intercept,-0.09108569979801089,0.06636171539348769
pre_at_lowT,params_plus_affect,confirmatory,,anxiety_slope_T,0.15696721730943186,0.0045446828245390624
pre_at_lowT,params_plus_affect,confirmatory,,anxiety_slope_D,0.09939008135067376,0.06606157601334318
pre_at_lowT,params_plus_affect,confirmatory,,confidence_intercept,-0.01629204275446597,0.7450508659091034
pre_at_lowT,params_plus_affect,confirmatory,,confidence_slope_T,-0.13844870093472755,0.00910328441154613
pre_at_lowT,params_plus_affect,confirmatory,,confidence_slope_D,-0.14917139852857014,0.00354874920860213
pre_at_midT,params_only,exploratory,0.1544648220672442,,,
pre_at_midT,params_only,confirmatory,0.2375887681798845,,,
pre_at_midT,params_plus_affect,exploratory,0.25070741434508115,,,
pre_at_midT,params_plus_affect,exploratory,,omega_z,0.24474188164011884,2.0758189729694395e-05
pre_at_midT,params_plus_affect,exploratory,,kappa_z,-0.40610211659414336,3.789492422333115e-12
pre_at_midT,params_plus_affect,exploratory,,anxiety_intercept,-0.06448519051333532,0.22694541935192072
pre_at_midT,params_plus_affect,exploratory,,anxiety_slope_T,0.16524053259447427,0.004290217665680222
pre_at_midT,params_plus_affect,exploratory,,anxiety_slope_D,-0.01199626871951841,0.8244785204987736
pre_at_midT,params_plus_affect,exploratory,,confidence_intercept,0.00441691441189512,0.9350181898061694
pre_at_midT,params_plus_affect,exploratory,,confidence_slope_T,-0.005760183342878523,0.9250596409495486
pre_at_midT,params_plus_affect,exploratory,,confidence_slope_D,-0.2343913343258893,6.176863180926168e-05
pre_at_midT,params_plus_affect,confirmatory,0.3740681057001416,,,
pre_at_midT,params_plus_affect,confirmatory,,omega_z,0.23822368429199778,6.057076631517572e-06
pre_at_midT,params_plus_affect,confirmatory,,kappa_z,-0.48839458915862216,3.672244212353783e-18
pre_at_midT,params_plus_affect,confirmatory,,anxiety_intercept,-0.10974297872256814,0.027531012967179396
pre_at_midT,params_plus_affect,confirmatory,,anxiety_slope_T,0.14325366107352883,0.009679942165720956
pre_at_midT,params_plus_affect,confirmatory,,anxiety_slope_D,0.10512026245274887,0.05252359024178296
pre_at_midT,params_plus_affect,confirmatory,,confidence_intercept,-0.0013709261008091904,0.9782188683761598
pre_at_midT,params_plus_affect,confirmatory,,confidence_slope_T,-0.12221701871979578,0.02143057509358778
pre_at_midT,params_plus_affect,confirmatory,,confidence_slope_D,-0.16334996869300128,0.001469131931075857
pre_at_highT,params_only,exploratory,0.1799903037815106,,,
pre_at_highT,params_only,confirmatory,0.24651944555113947,,,
pre_at_highT,params_plus_affect,exploratory,0.2757106234065172,,,
pre_at_highT,params_plus_affect,exploratory,,omega_z,0.3244958868903646,1.444750877401552e-08
pre_at_highT,params_plus_affect,exploratory,,kappa_z,-0.41393632578859824,7.06344531020229e-13
pre_at_highT,params_plus_affect,exploratory,,anxiety_intercept,-0.10206788681521183,0.052236163577393725
pre_at_highT,params_plus_affect,exploratory,,anxiety_slope_T,0.14871752633040897,0.008858672579203662
pre_at_highT,params_plus_affect,exploratory,,anxiety_slope_D,-0.007608861173662247,0.886223261425129
pre_at_highT,params_plus_affect,exploratory,,confidence_intercept,0.00099529459572145,0.9850908719132415
pre_at_highT,params_plus_affect,exploratory,,confidence_slope_T,-0.028502841389294507,0.6359855710289659
pre_at_highT,params_plus_affect,exploratory,,confidence_slope_D,-0.2089964114169744,0.0002703645080856469
pre_at_highT,params_plus_affect,confirmatory,0.3740686885461615,,,
pre_at_highT,params_plus_affect,confirmatory,,omega_z,0.28048388964385873,1.226590110420989e-07
pre_at_highT,params_plus_affect,confirmatory,,kappa_z,-0.48596984955259226,5.111429479578292e-18
pre_at_highT,params_plus_affect,confirmatory,,anxiety_intercept,-0.11026176876314031,0.02681290497594524
pre_at_highT,params_plus_affect,confirmatory,,anxiety_slope_T,0.1580275154166138,0.004371034092653035
pre_at_highT,params_plus_affect,confirmatory,,anxiety_slope_D,0.08162651746433813,0.13166096508903832
pre_at_highT,params_plus_affect,confirmatory,,confidence_intercept,0.023097195255353992,0.6455945094874829
pre_at_highT,params_plus_affect,confirmatory,,confidence_slope_T,-0.12976037127494522,0.014655698671212409
pre_at_highT,params_plus_affect,confirmatory,,confidence_slope_D,-0.13824470289455604,0.006955066726870063
spike_mag_peak,params_only,exploratory,0.040140737022532735,,,
spike_mag_peak,params_only,confirmatory,0.012234675475049306,,,
spike_mag_peak,params_plus_affect,exploratory,0.1309121332073463,,,
spike_mag_peak,params_plus_affect,exploratory,,omega_z,-0.07557549697901324,0.21544026993348325
spike_mag_peak,params_plus_affect,exploratory,,kappa_z,-0.1838733028290659,0.002486765225830908
spike_mag_peak,params_plus_affect,exploratory,,anxiety_intercept,0.12839123660757737,0.025962767669255066
spike_mag_peak,params_plus_affect,exploratory,,anxiety_slope_T,-0.13244807480601933,0.03296848384363445
spike_mag_peak,params_plus_affect,exploratory,,anxiety_slope_D,0.002396978575402019,0.9671763568536005
spike_mag_peak,params_plus_affect,exploratory,,confidence_intercept,-0.11461382327485219,0.050256661544885006
spike_mag_peak,params_plus_affect,exploratory,,confidence_slope_T,-0.024749018260752015,0.707500546714611
spike_mag_peak,params_plus_affect,exploratory,,confidence_slope_D,0.21931670863311736,0.00047858530962451734
spike_mag_peak,params_plus_affect,confirmatory,0.1906000141060179,,,
spike_mag_peak,params_plus_affect,confirmatory,,omega_z,-0.004898407957914401,0.9335427723813245
spike_mag_peak,params_plus_affect,confirmatory,,kappa_z,-0.13415987555925815,0.024820412683911743
spike_mag_peak,params_plus_affect,confirmatory,,anxiety_intercept,0.11449932152054883,0.043018855493037814
spike_mag_peak,params_plus_affect,confirmatory,,anxiety_slope_T,-0.18651046067159197,0.0031129517310377578
spike_mag_peak,params_plus_affect,confirmatory,,anxiety_slope_D,-0.11369444511641132,0.06508756622667834
spike_mag_peak,params_plus_affect,confirmatory,,confidence_intercept,-0.09354864304780232,0.1022024387641359
spike_mag_peak,params_plus_affect,confirmatory,,confidence_slope_T,0.14107514681328107,0.01956134015894209
spike_mag_peak,params_plus_affect,confirmatory,,confidence_slope_D,0.1623602794670754,0.005332147297202366
spike_mag_mean,params_only,exploratory,0.018560458073083708,,,
spike_mag_mean,params_only,confirmatory,0.01340822768106742,,,
spike_mag_mean,params_plus_affect,exploratory,0.13729952430307257,,,
spike_mag_mean,params_plus_affect,exploratory,,omega_z,-0.11705861417880487,0.05459720971329438
spike_mag_mean,params_plus_affect,exploratory,,kappa_z,-0.06282587165379074,0.2960775166917277
spike_mag_mean,params_plus_affect,exploratory,,anxiety_intercept,0.1325569553279294,0.021067964951754167
spike_mag_mean,params_plus_affect,exploratory,,anxiety_slope_T,-0.17519890245685585,0.0047643250699954155
spike_mag_mean,params_plus_affect,exploratory,,anxiety_slope_D,-0.009173611747701312,0.8744048418704916
spike_mag_mean,params_plus_affect,exploratory,,confidence_intercept,-0.08118748627479098,0.16323461116534557
spike_mag_mean,params_plus_affect,exploratory,,confidence_slope_T,-0.032371223925465875,0.6223358101908055
spike_mag_mean,params_plus_affect,exploratory,,confidence_slope_D,0.2541008648612134,5.207208416813635e-05
spike_mag_mean,params_plus_affect,confirmatory,0.23611582884856108,,,
spike_mag_mean,params_plus_affect,confirmatory,,omega_z,-0.08457948916688497,0.1391074640169899
spike_mag_mean,params_plus_affect,confirmatory,,kappa_z,0.041596083239128806,0.47198707047668725
spike_mag_mean,params_plus_affect,confirmatory,,anxiety_intercept,0.15923617429369652,0.003909238253484777
spike_mag_mean,params_plus_affect,confirmatory,,anxiety_slope_T,-0.19327293846222823,0.001632575277396022
spike_mag_mean,params_plus_affect,confirmatory,,anxiety_slope_D,-0.11378968711730385,0.057427596237413385
spike_mag_mean,params_plus_affect,confirmatory,,confidence_intercept,-0.09273695269748818,0.0954176572919395
spike_mag_mean,params_plus_affect,confirmatory,,confidence_slope_T,0.1592098332245923,0.006781501418178362
spike_mag_mean,params_plus_affect,confirmatory,,confidence_slope_D,0.192778990729549,0.0006900581011976806
post_minus_pre,params_only,exploratory,0.08829109737191199,,,
post_minus_pre,params_only,confirmatory,0.03669756880703057,,,
post_minus_pre,params_plus_affect,exploratory,0.18973235554064338,,,
post_minus_pre,params_plus_affect,exploratory,,omega_z,0.08012530664391677,0.17390209899021317
post_minus_pre,params_plus_affect,exploratory,,kappa_z,-0.3357353901983998,2.06519226711689e-08
post_minus_pre,params_plus_affect,exploratory,,anxiety_intercept,0.12577613942544894,0.023888789782540987
post_minus_pre,params_plus_affect,exploratory,,anxiety_slope_T,-0.18266882108539387,0.0024192110388260163
post_minus_pre,params_plus_affect,exploratory,,anxiety_slope_D,-0.027159575358666532,0.6292465243495112
post_minus_pre,params_plus_affect,exploratory,,confidence_intercept,-0.10272240655618754,0.06905212928499754
post_minus_pre,params_plus_affect,exploratory,,confidence_slope_T,-0.03394166948366208,0.5941266470779931
post_minus_pre,params_plus_affect,exploratory,,confidence_slope_D,0.20556774362228802,0.0006929435910417366
post_minus_pre,params_plus_affect,confirmatory,0.20587955654014323,,,
post_minus_pre,params_plus_affect,confirmatory,,omega_z,0.034631025424140975,0.5518459520514052
post_minus_pre,params_plus_affect,confirmatory,,kappa_z,-0.23165323730120188,0.00010625525383104819
post_minus_pre,params_plus_affect,confirmatory,,anxiety_intercept,0.16266804854517436,0.003842180433713223
post_minus_pre,params_plus_affect,confirmatory,,anxiety_slope_T,-0.15842028870287095,0.011067789972538798
post_minus_pre,params_plus_affect,confirmatory,,anxiety_slope_D,-0.10883869451767163,0.07456182828440415
post_minus_pre,params_plus_affect,confirmatory,,confidence_intercept,-0.14134447701577654,0.012963049973913844
post_minus_pre,params_plus_affect,confirmatory,,confidence_slope_T,0.07413102466479086,0.2138507680393332
post_minus_pre,params_plus_affect,confirmatory,,confidence_slope_D,0.18807412307210708,0.0011543227973251258
