channel,term,n_obs,n_subj,beta,se,z,p
anxiety,Intercept,10288,293,4.398588970329316,0.05370757921841576,81.898849926587,0.0
anxiety,T_z,10288,293,0.5565889451421128,0.029834443765465894,18.655918290870844,1.1304331586007878e-77
anxiety,D_z,10288,293,0.2523429808905467,0.018839734661225002,13.39418974991757,6.53857032359143e-41
anxiety,omega_z,10288,293,0.00017265308757145485,0.02507977190320178,0.006884157010591204,0.9945072807919489
anxiety,kappa_z,10288,293,0.012223672034665947,0.025659898053670485,0.47637258765014573,0.6338089603488382
anxiety,T_z:omega_z,10288,293,-0.004874906498707258,0.022992640919436796,-0.21202029448414786,0.832091201524171
anxiety,T_z:kappa_z,10288,293,-0.04078394365526766,0.023329451981840995,-1.748174097146078,0.08043388546719382
anxiety,D_z:omega_z,10288,293,0.028157952192380462,0.019890192897731213,1.4156701414189057,0.15687210440996083
anxiety,D_z:kappa_z,10288,293,-0.03959544633314894,0.01989176949378284,-1.9905441969616864,0.04653102040917208
confidence,Intercept,10286,293,3.2829541223051675,0.05378924759136713,61.033650205437404,0.0
confidence,T_z,10286,293,-0.6275049084153871,0.029813138868381706,-21.047931624565933,2.388792409043039e-98
confidence,D_z,10286,293,-0.2773931376213674,0.01920064829131504,-14.447071443251199,2.615733534940988e-47
confidence,omega_z,10286,293,-0.11023551044993858,0.025534008907202786,-4.317203414887299,1.58018521986905e-05
confidence,kappa_z,10286,293,-0.1937681433617777,0.02607820039093357,-7.430272812427032,1.083739245042842e-13
confidence,T_z:omega_z,10286,293,-0.048722403488953084,0.023411808825518292,-2.0811037648593333,0.03742440932731636
confidence,T_z:kappa_z,10286,293,0.026380021201493332,0.023557668478542737,1.119806114324145,0.26279639316742254
confidence,D_z:omega_z,10286,293,-0.0235472412752695,0.020272220268847327,-1.1615521616768814,0.24541742351661822
confidence,D_z:kappa_z,10286,293,-0.021891769163176106,0.02026222550125064,-1.0804227384511582,0.2799539747592993
