question,model,term,beta,se,z,p,logL,AIC
anxiety,M_base,Intercept,0.0005087033904419844,0.019166290003202857,0.02654156805291872,0.9788253787543129,-9666.069424954403,19346.138849908806
anxiety,M_base,T_z,0.055203265419430166,0.0060080151837183455,9.188269957943914,3.99209968532084e-20,-9666.069424954403,19346.138849908806
anxiety,M_base,D_z,-0.00412276356483477,0.006007440786584199,-0.6862761883632236,0.4925389615364395,-9666.069424954403,19346.138849908806
anxiety,M_base,omega_z,0.38551666530135065,0.008067701494498066,47.78519204810213,0.0,-9666.069424954403,19346.138849908806
anxiety,M_base,kappa_z,-0.7516008653753018,0.008234035346439064,-91.27977155215191,0.0,-9666.069424954403,19346.138849908806
anxiety,M_affect,Intercept,0.0005707586655836997,0.019190456546107317,0.02974179713819654,0.9762729773576482,-9661.332201356847,19338.664402713694
anxiety,M_affect,T_z,0.0499054008390205,0.006246594169869079,7.989217721193253,1.3579768412809995e-15,-9661.332201356847,19338.664402713694
anxiety,M_affect,D_z,-0.006518923538489339,0.006054564348868408,-1.07669572290659,0.2816162237948775,-9661.332201356847,19338.664402713694
anxiety,M_affect,omega_z,0.38547512244011856,0.008064427884420081,47.799438219892814,0.0,-9661.332201356847,19338.664402713694
anxiety,M_affect,kappa_z,-0.7517573164305662,0.008231082020559307,-91.33153023537528,0.0,-9661.332201356847,19338.664402713694
anxiety,M_affect,aff_z,0.02104821224260122,0.006836476531888261,3.0788099899741224,0.0020782918771352064,-9661.332201356847,19338.664402713694
anxiety,M_int,Intercept,0.004602865375155936,0.0192492100910789,0.23911970171124822,0.811012765097025,-9658.008637729741,19336.017275459482
anxiety,M_int,T_z,0.04985533949721638,0.00624745416962686,7.980104878495504,1.4620900488297781e-15,-9658.008637729741,19336.017275459482
anxiety,M_int,D_z,-0.006843846089647177,0.006054158127171347,-1.130437287214497,0.2582920098069662,-9658.008637729741,19336.017275459482
anxiety,M_int,omega_z,0.3855567395856454,0.008062068883656487,47.8235481673011,0.0,-9658.008637729741,19336.017275459482
anxiety,M_int,kappa_z,-0.7522464698342702,0.008230521533844699,-91.3971814229463,0.0,-9658.008637729741,19336.017275459482
anxiety,M_int,aff_z,0.02106523362905672,0.006842243953557382,3.07870250929954,0.0020790417509670396,-9658.008637729741,19336.017275459482
anxiety,M_int,T_z:aff_z,-0.011509262224235248,0.006101673213146047,-1.8862469067400327,0.05926169023355913,-9658.008637729741,19336.017275459482
anxiety,M_int,D_z:aff_z,-0.01013056268340907,0.006045299803791157,-1.675775066946381,0.0937822596442241,-9658.008637729741,19336.017275459482
confidence,M_base,Intercept,0.005235419496965542,0.0175279026799041,0.29869058452543773,0.7651761417517363,-9687.447945724001,19388.895891448003
confidence,M_base,T_z,0.06364681487038987,0.0060254061400676516,10.563074652703039,4.4194434337492117e-26,-9687.447945724001,19388.895891448003
confidence,M_base,D_z,0.0019679390087835977,0.006025553447243943,0.3265988802545139,0.7439712905647446,-9687.447945724001,19388.895891448003
confidence,M_base,omega_z,0.3794021901180467,0.008043374213931354,47.16953109814427,0.0,-9687.447945724001,19388.895891448003
confidence,M_base,kappa_z,-0.7546265622629685,0.008180111118915699,-92.25138281043263,0.0,-9687.447945724001,19388.895891448003
confidence,M_affect,Intercept,0.0053886406210463264,0.0175240687035822,0.3074994005213414,0.7584632792543601,-9669.732589038635,19355.46517807727
confidence,M_affect,T_z,0.05215504888545233,0.006316402363935108,8.257081465114236,1.4927754458579705e-16,-9669.732589038635,19355.46517807727
confidence,M_affect,D_z,-0.003042315940164526,0.006073314426026327,-0.5009317362406124,0.616419166294781,-9669.732589038635,19355.46517807727
confidence,M_affect,omega_z,0.37765105303713603,0.00803512246742304,47.0000369712166,0.0,-9669.732589038635,19355.46517807727
confidence,M_affect,kappa_z,-0.7581238088312634,0.008187765549231148,-92.5922712702067,0.0,-9669.732589038635,19355.46517807727
confidence,M_affect,aff_z,-0.04116840728525722,0.006910250239401221,-5.957585595167172,2.5599164378401696e-09,-9669.732589038635,19355.46517807727
confidence,M_int,Intercept,0.008591742256364214,0.017613262276127046,0.48779959792056415,0.6256917962387494,-9663.926983992445,19347.85396798489
confidence,M_int,T_z,0.05171906483420238,0.006314458838875937,8.190577554451066,2.599755841355202e-16,-9663.926983992445,19347.85396798489
confidence,M_int,D_z,-0.003471068349860949,0.006071122419662441,-0.5717342049666564,0.5675020576996623,-9663.926983992445,19347.85396798489
confidence,M_int,omega_z,0.378085073912186,0.008033501617336455,47.06354612492652,0.0,-9663.926983992445,19347.85396798489
confidence,M_int,kappa_z,-0.758131136955102,0.008183602559714129,-92.64026831987124,0.0,-9663.926983992445,19347.85396798489
confidence,M_int,aff_z,-0.042722114373634164,0.006922344025211211,-6.1716254231283525,6.759148092939018e-10,-9663.926983992445,19347.85396798489
confidence,M_int,T_z:aff_z,0.0027312287789812476,0.006144389162924671,0.44450777881412845,0.6566755061072234,-9663.926983992445,19347.85396798489
confidence,M_int,D_z:aff_z,0.020401151359664808,0.00609399268393623,3.3477479245162636,0.0008147107891791785,-9663.926983992445,19347.85396798489
