metric,test,predictor,N,mean,sd,hdi_lo,hdi_hi,survives,spearman,spearman_p
M1_log_ratio,univariate,AMI_Social,571,0.084,0.033,0.019,0.144,True,0.07397502598418532,0.07735810048920277
M1_log_ratio,univariate,DASS21_Stress,571,-0.009,0.033,-0.072,0.053,False,-0.02527551121755903,0.5466773787271442
M1_log_ratio,multivariate_DASS,DASS21_Anxiety,571,-0.024,0.056,-0.13,0.088,False,,
M1_log_ratio,multivariate_DASS,DASS21_Depression,571,0.038,0.059,-0.081,0.149,False,,
M1_log_ratio,multivariate_DASS,DASS21_Stress,571,-0.018,0.074,-0.168,0.117,False,,
M2_zdiff,univariate,AMI_Social,571,0.111,0.034,0.045,0.178,True,0.12807624148178876,0.0021666025648148157
M2_zdiff,univariate,DASS21_Stress,571,-0.029,0.034,-0.095,0.037,False,-0.04624496886376233,0.2699315057843891
M2_zdiff,multivariate_DASS,DASS21_Anxiety,571,0.001,0.06,-0.116,0.117,False,,
M2_zdiff,multivariate_DASS,DASS21_Depression,571,0.058,0.059,-0.051,0.18,False,,
M2_zdiff,multivariate_DASS,DASS21_Stress,571,-0.075,0.075,-0.227,0.067,False,,
M3_proportion,univariate,AMI_Social,571,0.062,0.025,0.016,0.111,True,0.07397502598418532,0.07735810048920277
M3_proportion,univariate,DASS21_Stress,571,0.002,0.025,-0.047,0.05,False,-0.02527551121755903,0.5466773787271442
M3_proportion,multivariate_DASS,DASS21_Anxiety,571,-0.017,0.042,-0.096,0.064,False,,
M3_proportion,multivariate_DASS,DASS21_Depression,571,0.031,0.046,-0.061,0.119,False,,
M3_proportion,multivariate_DASS,DASS21_Stress,571,-0.008,0.056,-0.119,0.1,False,,
M4_angle,univariate,AMI_Social,571,0.082,0.029,0.027,0.141,True,0.08114982176459433,0.052614414183104016
M4_angle,univariate,DASS21_Stress,571,-0.03,0.031,-0.089,0.031,False,-0.05058181696772718,0.227506427405172
M4_angle,multivariate_DASS,DASS21_Anxiety,571,-0.015,0.049,-0.11,0.076,False,,
M4_angle,multivariate_DASS,DASS21_Depression,571,0.03,0.045,-0.057,0.12,False,,
M4_angle,multivariate_DASS,DASS21_Stress,571,-0.042,0.058,-0.159,0.068,False,,
