mediator,outcome,a_omega,a_kappa,b,c_omega,c_kappa,cprime_omega,cprime_kappa,indirect_omega,indirect_omega_lo,indirect_omega_hi,p_omega,indirect_kappa,indirect_kappa_lo,indirect_kappa_hi,p_kappa,prop_mediated_omega,prop_mediated_kappa
mean_confidence,earnings,-0.13980350409654654,-0.10673892780840408,0.03832353025613672,0.03574512660018117,-0.11925454454958527,0.04110289041933911,-0.11516393202021225,-0.005357763819157935,-0.021423888989121977,0.006087517287231751,0.376,-0.004090612529372967,-0.017022344679640547,0.0051597456267083236,0.386,-0.1498879519741519,0.03430152322347864
mean_confidence,pct_opt,-0.13980350409654654,-0.10673892780840408,0.017416075720110984,-0.6204971974039727,-0.27112479765268116,-0.6180623689906916,-0.2692658244036869,-0.0024348284132823007,-0.012600051415524827,0.007034673740241003,0.5768,-0.0018589732489946254,-0.010399687240445219,0.0050016122253966405,0.5792,0.003923995827006312,0.006856522402558045
mean_confidence,p_heavy,-0.13980350409654654,-0.10673892780840408,0.03353424320541712,-0.8157866652329825,-0.32742125007837153,-0.8110984605256407,-0.32384184091375967,-0.00468820470734312,-0.010562687256734276,-0.00022149188720396265,0.0388,-0.003579409164612483,-0.009089060973400636,9.276016765458627e-06,0.0508,0.0057468513609550175,0.010932122346230477
mean_confidence,mean_vigor,-0.13980350409654654,-0.10673892780840408,-0.03860448352250419,0.49709100278159785,-0.8924671936292714,0.49169396071131444,-0.8965877948090603,0.005397042070283478,-0.0020155447111403725,0.019562124681646288,0.2672,0.0041206011797892995,-0.0020009611653448115,0.013212925140595681,0.2832,0.010857251569799033,-0.0046170898036404315
mean_confidence,escape_rate,-0.13980350409654654,-0.10673892780840408,0.04792869645157364,0.22181843152280523,0.018977739343779918,0.22851903123351527,0.024093597014275516,-0.006700599710709711,-0.02293646444020759,0.0046892070390159085,0.2632,-0.0051158576704954314,-0.017630132324197748,0.0041571755550694756,0.2768,-0.03020758764143015,-0.269571500473379
mean_anxiety,earnings,0.0071585813268807575,0.01477329100493417,-0.15502914873639487,0.03574512660018117,-0.11925454454958527,0.03685491536944787,-0.11696425382105531,-0.0011097887692665758,-0.01676021871265368,0.013257290875970745,0.8768,-0.0022902907285299837,-0.01779161221253623,0.012517301188445178,0.7696,-0.031047274826575967,0.019205060378874664
mean_anxiety,pct_opt,0.0071585813268807575,0.01477329100493417,-0.0966634518554127,-0.6204971974039727,-0.27112479765268116,-0.6198052242225297,-0.26969676034888007,-0.0006919731814439944,-0.010086987690894892,0.008854486104126234,0.8588,-0.0014280373038014556,-0.011650416430641686,0.0076402300054647845,0.7764,0.001115191469581268,0.005267084811736083
mean_anxiety,p_heavy,0.0071585813268807575,0.01477329100493417,-0.038878999770763006,-0.8157866652329825,-0.32742125007837153,-0.8155083467512168,-0.3268468793007779,-0.0002783184817667853,-0.004247493650102409,0.003662232959430972,0.8728,-0.0005743707775942508,-0.0048548682174322805,0.003150267633894611,0.7616,0.00034116576505611264,0.0017542257182659017
mean_anxiety,mean_vigor,0.0071585813268807575,0.01477329100493417,-0.03185803224453139,0.49709100278159785,-0.8924671936292714,0.49731906109633545,-0.891996545648079,-0.00022805831473686746,-0.00403196690159294,0.005889084253201866,0.9528,-0.0004706479811930383,-0.007597357778114319,0.0026367498692893,0.7724,-0.00045878584295573594,0.0005273560580743814
mean_anxiety,escape_rate,0.0071585813268807575,0.01477329100493417,-0.15944550809013575,0.22181843152280523,0.018977739343779918,0.22295983515967463,0.02133327423422525,-0.0011414036368690606,-0.01711210963417922,0.013343885332872708,0.8648,-0.002355534890445161,-0.018696635584199803,0.013070528563781986,0.7476,-0.005145666340859112,-0.12412094231957103
