analysis,term,outcome,mean,hdi_lo,hdi_hi,survives
A,AMI_Social,log_omega,0.122,0.043,0.207,True
B,AMI_Social_z,log_omega,0.159,0.071,0.247,True
B,AMI_Behavioural_z,log_omega,-0.009,-0.105,0.089,False
B,AMI_Emotional_z,log_omega,0.031,-0.048,0.105,False
B,DASS21_Anxiety_z,log_omega,0.07,-0.075,0.205,False
B,DASS21_Stress_z,log_omega,-0.125,-0.278,0.028,False
B,DASS21_Depression_z,log_omega,0.041,-0.12,0.192,False
B,OASIS_Total_z,log_omega,-0.128,-0.264,0.011,False
B,STICSA_Total_z,log_omega,0.052,-0.114,0.223,False
B,STAI_Trait_corrected_z,log_omega,-0.064,-0.194,0.072,False
B,MFIS_Total_z,log_omega,0.018,-0.109,0.149,False
B,PHQ9_Total_z,log_omega,-0.065,-0.228,0.1,False
B,log_kappa_z,log_omega,0.368,0.291,0.449,True
C,AMI_Social_z,log_kappa,-0.084,-0.162,0.003,False
C,AMI_Behavioural_z,log_kappa,0.06,-0.034,0.149,False
C,AMI_Emotional_z,log_kappa,0.005,-0.07,0.077,False
C,DASS21_Anxiety_z,log_kappa,-0.03,-0.158,0.097,False
C,DASS21_Stress_z,log_kappa,-0.013,-0.168,0.129,False
C,DASS21_Depression_z,log_kappa,-0.059,-0.203,0.095,False
C,OASIS_Total_z,log_kappa,0.004,-0.111,0.15,False
C,STICSA_Total_z,log_kappa,0.078,-0.084,0.231,False
C,STAI_Trait_corrected_z,log_kappa,-0.074,-0.196,0.051,False
C,MFIS_Total_z,log_kappa,-0.061,-0.18,0.064,False
C,PHQ9_Total_z,log_kappa,0.023,-0.135,0.173,False
C,log_omega_z,log_kappa,0.442,0.368,0.517,True
