item,F1,F2,F3,n_factors
AMI_item_0,0.1929130118706725,0.29063749431653774,-0.02919300768748782,3
AMI_item_1,-0.15324681263599782,0.13666979967834597,-0.40650811834627176,3
AMI_item_2,-0.14712467456394335,0.08512507243862694,-0.4175993403713787,3
AMI_item_3,-0.21990873066738795,0.022625014938195177,-0.3804057475826717,3
AMI_item_4,-0.3744795377215895,0.026365514124137762,-0.3914408562424365,3
AMI_item_5,-0.29443219780332314,-0.2684831259465208,-0.16011828668565573,3
AMI_item_6,-0.06171646907432276,0.20845047827466023,-0.12170060998147887,3
AMI_item_7,-0.25254376605311707,-0.005333235477537916,-0.3101566613983241,3
AMI_item_8,-0.39829057113682476,-0.025896303949150618,-0.4695875014003539,3
AMI_item_9,-0.39083853410958647,0.04497600235406783,-0.34345025665548146,3
AMI_item_10,-0.4442024747046418,0.0024169069657329735,-0.3708963024984461,3
AMI_item_11,-0.3926552612415491,0.07600167412077058,-0.41397215536265275,3
AMI_item_12,0.043533280000609784,0.05556611189921912,-0.00894609457786056,3
AMI_item_13,-0.11227365874698322,0.10069371966712763,-0.3009901028791835,3
AMI_item_14,-0.3826029334641883,0.07319062946811122,-0.4153813355570005,3
AMI_item_15,-0.10449957460912697,-0.015388628767126662,-0.09827345103582448,3
AMI_item_16,-0.24810703393894734,0.03230197063626733,-0.344250534060717,3
AMI_item_17,0.052445196806554246,0.051863781620589314,0.005097097296697951,3
DASS21_item_0,0.43114418391375714,0.43664397308008496,0.2487320973478818,3
DASS21_item_1,0.20554692841741945,0.4535433901762184,-0.0781646326982692,3
DASS21_item_2,0.4351441525136624,0.45668122180701987,0.2555068273184642,3
DASS21_item_3,0.26401513385900005,0.5576571903222715,0.03362347568881483,3
DASS21_item_4,0.6427458611154804,0.2679157820064254,0.35157377534893913,3
DASS21_item_5,0.39165031887308366,0.4851613440402681,0.19977871475482176,3
DASS21_item_6,0.29617973681704174,0.5754657987362186,0.010587992495150036,3
DASS21_item_7,0.4172867479919451,0.6063712070417661,0.2039833076713854,3
DASS21_item_8,0.3918103105164873,0.6140879574683318,0.14742899659875028,3
DASS21_item_9,0.44132762457964864,0.44956651422570404,0.40123275703914696,3
DASS21_item_10,0.4343067444067483,0.5466318674107893,0.28963455046807546,3
DASS21_item_11,0.5066460754156078,0.4682269513610355,0.2762666963415946,3
DASS21_item_12,0.45829759427271277,0.4506119095562963,0.3819004430140712,3
DASS21_item_13,0.3717436538287147,0.4750941974667573,0.15271790685967865,3
DASS21_item_14,0.33865996724234637,0.6400679853501564,0.1680593023544042,3
DASS21_item_15,0.48381906233566907,0.4131500087985282,0.3247691364410658,3
DASS21_item_16,0.4049085201831723,0.4586983154182841,0.4050079337648791,3
DASS21_item_17,0.36300342037839994,0.4609683140977812,0.21524151953306878,3
DASS21_item_18,0.26566310512885993,0.5820734240435773,0.0056454130262340784,3
DASS21_item_19,0.319779124269964,0.6210833243443338,0.13240110972315253,3
DASS21_item_20,0.4041444795695118,0.4031677528221392,0.36145214826035976,3
MFIS_item_0,0.5583334361351141,0.12313052915894994,0.14420813191369458,3
MFIS_item_1,0.7206659590222907,0.15921714415803054,0.26364292276103624,3
MFIS_item_2,0.6849941337806243,0.30352316440252824,0.22536584443086438,3
MFIS_item_3,0.6596198386108888,0.3395263621370062,0.15450372474018229,3
MFIS_item_4,0.7194798103340314,0.24851406430066697,0.1896137057763415,3
MFIS_item_5,0.588252050968102,0.29887298081586755,-0.00524538110177587,3
MFIS_item_6,0.7726319865904434,0.18059635965348111,0.27923672904564933,3
MFIS_item_7,0.6970572109273367,0.17265290293487723,0.3280566712936788,3
MFIS_item_8,0.7079591289312298,0.24992086370100877,0.26724144052753374,3
MFIS_item_9,0.7491854864224387,0.2556162301463466,0.16489424721698112,3
MFIS_item_10,0.68216646610963,0.3141668838410094,0.2252007451128283,3
MFIS_item_11,0.730001815751865,0.27048135686036795,0.23606551623409983,3
MFIS_item_12,0.674286711430062,0.3108485134714808,0.050569074245082016,3
MFIS_item_13,0.7024918157462856,0.3464134127727895,0.12115519519324398,3
MFIS_item_14,0.754509288368256,0.2921379562114975,0.19970103178371962,3
MFIS_item_15,0.7423959346446769,0.29701686206171435,0.2716584733411881,3
MFIS_item_16,0.7758290091800232,0.27122816219139795,0.1600889596102765,3
MFIS_item_17,0.7443028892535724,0.3354612491561699,0.16432892804623278,3
MFIS_item_18,0.7787833297390012,0.23331382786419733,0.25116769581603277,3
MFIS_item_19,0.7715045928619845,0.19812282476179244,0.14355986207715593,3
