test,factor,outcome,N,mean,sd,hdi_lo,hdi_hi,survives
univariate,F1,log_omega,570,-0.047,0.041,-0.129,0.032,False
univariate,F1,log_kappa,570,-0.034,0.041,-0.117,0.042,False
univariate,F2,log_omega,570,-0.062,0.042,-0.142,0.019,False
univariate,F2,log_kappa,570,-0.019,0.041,-0.096,0.064,False
univariate,F3,log_omega,570,-0.035,0.041,-0.115,0.044,False
univariate,F3,log_kappa,570,-0.091,0.042,-0.169,-0.007,True
univariate,F4,log_omega,570,0.029,0.04,-0.05,0.105,False
univariate,F4,log_kappa,570,0.04,0.041,-0.041,0.117,False
univariate,F5,log_omega,570,0.05,0.04,-0.028,0.125,False
univariate,F5,log_kappa,570,0.045,0.041,-0.037,0.121,False
univariate,F6,log_omega,570,0.114,0.04,0.034,0.19,True
univariate,F6,log_kappa,570,-0.002,0.042,-0.083,0.082,False
univariate,F7,log_omega,570,0.041,0.041,-0.036,0.122,False
univariate,F7,log_kappa,570,0.075,0.043,-0.005,0.16,False
univariate,F8,log_omega,570,-0.099,0.041,-0.181,-0.023,True
univariate,F8,log_kappa,570,-0.027,0.041,-0.103,0.054,False
multivariate_omega,F1,log_omega,570,-0.032,0.036,-0.104,0.038,False
multivariate_omega,F2,log_omega,570,-0.053,0.037,-0.123,0.019,False
multivariate_omega,F3,log_omega,570,-0.022,0.037,-0.094,0.046,False
multivariate_omega,F4,log_omega,570,0.018,0.036,-0.054,0.086,False
multivariate_omega,F5,log_omega,570,0.032,0.036,-0.039,0.1,False
multivariate_omega,F6,log_omega,570,0.109,0.037,0.037,0.179,True
multivariate_omega,F7,log_omega,570,0.027,0.037,-0.049,0.098,False
multivariate_omega,F8,log_omega,570,-0.074,0.038,-0.15,-0.002,True
multivariate_kappa,F1,log_kappa,570,-0.014,0.034,-0.086,0.047,False
multivariate_kappa,F2,log_kappa,570,0.007,0.033,-0.06,0.068,False
multivariate_kappa,F3,log_kappa,570,-0.045,0.035,-0.117,0.021,False
multivariate_kappa,F4,log_kappa,570,0.027,0.034,-0.04,0.093,False
multivariate_kappa,F5,log_kappa,570,0.004,0.034,-0.061,0.07,False
multivariate_kappa,F6,log_kappa,570,-0.05,0.034,-0.119,0.016,False
multivariate_kappa,F7,log_kappa,570,0.067,0.035,-0.008,0.13,False
multivariate_kappa,F8,log_kappa,570,-0.006,0.035,-0.078,0.058,False
baseline,AMI_Social,log_omega,570,0.124,0.04,0.047,0.205,True
