factor,beta_omega,hdi_o_lo,hdi_o_hi,surv_omega,beta_kappa,hdi_k_lo,hdi_k_hi,surv_kappa,n_factors
F1,-0.037,-0.117,0.048,False,-0.036,-0.12,0.047,False,3
F2,-0.073,-0.155,0.008,False,0.006,-0.073,0.087,False,3
F3,0.084,0.006,0.161,True,0.097,0.021,0.178,True,3
F1,-0.043,-0.125,0.033,False,-0.029,-0.105,0.056,False,4
F2,-0.071,-0.15,0.013,False,-0.01,-0.094,0.071,False,4
F3,0.059,-0.019,0.139,False,0.105,0.027,0.185,True,4
F4,-0.069,-0.148,0.01,False,0.008,-0.071,0.091,False,4
F1,-0.044,-0.124,0.036,False,-0.029,-0.11,0.051,False,5
F2,-0.062,-0.137,0.021,False,-0.01,-0.091,0.069,False,5
F3,0.056,-0.022,0.133,False,0.106,0.022,0.184,True,5
F4,-0.102,-0.182,-0.023,True,0.018,-0.062,0.099,False,5
F5,0.004,-0.069,0.085,False,-0.025,-0.101,0.06,False,5
