n_factors,factor,N,beta_log_omega,hdi_lo_log_omega,hdi_hi_log_omega,survives_log_omega,beta_log_kappa,hdi_lo_log_kappa,hdi_hi_log_kappa,survives_log_kappa,beta_log_ratio,hdi_lo_log_ratio,hdi_hi_log_ratio,survives_log_ratio
3,F1,570,-0.037,-0.117,0.043,False,-0.035,-0.12,0.046,False,0.018,-0.042,0.088,False
3,F2,570,-0.074,-0.158,0.005,False,0.005,-0.075,0.083,False,-0.044,-0.108,0.019,False
3,F3,570,0.084,0.006,0.16,True,0.097,0.016,0.176,True,0.01,-0.058,0.076,False
4,F1,570,-0.043,-0.119,0.04,False,-0.03,-0.113,0.05,False,0.01,-0.056,0.077,False
4,F2,570,-0.07,-0.154,0.004,False,-0.01,-0.091,0.07,False,-0.035,-0.1,0.025,False
4,F3,570,0.058,-0.018,0.142,False,0.104,0.028,0.186,True,-0.013,-0.08,0.05,False
4,F4,570,-0.068,-0.15,0.012,False,0.007,-0.074,0.088,False,-0.059,-0.123,0.005,False
5,F1,570,-0.044,-0.122,0.04,False,-0.028,-0.107,0.052,False,0.01,-0.052,0.079,False
5,F2,570,-0.059,-0.141,0.02,False,-0.009,-0.091,0.071,False,-0.028,-0.09,0.034,False
5,F3,570,0.057,-0.019,0.136,False,0.107,0.027,0.185,True,-0.017,-0.083,0.05,False
5,F4,570,-0.102,-0.186,-0.024,True,0.017,-0.066,0.096,False,-0.079,-0.14,-0.014,True
5,F5,570,0.004,-0.072,0.083,False,-0.026,-0.109,0.052,False,0.007,-0.053,0.077,False
