analysis,predictor,outcome,mean,hdi_lo,hdi_hi,survives
univariate,AMI_Total,log_omega,0.114,0.037,0.191,True
univariate,AMI_Social,log_omega,0.122,0.043,0.199,True
kitchen_sink_totals_omega,AMI_Total_z,log_omega,0.148,0.062,0.225,True
kitchen_sink_totals_omega,DASS21_Total_z,log_omega,-0.031,-0.234,0.149,False
kitchen_sink_totals_omega,OASIS_Total_z,log_omega,-0.106,-0.238,0.041,False
kitchen_sink_totals_omega,STICSA_Total_z,log_omega,0.067,-0.094,0.227,False
kitchen_sink_totals_omega,STAI_Trait_corrected_z,log_omega,-0.043,-0.166,0.096,False
kitchen_sink_totals_omega,MFIS_Total_z,log_omega,-0.021,-0.15,0.1,False
kitchen_sink_totals_omega,PHQ9_Total_z,log_omega,-0.046,-0.213,0.112,False
kitchen_sink_totals_omega,log_kappa_z,log_omega,0.363,0.28,0.435,True
kitchen_sink_totals_kappa,AMI_Total_z,log_kappa,-0.027,-0.104,0.043,False
kitchen_sink_totals_kappa,DASS21_Total_z,log_kappa,-0.102,-0.275,0.074,False
kitchen_sink_totals_kappa,OASIS_Total_z,log_kappa,-0.009,-0.135,0.126,False
kitchen_sink_totals_kappa,STICSA_Total_z,log_kappa,0.086,-0.072,0.226,False
kitchen_sink_totals_kappa,STAI_Trait_corrected_z,log_kappa,-0.075,-0.194,0.048,False
kitchen_sink_totals_kappa,MFIS_Total_z,log_kappa,-0.039,-0.155,0.078,False
kitchen_sink_totals_kappa,PHQ9_Total_z,log_kappa,0.02,-0.124,0.173,False
kitchen_sink_totals_kappa,log_omega_z,log_kappa,0.441,0.362,0.513,True
kitchen_sink_sensitivity,AMI_Social_z,log_omega,0.168,0.087,0.246,True
kitchen_sink_sensitivity,DASS21_Total_z,log_omega,-0.014,-0.209,0.179,False
kitchen_sink_sensitivity,OASIS_Total_z,log_omega,-0.131,-0.284,0.003,False
kitchen_sink_sensitivity,STICSA_Total_z,log_omega,0.067,-0.099,0.224,False
kitchen_sink_sensitivity,STAI_Trait_corrected_z,log_omega,-0.044,-0.17,0.084,False
kitchen_sink_sensitivity,MFIS_Total_z,log_omega,-0.004,-0.134,0.117,False
kitchen_sink_sensitivity,PHQ9_Total_z,log_omega,-0.058,-0.217,0.102,False
kitchen_sink_sensitivity,log_kappa_z,log_omega,0.372,0.293,0.451,True
