model,predictor,mean,sd,hdi_lo,hdi_hi,survives
A. All subscales,DASS21_Anxiety,0.116,0.073,-0.027,0.256,False
A. All subscales,DASS21_Depression,0.101,0.085,-0.069,0.264,False
A. All subscales,DASS21_Stress,-0.125,0.085,-0.296,0.039,False
A. All subscales,STAI_Trait,0.085,0.059,-0.027,0.206,False
A. All subscales,OASIS_Total,-0.139,0.073,-0.29,0.0,False
A. All subscales,STICSA_Total,0.001,0.085,-0.158,0.17,False
A. All subscales,PHQ9_Total,-0.035,0.09,-0.206,0.144,False
A. All subscales,MFIS_Total,0.11,0.07,-0.029,0.244,False
A. All subscales,AMI_Behavioural,-0.092,0.053,-0.195,0.013,False
A. All subscales,AMI_Social,0.14,0.048,0.05,0.242,True
A. All subscales,AMI_Emotional,0.007,0.042,-0.076,0.09,False
"B. Factor scores (F1, F2)",F1,-0.06,0.039,-0.132,0.017,False
"B. Factor scores (F1, F2)",F2,-0.005,0.04,-0.079,0.075,False
C. DASS-21 subscales only,DASS21_Anxiety,0.074,0.065,-0.053,0.205,False
C. DASS-21 subscales only,DASS21_Depression,0.048,0.065,-0.074,0.177,False
C. DASS-21 subscales only,DASS21_Stress,-0.155,0.078,-0.299,-0.002,True
D. Totals only (no STICSA/PHQ9),DASS21_Total,0.067,0.078,-0.085,0.226,False
D. Totals only (no STICSA/PHQ9),AMI_Total,0.055,0.043,-0.033,0.132,False
D. Totals only (no STICSA/PHQ9),STAI_Trait,0.089,0.059,-0.028,0.203,False
D. Totals only (no STICSA/PHQ9),MFIS_Total,0.049,0.066,-0.074,0.183,False
D. Totals only (no STICSA/PHQ9),OASIS_Total,-0.123,0.073,-0.269,0.013,False
