model,predictor,N,mean,sd,hdi_lo,hdi_hi,survives
univariate,AMI_Behavioural,561,0.018,0.038,-0.058,0.09,False
univariate,AMI_Emotional,561,0.024,0.037,-0.043,0.1,False
univariate,AMI_Social,561,0.103,0.037,0.025,0.173,True
univariate,AMI_Total,561,0.069,0.036,0.003,0.141,True
univariate,DASS21_Anxiety,561,-0.018,0.037,-0.095,0.05,False
univariate,DASS21_Depression,561,0.009,0.038,-0.063,0.084,False
univariate,DASS21_Stress,561,-0.01,0.037,-0.08,0.063,False
univariate,DASS21_Total,561,-0.005,0.037,-0.075,0.07,False
univariate,F1,558,-0.032,0.038,-0.108,0.038,False
univariate,F2,558,-0.027,0.038,-0.102,0.043,False
univariate,MFIS_Total,560,0.001,0.039,-0.072,0.076,False
univariate,OASIS_Total,561,-0.011,0.038,-0.08,0.064,False
univariate,PHQ9_Total,561,-0.008,0.039,-0.084,0.066,False
univariate,STAI_Trait,559,0.05,0.037,-0.018,0.125,False
univariate,STICSA_Total,561,-0.033,0.038,-0.104,0.042,False
A_subscales,DASS21_Anxiety,558,0.006,0.072,-0.137,0.145,False
A_subscales,DASS21_Depression,558,0.083,0.087,-0.079,0.258,False
A_subscales,DASS21_Stress,558,-0.013,0.083,-0.182,0.147,False
A_subscales,STAI_Trait,558,0.114,0.059,0.006,0.243,True
A_subscales,OASIS_Total,558,0.002,0.074,-0.14,0.148,False
A_subscales,STICSA_Total,558,-0.044,0.083,-0.205,0.119,False
A_subscales,PHQ9_Total,558,-0.032,0.091,-0.217,0.136,False
A_subscales,MFIS_Total,558,0.053,0.069,-0.084,0.182,False
A_subscales,AMI_Behavioural,558,-0.053,0.053,-0.158,0.052,False
A_subscales,AMI_Social,558,0.141,0.048,0.047,0.237,True
A_subscales,AMI_Emotional,558,-0.003,0.04,-0.08,0.076,False
B_factors,F1,558,-0.035,0.038,-0.107,0.041,False
B_factors,F2,558,-0.032,0.038,-0.105,0.039,False
C_dass_only,DASS21_Anxiety,561,-0.031,0.062,-0.159,0.082,False
C_dass_only,DASS21_Depression,561,0.046,0.065,-0.087,0.17,False
C_dass_only,DASS21_Stress,561,-0.02,0.08,-0.178,0.135,False
D_totals,DASS21_Total,558,0.023,0.074,-0.123,0.164,False
D_totals,AMI_Total,558,0.092,0.04,0.017,0.175,True
D_totals,STAI_Trait,558,0.109,0.055,-0.001,0.216,False
D_totals,MFIS_Total,558,0.017,0.065,-0.108,0.142,False
D_totals,OASIS_Total,558,0.001,0.07,-0.132,0.142,False
