predictor,N,beta,se,t,p,beta_sum,beta_sample
AMI_Social,571,0.1096428853840115,0.03788813848592808,2.8938578078923998,0.003951752017974736,-0.4000371929737298,0.5057891549489147
AMI_Total,571,0.07483598693301556,0.03833266680690064,1.952277082885963,0.05139707951589545,-0.40034281386900394,0.502639850133286
AMI_Emotional,571,0.07378163753439525,0.038110091962161356,1.9360131066503685,0.05336278231251267,-0.39870958811304363,0.4977414929616911
OASIS_Total,571,-0.06504359426180761,0.03773617356633555,-1.7236404254784596,0.08531790249430947,-0.39689600190163343,0.4726230793313703
DASS21_Stress,571,-0.06222581977982313,0.037724511111754504,-1.649479819512739,0.09960323236213524,-0.39654279111616836,0.47753224092451535
anxiety_slope_D,571,0.062003706280648385,0.03777934573645132,1.6412064600902878,0.10130910317697966,-0.392475602307113,0.4691951095373945
STAI_Trait,569,0.0604464464130611,0.03782145346623976,1.5982052743429571,0.11055636139217562,-0.38870592850944724,0.46238992225032777
confidence_slope_reward,571,-0.05519464453138222,0.03833786610885587,-1.4396900540750888,0.150506970707067,-0.40402730993627983,0.47172931119175987
STICSA_Total,571,-0.046787415338743525,0.03774816544604202,-1.2394619655257786,0.21568723695548797,-0.3945608700467023,0.47494715589860215
STAI_State,571,-0.04486868536626289,0.037795714420882254,-1.1871368501364483,0.2356707604364016,-0.39268438716590687,0.47364706854390126
anxiety_slope_reward,571,-0.04558578284734645,0.038526686970002576,-1.183226133169462,0.2372154029644835,-0.3916118065419071,0.45807386331412553
PHQ9_Total,571,-0.035449344859639034,0.03779325972609764,-0.9379806112665098,0.34865374236894664,-0.39589520972747977,0.4751588931434797
DASS21_Anxiety,571,-0.024896548194446342,0.03783596356442089,-0.6580127965303849,0.5107969704996888,-0.3955661911953432,0.4781760884356411
MFIS_Total,570,-0.024477400532737798,0.0378580603469599,-0.6465571745728225,0.5181806689657831,-0.3953102449466241,0.4765252855944265
confidence_slope_T,571,-0.023095596597713052,0.037863673540913106,-0.6099671383643587,0.5421279489317811,-0.39418519174441086,0.47303378580474004
confidence_slope_D,571,-0.02063502514050802,0.037942110355389067,-0.5438554932034018,0.5867546946322694,-0.39643551927842724,0.4778002865571117
anxiety_slope_T,571,0.01707168209888729,0.03783077351652719,0.4512644207877261,0.6519715250673981,-0.39414622817829115,0.47695487859132796
AMI_Behavioural,571,-0.015079143716011038,0.038038538864741046,-0.3964175324827817,0.6919461780518121,-0.3938261399842738,0.472793271652313
DASS21_Depression,571,-0.014853040833930598,0.03784210195126805,-0.39250041800156626,0.6948360061247238,-0.3950321011870466,0.47465420025265365
confidence_intercept,571,0.013756849369233512,0.03802299879631542,0.36180337702786886,0.7176337600307275,-0.3940434039452909,0.4730744504236816
anxiety_intercept,571,-0.01058562674999035,0.037887135701678655,-0.2793989715491038,0.7800405459319992,-0.3945688001517686,0.4773824310065699
