predictor,sample,N,beta,se,t,p
DASS21_Stress,exploratory,290,-0.01987068141195678,0.053038997868512724,-0.3746428516846707,0.7082027716145911
DASS21_Stress,confirmatory,281,-0.11011281849474133,0.05574132472795987,-1.9754252169666988,0.049208841977032715
DASS21_Anxiety,exploratory,290,-0.01883824677085103,0.053006454426387926,-0.355395337694439,0.7225544945266968
DASS21_Anxiety,confirmatory,281,-0.0333368951177494,0.05609022643613192,-0.5943440994253966,0.5527653567301942
DASS21_Depression,exploratory,290,0.03956922092806254,0.05302793892672016,0.7461957173697368,0.4561599608860538
DASS21_Depression,confirmatory,281,-0.07941175859798881,0.05597477612266829,-1.4187061404936852,0.15710482021737066
AMI_Behavioural,exploratory,290,-0.0028985175449765654,0.05291689089422007,-0.05477490260662991,0.956355905195125
AMI_Behavioural,confirmatory,281,-0.033357441201252405,0.056550317655205386,-0.5898718625178562,0.5557556811614863
AMI_Social,exploratory,290,0.10382849158121664,0.052561404851898336,1.975375123130232,0.04918349814755324
AMI_Social,confirmatory,281,0.11571070811067402,0.05596637125115847,2.0675042087578417,0.039611912772277075
AMI_Emotional,exploratory,290,0.10123783366349573,0.05260564739968766,1.9244670233655714,0.05528456873081552
AMI_Emotional,confirmatory,281,0.04481761711400838,0.05623621794371867,0.7969529024669111,0.42615848898578457
AMI_Total,exploratory,290,0.08919167118333605,0.05265798732074456,1.6937918770055058,0.0913897611056743
AMI_Total,confirmatory,281,0.05627391679579113,0.05662698913878125,0.9937649458613309,0.3212014952461321
MFIS_Total,exploratory,289,0.007472224750182561,0.053260224989838637,0.14029652994534222,0.8885244608407884
MFIS_Total,confirmatory,281,-0.059151973709637366,0.05604520553186043,-1.0554332551427759,0.2921435793868032
OASIS_Total,exploratory,290,-0.04946404765022204,0.05293380021437554,-0.9344510964619691,0.3508567851577281
OASIS_Total,confirmatory,281,-0.08409171182178488,0.055898530302731356,-1.5043635560070516,0.13362301166852855
PHQ9_Total,exploratory,290,0.023295903432545832,0.05305832719826063,0.4390621540987731,0.6609468698446808
PHQ9_Total,confirmatory,281,-0.09843899444501902,0.05581813119436143,-1.7635666465122182,0.07890342065196446
STICSA_Total,exploratory,290,-0.016850519523894655,0.052938004301239495,-0.3183066635456848,0.7504838298958091
STICSA_Total,confirmatory,281,-0.08125476782441751,0.05596292801616415,-1.4519391801827837,0.14764613287717046
STAI_State,exploratory,290,0.038926850533638306,0.05286903624184284,0.7362882568082434,0.4621566667710598
STAI_State,confirmatory,281,-0.13249859898003002,0.0557484384706093,-2.3767230547611407,0.018144373949468214
STAI_State_RT,exploratory,290,0.13963012065248034,0.052671948366734646,2.650938971922762,0.008472574003265452
STAI_State_RT,confirmatory,281,0.012195903603436453,0.05614810573527029,0.21720952904338872,0.8282043851655039
STAI_Trait,exploratory,289,-0.04107119498668522,0.05307810844516552,-0.7737878419144396,0.4396953915072367
STAI_Trait,confirmatory,280,0.16365221395796264,0.055302325753912016,2.9592284180993254,0.0033506595078921677
STAI_Trait_RT,exploratory,289,0.02755784715371357,0.05320045899921998,0.5180001765420411,0.6048586150604811
STAI_Trait_RT,confirmatory,280,0.06108500852074631,0.05578388169352455,1.0950297230362354,0.27445482672236676
anxiety_slope_T,exploratory,290,0.016395792405738983,0.053005250666225134,0.30932392922700314,0.7572995774051496
anxiety_slope_T,confirmatory,281,0.016570248236308528,0.056116155001211504,0.2952848112268346,0.7679967326467305
anxiety_slope_D,exploratory,290,0.04965228235672647,0.052835386864602124,0.9397543067862303,0.3481338459848108
anxiety_slope_D,confirmatory,281,0.07910782172503081,0.05607706643967064,1.4106982898282907,0.159451593835888
anxiety_slope_reward,exploratory,290,0.010153783105468672,0.0530069848721122,0.19155556819476321,0.8482257997668861
anxiety_slope_reward,confirmatory,281,-0.10739224508391858,0.05593101755327489,-1.9200838779953595,0.05587042000845978
confidence_slope_T,exploratory,290,0.0165486704498288,0.05290759971592636,0.31278437386467345,0.7546716473564098
confidence_slope_T,confirmatory,281,-0.06516587084747845,0.056044827631950435,-1.1627454950067189,0.24592991578358975
confidence_slope_D,exploratory,290,-0.0255861267180771,0.053045411831268666,-0.4823438226752507,0.6299293801108439
confidence_slope_D,confirmatory,281,-0.015739374216106605,0.05635589993364003,-0.2792852963867132,0.7802335511184867
confidence_slope_reward,exploratory,290,-0.02043861789771944,0.053480563512444824,-0.3821690826605335,0.7026187856999173
confidence_slope_reward,confirmatory,281,-0.10079275027923976,0.056927319579415395,-1.7705514860686653,0.07773117065885156
anxiety_intercept,exploratory,290,-1.9840867696163726e-05,0.05297119108822057,-0.0003745595915168278,0.9997014049048878
anxiety_intercept,confirmatory,281,-0.01905973954710064,0.05612576616198853,-0.33958983280675376,0.7344218449704509
confidence_intercept,exploratory,290,-0.032125170440212174,0.05296146020740188,-0.6065763729777671,0.5446115883099416
confidence_intercept,confirmatory,281,0.06323663038836846,0.05604160901165956,1.1283871306266735,0.26012930062476386
