symptom,scale,kind,term,N,mean,sd,hdi_lo,hdi_hi,survives
AMI_Social,log,additive,log_omega_z,571,0.141,0.044,0.054,0.225,True
AMI_Social,log,additive,log_kappa_z,571,-0.059,0.045,-0.146,0.033,False
AMI_Social,log,interaction,log_omega_z,571,0.141,0.045,0.051,0.229,True
AMI_Social,log,interaction,log_kappa_z,571,-0.057,0.046,-0.149,0.033,False
AMI_Social,log,interaction,log_omega_z:log_kappa_z,571,-0.008,0.039,-0.083,0.07,False
AMI_Social,raw,additive,omega_z,571,0.028,0.045,-0.058,0.119,False
AMI_Social,raw,additive,kappa_z,571,-0.052,0.042,-0.135,0.031,False
AMI_Social,raw,interaction,omega_z,571,0.03,0.046,-0.052,0.123,False
AMI_Social,raw,interaction,kappa_z,571,-0.05,0.047,-0.144,0.042,False
AMI_Social,raw,interaction,omega_z:kappa_z,571,-0.006,0.033,-0.07,0.058,False
DASS21_Stress,log,additive,log_omega_z,571,-0.088,0.046,-0.176,0.004,False
DASS21_Stress,log,additive,log_kappa_z,571,0.033,0.044,-0.059,0.114,False
DASS21_Stress,log,interaction,log_omega_z,571,-0.089,0.045,-0.176,-0.005,True
DASS21_Stress,log,interaction,log_kappa_z,571,0.031,0.045,-0.058,0.114,False
DASS21_Stress,log,interaction,log_omega_z:log_kappa_z,571,0.015,0.039,-0.065,0.084,False
DASS21_Stress,raw,additive,omega_z,571,-0.048,0.043,-0.133,0.039,False
DASS21_Stress,raw,additive,kappa_z,571,-0.01,0.043,-0.097,0.072,False
DASS21_Stress,raw,interaction,omega_z,571,-0.052,0.044,-0.137,0.035,False
DASS21_Stress,raw,interaction,kappa_z,571,-0.019,0.048,-0.112,0.075,False
DASS21_Stress,raw,interaction,omega_z:kappa_z,571,0.016,0.033,-0.048,0.08,False
DASS21_Anxiety,log,additive,log_omega_z,571,-0.042,0.042,-0.124,0.04,False
DASS21_Anxiety,log,additive,log_kappa_z,571,0.005,0.042,-0.076,0.086,False
DASS21_Anxiety,log,interaction,log_omega_z,571,-0.041,0.041,-0.124,0.036,False
DASS21_Anxiety,log,interaction,log_kappa_z,571,0.004,0.042,-0.077,0.088,False
DASS21_Anxiety,log,interaction,log_omega_z:log_kappa_z,571,-0.006,0.035,-0.071,0.064,False
DASS21_Anxiety,raw,additive,omega_z,571,-0.025,0.043,-0.105,0.06,False
DASS21_Anxiety,raw,additive,kappa_z,571,0.011,0.042,-0.074,0.093,False
DASS21_Anxiety,raw,interaction,omega_z,571,-0.027,0.046,-0.119,0.06,False
DASS21_Anxiety,raw,interaction,kappa_z,571,0.01,0.047,-0.083,0.099,False
DASS21_Anxiety,raw,interaction,omega_z:kappa_z,571,0.003,0.031,-0.06,0.06,False
DASS21_Depression,log,additive,log_omega_z,571,-0.033,0.045,-0.121,0.053,False
DASS21_Depression,log,additive,log_kappa_z,571,0.006,0.044,-0.079,0.09,False
DASS21_Depression,log,interaction,log_omega_z,571,-0.034,0.045,-0.122,0.054,False
DASS21_Depression,log,interaction,log_kappa_z,571,0.002,0.045,-0.087,0.088,False
DASS21_Depression,log,interaction,log_omega_z:log_kappa_z,571,0.021,0.039,-0.055,0.093,False
DASS21_Depression,raw,additive,omega_z,571,-0.012,0.045,-0.098,0.079,False
DASS21_Depression,raw,additive,kappa_z,571,0.003,0.044,-0.084,0.088,False
DASS21_Depression,raw,interaction,omega_z,571,-0.018,0.045,-0.11,0.068,False
DASS21_Depression,raw,interaction,kappa_z,571,-0.004,0.048,-0.102,0.087,False
DASS21_Depression,raw,interaction,omega_z:kappa_z,571,0.016,0.033,-0.05,0.078,False
