label,n,r2,const_beta,const_se,const_t,const_p,omega_z_beta,omega_z_se,omega_z_t,omega_z_p,kappa_z_beta,kappa_z_se,kappa_z_t,kappa_z_p,sample,test,anx_sensitivity_z_beta,anx_sensitivity_z_se,anx_sensitivity_z_t,anx_sensitivity_z_p,clinical,sens_col,conf_sensitivity_z_beta,conf_sensitivity_z_se,conf_sensitivity_z_t,conf_sensitivity_z_p
anx_sensitivity ~ omega_z + kappa_z,283,0.0004199581815604869,0.16652816377628366,0.016181693711693826,10.291145460004646,2.8133023820235913e-21,0.0037730075180220286,0.017242847629480147,0.21881580114245786,0.8269529469214091,0.002950782652742724,0.017456948889649847,0.16903198098335676,0.8658935318556181,exp,A,,,,,,,,,,
conf_sensitivity ~ omega_z + kappa_z,286,0.008848713705037925,0.21030853269906438,0.017914805032446635,11.73937044350532,3.4212152790906025e-26,0.01908048442974728,0.01919756906740749,0.9939010695964111,0.3211200752736745,0.015547457925672062,0.019329355374204393,0.8043443573095362,0.42187328995025936,exp,B,,,,,,,,,,
DASS21_Anxiety_z ~ anx_sensitivity_z + omega_z + kappa_z,283,0.005148275226099175,0.008075132577312556,0.059608108053292336,0.13547037208584148,0.892337674562592,-0.04865758892892808,0.06352248477793139,-0.7659900128124777,0.44432980312750653,-0.023521084955668937,0.0643090146795849,-0.3657509771042376,0.7148280578298771,exp,C,0.038585374279124465,0.05972509702793679,0.6460495871790031,0.518778268276036,DASS21_Anxiety,anx_sensitivity_z,,,,
DASS21_Depression_z ~ anx_sensitivity_z + omega_z + kappa_z,283,0.011566014023894566,-0.006340534492606714,0.05924402487934018,-0.10702403331846908,0.9148468298570839,0.01027292177420717,0.06313449279780346,0.16271488561898417,0.8708607148716407,-0.08933158961155785,0.06391621861638246,-1.3976357103932482,0.16333279114355126,exp,C,0.06578132038730719,0.059360299291509884,1.108170295170929,0.26874267121669926,DASS21_Depression,anx_sensitivity_z,,,,
AMI_Total_z ~ anx_sensitivity_z + omega_z + kappa_z,283,0.020358743539941937,-0.00557438104730542,0.05913410081783713,-0.09426677619530102,0.9249649039883674,0.09533029400563135,0.06301735018496775,1.5127626554562996,0.13147185590432414,-0.07827672326128818,0.06379762555386621,-1.2269535516677943,0.2208744011627957,exp,C,0.10153585600539208,0.05925015948916781,1.7136807205380604,0.08769809880547864,AMI_Total,anx_sensitivity_z,,,,
AMI_Social_z ~ anx_sensitivity_z + omega_z + kappa_z,283,0.02786766780192962,-0.0031063019240740648,0.05903701323903372,-0.05261617676180575,0.9580753805650329,0.10656947552798218,0.06291388700775784,1.6938943148567696,0.09140136830273671,-0.09523398814617082,0.0636928813045622,-1.4952061548415048,0.13599085816411238,exp,C,0.12100973170290756,0.059152881362858935,2.0457115344999486,0.04172237003142301,AMI_Social,anx_sensitivity_z,,,,
PHQ9_Total_z ~ anx_sensitivity_z + omega_z + kappa_z,283,0.007737729093388768,0.006695326632006376,0.05978383369128045,0.11199225975671911,0.9109100735323118,-0.00813876247458611,0.06370975005993318,-0.12774751850273774,0.8984408112133451,-0.0703677871005004,0.06449859866407999,-1.0909971465734964,0.2762154291677408,exp,C,0.050676868306367515,0.0599011675512581,0.8460080225147991,0.398273267660174,PHQ9_Total,anx_sensitivity_z,,,,
STAI_Trait_z ~ anx_sensitivity_z + omega_z + kappa_z,282,0.007618054595307511,-0.0006819729689021173,0.059510795936831146,-0.011459651281189556,0.9908649406707765,-0.06428137571388781,0.06334243393729547,-1.0148232664618135,0.3110724814697498,0.0059649101266201305,0.06416520156932165,0.09296176090362418,0.9260008980419274,exp,C,-0.059345786070837,0.059577451934770896,-0.9961115177569605,0.3200621933444168,STAI_Trait,anx_sensitivity_z,,,,
OASIS_Total_z ~ anx_sensitivity_z + omega_z + kappa_z,283,0.009005585435165941,0.0031587996460088075,0.059669867337465335,0.05293793646538694,0.9578192416590737,-0.07590738477345475,0.06358829970339872,-1.1937319464039324,0.23359684595523397,-0.00593126254905157,0.06437564451975582,-0.09213519481317758,0.9266567459097057,exp,C,0.055088592574529194,0.05978697752305853,0.9214145764984143,0.3576300757413335,OASIS_Total,anx_sensitivity_z,,,,
DASS21_Anxiety_z ~ conf_sensitivity_z + omega_z + kappa_z,286,0.004842426871014549,-0.01763247366095334,0.058448485772039205,-0.30167545708067645,0.7631218255716479,-0.055325075615361805,0.06274278687264258,-0.881775872143877,0.3786489814466368,-0.020604554140868595,0.06313557491152842,-0.32635410653568386,0.744398523411022,exp,D,,,,,DASS21_Anxiety,conf_sensitivity_z,-0.015156152507475191,0.05880675469503275,-0.2577280889937528,0.7968047394330071
DASS21_Depression_z ~ conf_sensitivity_z + omega_z + kappa_z,286,0.008637080445212275,-0.014965865376931465,0.05837936748457628,-0.2563553875585483,0.7978633467675496,-0.0039540923853970495,0.06266859035716393,-0.0630952820681252,0.949735329887251,-0.09097879496238734,0.06306091390434868,-1.442712915648269,0.15021114461398963,exp,D,,,,,DASS21_Depression,conf_sensitivity_z,0.00926649941124459,0.058737212736467294,0.15776198732513974,0.8747572570540955
AMI_Total_z ~ conf_sensitivity_z + omega_z + kappa_z,286,0.010839338616698835,-0.014746294952401966,0.05880465646081382,-0.25076747046772707,0.8021765053721459,0.09770390259778053,0.06312512597554468,1.5477815067748464,0.1227963931246784,-0.058022953821165624,0.06352030756807875,-0.9134551774482316,0.36178350092141986,exp,D,,,,,AMI_Total,conf_sensitivity_z,0.039603331250430335,0.0591651085864581,0.6693697044865202,0.5038073246554031
AMI_Social_z ~ conf_sensitivity_z + omega_z + kappa_z,286,0.013687687316489727,-0.011492459128213853,0.05897696174401276,-0.1948635329520098,0.8456400979948581,0.11172996895342403,0.06331009079572747,1.7648050658136825,0.07867895481260963,-0.07709904843086343,0.06370643032166877,-1.2102239607771488,0.22720639426389344,exp,D,,,,,AMI_Social,conf_sensitivity_z,0.034134754236428845,0.05933847004121431,0.5752550447074235,0.5655775195531544
PHQ9_Total_z ~ conf_sensitivity_z + omega_z + kappa_z,286,0.009883099062050205,-0.009975781717238886,0.058703098703860576,-0.16993620332656875,0.8651821554497883,-0.02099400687737643,0.06301610661232912,-0.3331530303281058,0.7392663268343062,-0.0871931469072153,0.06341060571203792,-1.375056205947304,0.17020547665750382,exp,D,,,,,PHQ9_Total,conf_sensitivity_z,0.03152534169626981,0.059062928315718154,0.5337585283234274,0.5939290779023771
STAI_Trait_z ~ conf_sensitivity_z + omega_z + kappa_z,285,0.004280937095208381,0.004457025481272213,0.05902477303265462,0.075511099022887,0.9398617975006903,-0.054449061069877056,0.06329014861609684,-0.8603086303391742,0.3903523473922122,0.020655238863181567,0.06372234801568473,0.3241443466285557,0.7460698976400026,exp,D,,,,,STAI_Trait,conf_sensitivity_z,0.04326524726285136,0.059286639972047375,0.7297638605130966,0.46614243040199954
OASIS_Total_z ~ conf_sensitivity_z + omega_z + kappa_z,286,0.009136359471777933,-0.012006767948803357,0.05854311686253513,-0.2050927349323816,0.8376476317001378,-0.08857005352036709,0.06284437065644954,-1.4093554059845994,0.15983189563596828,-0.00011489417983377207,0.06323779463927753,-0.0018168593716645887,0.9985516413311057,exp,D,,,,,OASIS_Total,conf_sensitivity_z,-0.026457965462630875,0.058901965841255115,-0.44918645897043447,0.6536421684583966
anx_sensitivity ~ omega_z + kappa_z,273,0.0024420577289626655,0.22739344450905155,0.01933620967974418,11.759980279240537,4.679259483706335e-26,-0.016239122023908443,0.020223385557204248,-0.8029873127807486,0.4226883543369283,0.0023887051031435996,0.020157148681704647,0.11850411687004493,0.9057563488894768,conf,A,,,,,,,,,,
conf_sensitivity ~ omega_z + kappa_z,272,0.000418914054091557,0.21646528110761426,0.0178698726485715,12.11342046832764,3.0252994595270358e-27,-0.005157336215599332,0.018944481899309046,-0.2722342180171965,0.7856507722480099,0.005132625885890639,0.018802309525695428,0.27297848058911806,0.7850792044767043,conf,B,,,,,,,,,,
DASS21_Anxiety_z ~ anx_sensitivity_z + omega_z + kappa_z,273,0.0010833847519451378,0.008495604883092634,0.06103457327169161,0.13919331991189612,0.8894015390003387,-0.030701979366466643,0.06391109100191175,-0.48038578101488305,0.6313435280161371,0.023523631298175474,0.06362749277856831,0.36970860033791797,0.7118905074154739,conf,C,0.0029114931837073595,0.06120906655454427,0.0475663712517636,0.9620971286717672,DASS21_Anxiety,anx_sensitivity_z,,,,
DASS21_Depression_z ~ anx_sensitivity_z + omega_z + kappa_z,273,0.013211291518309465,-0.0015195186587959586,0.060309501058042086,-0.025195344549999978,0.9799178305522582,-0.045133499618792046,0.0631518466303122,-0.7146821831355357,0.4754251978116417,0.10809629230153549,0.06287161746782337,1.7193178202685393,0.08670683759443615,conf,C,0.045457404816166044,0.060481921413632664,0.7515866519068608,0.45295672852088975,DASS21_Depression,anx_sensitivity_z,,,,
AMI_Total_z ~ anx_sensitivity_z + omega_z + kappa_z,273,0.03081831515111455,-0.0026250187158158604,0.060001816651901026,-0.04374898731891466,0.9651369472774161,0.13666629986365825,0.06282966126836635,2.175187596188225,0.030487078594494267,0.06376551800390659,0.06255086176690822,1.019418697084058,0.308920183167276,conf,C,0.05969347942380485,0.06017335736077283,0.992025076246106,0.32207678521485067,AMI_Total,anx_sensitivity_z,,,,
AMI_Social_z ~ anx_sensitivity_z + omega_z + kappa_z,273,0.03861936953362255,-0.004980083765586991,0.059769932607663494,-0.08332088641084501,0.933658362161164,0.17555181851007307,0.06258684868758224,2.8049314223565314,0.005399841240995394,-0.0266519766141495,0.06230912663943364,-0.4277379262331409,0.6691841583756581,conf,C,0.10774790922699257,0.05994081037738538,1.797571780371591,0.07336629659901635,AMI_Social,anx_sensitivity_z,,,,
PHQ9_Total_z ~ anx_sensitivity_z + omega_z + kappa_z,273,0.01269875000041032,0.006564712996844339,0.06044252280879981,0.10861083706930552,0.9135921356056279,-0.08300150989463341,0.0632911376052825,-1.311423890217859,0.19083282960017198,0.0962640087141794,0.06301029035487794,1.5277505971169854,0.1277494379837327,conf,C,0.031094832552631936,0.060615323463632874,0.5129863337492173,0.6083818912401155,PHQ9_Total,anx_sensitivity_z,,,,
