subj,n_anx,n_conf,anx_sensitivity,conf_sensitivity
1,18,18,0.5594331689741042,0.1284675299443404
2,18,18,0.2772184966351638,
3,18,18,0.3904475948502237,0.11359236684941296
4,18,18,0.4282395934096908,0.27386127875258304
5,18,18,0.46377744023022077,0.6411201702580567
6,17,17,0.05503818222365221,-0.4254178064122
7,18,18,-0.13483997249264848,0.29252285424076635
8,18,16,-0.041344911529736156,0.3914119857878451
9,17,18,-0.1109583809892804,-0.47809144373375756
10,18,18,-0.11158567053033414,0.3666793988112846
11,17,17,0.7307534167001238,0.5055159321088644
12,18,16,0.408248290463863,0.5021808524903508
13,18,18,0.3838859479749573,0.3703718734938232
14,17,17,0.05114532768587634,0.5092010548749033
15,15,14,,
16,18,15,0.2964997266644404,-0.0363696483726654
17,18,17,0.5421047417431507,0.8539195668377643
18,18,18,0.3501763168060579,0.3210121189111165
19,18,17,0.49036164761790385,0.08404034905364385
20,18,18,0.42685642280976654,0.427442990212055
21,18,18,0.5144957554275265,0.45374260648651504
22,17,16,0.5213287117846034,0.5384615384615384
23,18,18,0.5025558853214457,0.3468439878096481
24,18,18,0.37862737525433054,0.30154931590775197
25,17,16,0.6104719947205016,0.380265894523338
26,17,15,0.09906649065282937,0.34718253741470684
27,18,18,0.574552005563667,0.4481404640496906
28,18,17,0.6001689883437302,0.12342671752281911
29,18,18,0.6224000714334074,0.40344668888123353
30,18,17,0.19138295395602792,0.7938032036398742
31,18,18,0.46920843531739076,0.2436974789915966
32,18,15,-0.2919025532463119,0.1371758152921836
33,17,17,0.6839955273217335,0.2901380673195411
34,17,17,0.14290923297477442,0.29152330214590216
35,18,18,0.27022640946662696,-0.04564354645876377
36,17,16,0.7645899173464382,0.45479402682709763
37,16,16,0.25482359571881286,0.5916849454576638
38,18,17,0.31583431181122484,0.42796655423133323
39,18,17,0.15228622596829317,0.2250541060486359
40,18,16,0.0818682653329891,0.10286889997472796
41,18,18,0.40824829046386313,-0.12384435115451749
42,17,18,-0.3892640351678115,-8.623241533613343e-18
43,13,12,0.8072249683531291,0.21971768720102058
44,18,18,0.35000000000000014,0.4555384345835252
45,18,18,-0.10397504898200728,-0.37476584449793066
46,18,18,-0.5179777310265292,0.2504170917720614
47,17,17,-0.004376545740682715,0.421380597917023
48,18,16,0.1552301051412666,0.15289415743128767
49,18,18,-0.19568121841532557,-0.055312010066969605
50,18,17,-0.671850135315742,0.6687854186285859
51,18,18,-0.1729378698770513,0.14887338288908905
52,16,16,0.0044097386370242605,0.7089972431094442
53,18,13,0.04295050829650309,-0.35582999744274424
54,18,18,0.20151708874395133,0.3613848760010117
55,18,18,0.02878368312517021,0.7826237921249263
56,17,18,0.48842492713311153,0.7349134639608953
57,14,16,0.3747014093005324,0.03253000243161784
58,18,16,0.23852473529359491,0.07825748827231274
59,18,18,0.4145301945040515,0.366965847923092
60,16,17,0.07790773238432075,0.1541504986616124
61,18,17,0.3508232077228118,0.4118438837901866
62,18,17,0.06502560887623549,0.4985486181283437
63,18,17,0.6745212133703135,0.6153185788463971
64,17,18,0.2140537663559785,0.6451791670811048
65,18,17,0.14422205101855962,0.14829228731395588
66,18,18,0.6274865358241124,0.35294162250859423
67,18,15,-0.20055769594383646,0.15174424466672098
68,18,18,0.21001207167793506,-0.6176201876630537
69,17,18,-0.0832922723141697,0.4472135954999578
70,17,16,0.6311528416041716,-0.30194054243855883
71,18,18,0.3218969434466866,0.24848830496729019
72,17,14,0.5497189135443088,-0.23819653367016558
73,18,18,0.2373026336118024,0.37713494830202254
74,18,18,-0.2502373617088551,0.3526549053019149
75,16,16,0.2851329742561005,0.3284515891297333
76,18,18,0.38575837490522963,0.2663977138330656
77,18,17,0.3328958878255297,-0.22158079931606328
78,18,18,0.3451342449813167,0.5762094850891225
79,16,15,0.7434635158927861,0.5149286505444371
80,18,16,0.23862250691966452,0.3841344488013637
81,18,18,-0.43764840163196894,-0.15228622596829317
82,9,11,-0.37796447300922714,-0.07560639694983236
83,15,15,0.022727272727272742,0.3989305800531771
84,18,17,0.4417261042993862,0.5055900530816918
85,18,18,0.5331400819189855,0.38418518096760207
86,13,13,0.22908106449636376,-0.32347995394606116
87,14,17,-0.3931841895621894,0.513239790544218
88,17,18,0.1978141420187361,0.3162277660168381
89,18,18,0.3752178235701208,0.49472744491815374
90,18,18,0.40804713337332393,0.28463362263988506
91,17,17,-0.2572209142938174,0.02389092412837489
92,17,17,0.16033468311709007,0.3034647226636587
93,12,12,0.325106606660501,0.47565149415449415
94,18,17,0.3214000382155984,0.23620866709956995
95,18,18,0.2240005331589283,0.33645951822384074
96,18,18,0.050718312934097384,0.5104812758612465
97,18,17,0.2626128657194451,0.36396089414596794
98,18,17,0.25570415597837937,0.43571062644833436
99,16,16,0.020100756305184247,-0.03019673851769712
100,14,16,0.6000468804938796,0.2739983121755954
101,18,18,0.354102528988808,
102,18,17,0.6157935373745562,0.7421530430042759
103,17,16,,
104,18,18,0.4888561654561738,0.10846522890932814
105,17,17,0.4260064336151293,0.3376051509443837
106,18,18,0.602062940535769,0.05047544651250688
107,13,14,-0.6473816417177913,0.38533315250323213
108,16,15,0.09759000729485333,0.023087854826980475
109,18,16,0.3813850356982369,0.3554969617626063
110,18,18,0.6159473197462396,0.01071866157140677
111,18,17,0.485053424980942,0.05691564806354255
112,17,16,0.13372860260517494,0.22771001702132437
113,18,17,0.48416483186574455,-0.009594119455666694
114,18,16,0.07859774918918593,0.25692800972687835
115,18,16,0.5267857142857142,0.40966140749812213
116,17,16,0.43669798282695116,0.3344634716266768
117,18,18,0.2872703810779319,0.2585438449975095
118,18,18,0.37779348703666393,0.1587101662672379
119,12,12,0.32141217326661264,0.05773502691896259
120,18,17,0.7177242375722355,0.48894018039019876
121,13,12,-0.07983600975396046,0.5143444998736397
122,17,17,0.22786635759382493,-0.09694584179118518
