subj,n_anx,n_conf,anx_sensitivity,conf_sensitivity
1,18,18,-0.058398256373274976,0.36226570706633143
2,14,15,0.10566112966540277,0.10514994558491726
3,16,15,0.33333333333333337,-0.19138295395602778
4,18,18,0.35595164092981546,0.5773502691896258
5,17,17,-0.4853736268110234,0.08276215913580849
6,18,18,0.20549873413169653,0.10400628679223044
7,17,17,0.26808753362378673,0.21220233802641011
8,17,16,0.5046045231948253,0.43235873765102406
9,15,13,-0.026207120918047958,-0.0801783725737273
10,18,18,0.5516134280473463,0.44831667596163394
11,15,18,0.4213324203089069,0.3523892846118159
12,18,18,0.4112580605763324,0.30962866826360613
13,18,18,0.18394180184548975,0.4871100874301798
14,17,16,0.2423448359729923,0.32682286764115337
15,18,18,-0.08164965809277261,0.26049403612586375
16,11,12,-0.1735912687073534,0.17747130188322274
17,17,17,0.5391274088648469,0.17329174830334543
18,17,17,-0.06483853695480384,-0.06702833680244476
19,17,18,0.5985244299001045,0.6645343026631947
20,18,18,-0.26794565082283356,0.13187609467915742
21,18,18,0.19936305570722504,0.4239414678457439
22,18,18,0.4067903932186813,0.2077782620184337
23,18,18,0.4021288756111139,0.29564604750260953
24,18,18,0.13597460911240106,-0.0480015360737319
25,17,17,-0.026114022503319456,-0.42035885940542306
26,15,16,-0.4297363922617805,0.42428292614993196
27,18,17,0.297092676920362,0.3852570642647098
28,18,18,0.12858612496840993,-0.11552507888457353
29,17,18,2.803486997310459e-17,-0.5379745219865472
30,17,17,0.32087396740792623,0.4906681244317111
31,16,16,0.08494119857293758,-0.00445714061583842
32,15,16,0.32589307097005565,0.6318275823092588
33,18,18,0.2169304578186562,0.8094934698262677
34,17,18,0.3152241844125063,0.2915385967762816
35,13,14,0.43,0.1963522774695264
36,17,17,0.360599148684167,0.42600643361512924
37,18,18,0.17370208344491275,0.3380617018914066
38,17,16,0.26446917579170726,0.5206890771744174
39,17,17,-0.1604916688104892,0.11572751247156894
40,17,18,0.15591520518629792,0.25315801992203885
41,18,18,0.2357022603955158,0.3086321279059288
42,17,17,-0.16612465981124716,
43,14,16,-0.2833333333333334,-0.16287615062274743
44,18,18,,-0.2711630722733202
45,15,18,0.4235858165567525,0.20560654775112125
46,17,17,0.2604214596124446,-0.2991490255543873
47,18,17,0.09750171549748934,0.1795908194801218
48,16,18,-0.6980506070947489,0.42665516759396227
49,18,18,-0.0893712506753953,0.24496592752429996
50,17,17,0.37814916125528886,0.6310035623564094
51,18,18,-0.0679131709993041,0.4658059727126734
52,14,16,-0.26391713599022104,0.12046772038736683
53,17,18,0.38926403516781155,0.5310498903248035
54,18,18,-0.5435264251986442,0.2645140964335473
55,18,18,-0.15118578920369088,0.3499271061118825
56,17,17,0.013674913987198202,0.5018484351393873
57,17,17,0.535931423176035,0.7400915319123277
58,17,17,0.29876030936646053,0.7095493184155931
59,16,17,0.2756589232099856,-0.08833315666719667
60,16,14,0.3779644730092272,0.2871370144310216
61,16,18,0.18332046695989412,0.5733707758951604
62,17,18,0.4003786086981047,0.2548235957188128
63,17,18,0.21110539194099487,0.6998325914322056
64,16,15,0.4435776522811297,0.25985057519384375
65,18,17,0.23252041618885144,0.41129799091258656
66,17,17,0.2246755080067853,-0.07489308618940978
67,16,16,0.025879063129696043,0.5902241282152576
68,17,17,0.6130513595523548,0.5155871563859168
69,17,17,0.4758678145787986,0.23559532742958306
70,16,16,0.14907119849998596,-0.03507153119159471
71,16,15,-0.08511284047280171,0.11453140223882151
72,18,18,-0.2950429794322012,0.30586777135731963
73,16,15,0.5626920787125982,0.5899248796553368
74,15,13,-0.5949422064001083,0.631365224924603
75,17,18,0.2784230231948523,0.46334820431459367
76,17,18,0.22172132665929536,-0.16255596762165864
77,16,16,0.3734666035792169,0.3757345746510895
78,18,18,0.403822704017894,0.19347649748797374
79,15,18,0.18898223650461365,-0.23717082451262853
80,18,18,0.3671059300098495,0.21072178274865339
81,16,17,-0.406060606060606,0.5788864032645676
82,15,15,,0.38197412145376963
83,15,17,0.35355339059327373,-0.44386686857412216
84,18,18,0.48211710740695307,0.3268114695604257
85,16,16,0.5918640302493727,0.44016248904214517
86,18,18,0.09999999999999998,0.1709408646894569
87,18,18,0.27076518053694126,0.5044762347075482
88,18,18,0.2230385457570081,0.29690398224154585
89,16,16,0.41464421443136457,0.43101981084904034
90,17,18,0.36516700121384205,0.5535614046372911
91,18,18,-0.13201967239689003,
92,17,18,0.1610774532513659,-0.4996102376957357
93,18,18,0.3602459959287742,0.41264643229481857
94,16,18,0.3409316500555591,0.5078993831847903
95,18,18,0.015625000000000017,-0.03509312031717978
96,17,18,0.07568639234271725,-0.07086915772546407
97,14,16,-0.5698028822981898,-0.20412414523193154
98,18,18,0.10690449676496974,0.513715908743735
99,17,17,0.3442651863295482,0.4512347221248579
100,18,16,0.3721042037676254,0.3356643640634856
101,18,18,,0.35422706260979503
102,17,17,-0.055849365177836265,0.5696137959558301
103,18,15,-0.3423811916311628,0.12949244257070314
104,17,16,0.21966942299171383,0.6145694776856693
105,18,18,0.1664780229540729,0.4778407475884806
106,18,16,0.24271111628604816,0.13168538439184413
107,18,18,0.49634230640878796,0.47327117183940215
108,18,17,0.2672612419124244,0.7179576613305294
109,17,18,0.27774602993176545,0.6976755349542741
110,18,18,0.12964074471043285,0.4107200484084534
111,13,15,-0.3362193900727166,-0.05862103817605491
112,17,18,0.20606068329331229,0.4117055577420103
113,18,16,-0.5935721819818311,-0.0928047016513015
114,18,17,0.0880237696271323,0.5278917737288982
115,18,18,0.36137201869314367,0.3372340292006848
116,18,18,0.35468087881717814,-0.6236095644623235
117,15,16,-0.11734292976977152,0.23079286660604695
118,17,18,0.34562578975583197,1.9433443478812632e-17
119,16,17,-0.10259783520851541,-0.13344540864134474
120,17,18,0.4846047393558072,0.41971722281827917
121,16,17,0.178697434534589,0.3662704470798053
122,16,18,0.03424938726253706,-0.18856325825092415
123,17,18,-0.1456438162508838,-0.12403473458920852
124,18,18,0.28934382933975705,-0.24455799402225925
125,17,18,-0.10765704024436233,0.28953814140686435
126,16,17,-0.05310441565643049,0.5701892148583142
127,17,17,0.2011869540407391,-0.3872983346207417
128,16,14,-0.04006415401075019,-0.5121225473908557
129,18,18,0.12108986992412073,0.10846522890932805
130,17,18,0.5340595734722972,0.17916128329552333
131,18,18,0.012122325333513805,0.5568577380035695
132,16,16,0.22118697760190437,-0.140028008402801
133,18,18,-0.17687555985264372,0.1304372986874877
134,14,15,-0.07407971974871924,-0.14925557853149835
135,18,18,0.26405936716257933,0.4113766756037211
136,18,18,-0.010814129022001845,0.2407198247637385
137,17,18,0.3097129077093716,0.6536873917005497
138,18,18,0.3323357865906784,0.2357022603955158
139,18,18,-0.27105237087157524,
140,18,18,-0.21793430611327835,0.40282550632471226
141,18,18,,0.3716727114919866
142,18,18,0.48921202017426185,0.568418628315332
143,18,18,-0.04454354031873738,0.5638488233179835
144,18,18,0.5786040171789788,0.7058326463573161
145,17,17,0.3992029894927183,0.23022776553883198
146,15,15,0.5707301455353496,0.5183975481202548
147,17,16,-0.35949204120160494,0.07590333900710816
148,15,16,0.6226998490772391,0.5393598899705937
149,18,16,0.6173320833221788,0.583211843519804
150,17,17,0.0467333091488521,0.10160233121274909
151,17,18,0.6480254302377572,0.5325992836703611
152,11,14,0.05496497099293126,-0.17541160386140583
153,15,16,0.4639468038162355,0.3227591079031192
155,17,18,0.18324278305074312,0.19599838302001013
156,17,18,0.15441593906861692,0.2044652050273827
157,16,18,0.25549201240897834,0.015860233735255684
158,17,17,0.3584171282707313,0.2696459287205975
159,15,18,-0.08757957619688773,0.33333333333333337
160,15,15,-0.11518245674418134,-0.058750491612575506
161,17,16,0.133767187799166,0.16843038421330375
162,11,12,0.32578518495014736,-0.4727889717037675
163,17,16,0.2828050076537522,-0.03021989426077491
164,17,17,0.47303311784537067,0.09996096037329262
165,18,18,,0.6741998624632421
166,15,18,0.25969098926447826,0.24806946917841688
167,18,18,0.15789837802147771,-0.03666966555305362
168,15,16,0.158113883008419,-0.40006401536409736
169,16,16,0.4248040421862741,0.33108863888828155
170,11,12,-0.22082097898955333,0.5580523396538208
171,18,18,0.13801311186847084,0.5285848970179547
172,18,18,0.2830767569602383,0.18844220043357746
173,16,18,0.04794633014853841,0.49433434471665477
174,18,18,-0.33183182419798407,0.4742436749151497
175,17,17,0.4349751191708487,-0.5295089247659883
176,14,16,0.5688545557679726,-0.05660472749601484
177,18,18,0.11549283573690154,-0.37244156032265396
178,14,16,0.31189143077590264,-0.1118033988749895
179,14,14,-0.3600557616747044,0.42023031949290335
180,18,18,0.3487429162314579,0.386838633171351
181,18,17,0.3924808949041753,0.3360587281808532
