feature,n,beta_omega,p_omega,beta_kappa,p_kappa,r2,sample,test,clinical,beta_feat,p_feat,r2_full,r2_base,delta_r2
anx_trait,286,0.09412743453814192,0.13781470862856204,0.032703325777968334,0.6067821784556803,0.012202123552571997,exp,A_feature_vs_params,,,,,,
anx_react_T,286,-0.009764292907564014,0.8779732814990397,-0.05229455255792282,0.41280349328980237,0.0031945633652020744,exp,A_feature_vs_params,,,,,,
anx_react_D,286,0.054692133423957234,0.39013767256685905,-0.03891199702827308,0.5422046309713555,0.002970410649793309,exp,A_feature_vs_params,,,,,,
anx_state_sd,286,-0.09942515103912322,0.11771814872928194,0.04709941755927303,0.45944976264953374,0.008743976206929127,exp,A_feature_vs_params,,,,,,
conf_trait,288,-0.1629845082152009,0.008878568427432567,-0.10982242561857913,0.0782143788677589,0.05178126661670768,exp,A_feature_vs_params,,,,,,
conf_react_T,288,0.016680248357973652,0.793035956998992,-0.011977795707969406,0.8512130638899921,0.0002758992264357829,exp,A_feature_vs_params,,,,,,
conf_react_D,288,-0.06392646360756374,0.3135222573044487,-0.031408530911306985,0.621789568779249,0.006555217428894533,exp,A_feature_vs_params,,,,,,
conf_state_sd,288,-0.07598816840161932,0.23141156146966402,0.03879368642224118,0.5426518960519046,0.005137776657253568,exp,A_feature_vs_params,,,,,,
anx_trait,277,-0.08284126705697718,0.1903164465593276,0.021965701919686265,0.7272623407907152,0.006261076588590764,conf,A_feature_vs_params,,,,,,
anx_react_T,277,0.006861925135608849,0.913741649958809,-0.01480521808868802,0.8146920114699148,0.00020641227138207263,conf,A_feature_vs_params,,,,,,
anx_react_D,277,0.034220817330642764,0.5868691397579419,-0.11625125938651716,0.06489473989603461,0.012383358364181363,conf,A_feature_vs_params,,,,,,
anx_state_sd,277,-0.009027028482477358,0.8865124964814363,0.059361640961279466,0.3469679536671923,0.0033103187740646245,conf,A_feature_vs_params,,,,,,
conf_trait,276,-0.14832943783404964,0.017444172029306284,-0.0944032321138913,0.12849076825253297,0.03970063234838295,conf,A_feature_vs_params,,,,,,
conf_react_T,276,-0.03134076756924136,0.6196178662855476,0.08689029907338507,0.16870693828067762,0.006952793813867486,conf,A_feature_vs_params,,,,,,
conf_react_D,276,-0.05639845362188315,0.37173119347570044,-0.05312348076621509,0.3993388614267105,0.007881829509167049,conf,A_feature_vs_params,,,,,,
conf_state_sd,276,-0.10598080421652833,0.09230429082568573,0.11524906252086393,0.06685121342889135,0.017269290756360856,conf,A_feature_vs_params,,,,,,
anx_trait,286,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,0.2607162132038489,9.350834731645256e-06,0.07078512320464314,0.0036415936361022805,0.06714352956854086
anx_trait,286,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Depression,0.21797078837175746,0.00022298406955206017,0.053762214916259654,0.006830688653439609,0.046931526262820045
anx_trait,286,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Total,0.021430216161295427,0.7194887673491767,0.01015293104370607,0.009699280755046003,0.00045365028866006796
anx_trait,286,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Social,0.1359953200840125,0.021824196216969242,0.031347851488813694,0.013078799349019676,0.018269052139794018
anx_trait,286,,,,,,exp,B_clinical_vs_feature_controlling_params,PHQ9_Total,0.2116460352711278,0.00034624636725427265,0.049002591400788,0.004755129617108778,0.04424746178367922
anx_trait,285,,,,,,exp,B_clinical_vs_feature_controlling_params,STAI_Trait,-0.21481854428841346,0.00028698946885844266,0.04985656147649786,0.004240811111792753,0.04561575036470511
anx_trait,286,,,,,,exp,B_clinical_vs_feature_controlling_params,OASIS_Total,0.21402168477149477,0.00029441671829044024,0.050575110042419325,0.005328750194853904,0.04524635984756542
anx_react_T,286,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,-0.013356972682649203,0.8226302957414333,0.0038194324173889127,0.0036415936361022805,0.00017783878128663222
anx_react_T,286,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Depression,0.011629434688350999,0.8450157445635382,0.006965500359877308,0.006830688653439609,0.00013481170643769858
anx_react_T,286,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Total,0.01741237160829651,0.7694269129059813,0.01000150287821644,0.009699280755046003,0.00030222212317043695
anx_react_T,286,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Social,0.0855622132612056,0.14834275959159096,0.02037630463271234,0.013078799349019676,0.007297505283692662
anx_react_T,286,,,,,,exp,B_clinical_vs_feature_controlling_params,PHQ9_Total,-0.03017089333102632,0.6123521591024628,0.005662504465403395,0.004755129617108778,0.0009073748482946176
anx_react_T,285,,,,,,exp,B_clinical_vs_feature_controlling_params,STAI_Trait,0.010704890499983672,0.8576684317576647,0.004354984379995708,0.004240811111792753,0.00011417326820295504
anx_react_T,286,,,,,,exp,B_clinical_vs_feature_controlling_params,OASIS_Total,-0.052999677675608356,0.37303200434119593,0.008128742609225581,0.005328750194853904,0.002799992414371677
anx_react_D,286,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,-0.04291744634562898,0.4711293927676999,0.005478029616166724,0.0036415936361022805,0.0018364359800644436
anx_react_D,286,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Depression,-0.0496862980183333,0.40328298505502186,0.009292083727637235,0.006830688653439609,0.0024613950741976254
anx_react_D,286,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Total,-0.04516646790673659,0.44679861807058024,0.011733230911312287,0.009699280755046003,0.0020339501562662843
anx_react_D,286,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Social,0.01923331797601468,0.7456542822606282,0.013447621053532921,0.013078799349019676,0.0003688217045132447
anx_react_D,286,,,,,,exp,B_clinical_vs_feature_controlling_params,PHQ9_Total,0.011220429400695847,0.8505389994317519,0.004880653684179337,0.004755129617108778,0.0001255240670705593
anx_react_D,285,,,,,,exp,B_clinical_vs_feature_controlling_params,STAI_Trait,-0.08740171925125981,0.14222773946317868,0.011856990927796018,0.004240811111792753,0.007616179816003266
anx_react_D,286,,,,,,exp,B_clinical_vs_feature_controlling_params,OASIS_Total,-0.009460346322969443,0.8737342080448447,0.005417982501138896,0.005328750194853904,8.923230628499201e-05
anx_state_sd,286,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,0.06278175995804959,0.2929451466752734,0.007548678205505199,0.0036415936361022805,0.003907084569402919
anx_state_sd,286,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Depression,0.05934241531961241,0.31946300088403734,0.010321418802586968,0.006830688653439609,0.0034907301491473586
