sample,predictor,outcome,a,b,indirect,lo,hi,p
exploratory,log_om_z,DASS21_Anxiety_z,0.014811755276826993,0.013185252931654335,0.00019529673968672967,-0.00652522024152234,0.008067873025125722,0.902
exploratory,log_om_z,DASS21_Depression_z,0.014811755276826993,0.05626507220387095,0.0008333844801167372,-0.008019972626386894,0.011814638516462504,0.8313333333333334
exploratory,log_om_z,OASIS_Total_z,0.014811755276826993,-0.010511432343560327,-0.0001556927634817396,-0.008176709868773235,0.006664301666307343,0.97
exploratory,log_om_z,AMI_Total_z,0.014811755276826993,0.06873470474019498,0.0010180816256367283,-0.00977381438929657,0.012830713698936604,0.8306666666666667
exploratory,log_om_z,AMI_Social_z,0.014811755276826993,0.12686745426422175,0.0018791296851556937,-0.014275687359154958,0.018875467205266557,0.798
confirmatory,log_om_z,DASS21_Anxiety_z,-0.010380169843733444,-0.07242707928453894,0.0007518053842590623,-0.009559188181159976,0.012500837459473727,0.8673333333333333
confirmatory,log_om_z,DASS21_Depression_z,-0.010380169843733444,0.08489618483193091,-0.0008812368176404298,-0.01455870290480221,0.009935835703041733,0.8413333333333334
confirmatory,log_om_z,OASIS_Total_z,-0.010380169843733444,0.14058077384348872,-0.0014592523092588929,-0.01964770994224815,0.0159777289675443,0.8413333333333334
confirmatory,log_om_z,AMI_Total_z,-0.010380169843733444,0.15456817184043406,-0.0016044438761390826,-0.021310777501670465,0.017341463097760853,0.8393333333333334
confirmatory,log_om_z,AMI_Social_z,-0.010380169843733444,0.17116425426410553,-0.0017767140304373917,-0.023407337379294083,0.019152121113437986,0.838
exploratory,log_kap_z,DASS21_Anxiety_z,-0.063229061896967,0.009844783028315837,-0.0006224763954595923,-0.012030193991590206,0.008716551303569004,0.874
exploratory,log_kap_z,DASS21_Depression_z,-0.063229061896967,0.05101796032938878,-0.0032258177715239304,-0.017548100723127825,0.005146715097798369,0.5006666666666667
exploratory,log_kap_z,OASIS_Total_z,-0.063229061896967,-0.013092656648680442,0.0008278363976351522,-0.00981722504409752,0.011075054911857788,0.8753333333333333
exploratory,log_kap_z,AMI_Total_z,-0.063229061896967,0.06729819952780393,-0.004255202023497951,-0.018959962202515616,0.005362703326509784,0.43466666666666665
exploratory,log_kap_z,AMI_Social_z,-0.063229061896967,0.12499961684678168,-0.007903608510702318,-0.027006943545153917,0.005623346234484097,0.27266666666666667
confirmatory,log_kap_z,DASS21_Anxiety_z,-0.022387241576644533,-0.07182035426363938,0.001607859621020287,-0.008149131955565317,0.015591473403402998,0.7146666666666667
confirmatory,log_kap_z,DASS21_Depression_z,-0.022387241576644533,0.08707459011322707,-0.001949359884052118,-0.01527552156709477,0.009602554937832717,0.716
confirmatory,log_kap_z,OASIS_Total_z,-0.022387241576644533,0.14230025800344698,-0.0031857102523420123,-0.021616128603704203,0.014276603254800223,0.682
confirmatory,log_kap_z,AMI_Total_z,-0.022387241576644533,0.15529286179240548,-0.003476578812075053,-0.0255322489091874,0.01395812911155934,0.6753333333333333
confirmatory,log_kap_z,AMI_Social_z,-0.022387241576644533,0.17001824893528528,-0.0038062396113523185,-0.027933287535395434,0.015087396098398346,0.6746666666666666
