sample,predictor,outcome,a,b,indirect,lo,hi,p
exploratory,log_om_z,DASS21_Anxiety_z,0.07536936033867664,0.25221921531975655,0.019009600923773004,-0.011439017071040785,0.053350079024749815,0.23266666666666666
exploratory,log_om_z,DASS21_Depression_z,0.07536936033867664,0.21221275877384127,0.015994339884490304,-0.009890913268005473,0.04438820956795011,0.23266666666666666
exploratory,log_om_z,OASIS_Total_z,0.07536936033867664,0.2219304203568743,0.016726753821991236,-0.010369199978433653,0.04672350362578609,0.23266666666666666
exploratory,log_om_z,STAI_Trait_z,0.0727736271491606,-0.20572141348953554,-0.014971093441885757,-0.043636830841915976,0.010369486244043356,0.25866666666666666
confirmatory,log_om_z,DASS21_Anxiety_z,-0.053263056127346574,0.1958152872922257,-0.010429720637638312,-0.03644916439176115,0.01304687964401879,0.35133333333333333
confirmatory,log_om_z,DASS21_Depression_z,-0.053263056127346574,0.11622171015721229,-0.006190323471319804,-0.027740302030738292,0.007487783598833094,0.38666666666666666
confirmatory,log_om_z,OASIS_Total_z,-0.053263056127346574,0.17574449171341186,-0.00936068872620345,-0.03283541444527219,0.012020099985867266,0.352
confirmatory,log_om_z,STAI_Trait_z,-0.05325489460581546,-0.0821789453986457,0.00437643107602194,-0.0061212708394468174,0.02139843555221619,0.4593333333333333
exploratory,log_kap_z,DASS21_Anxiety_z,0.03569055520293226,0.24826860463793854,0.00886084433898531,-0.02545786616739754,0.045509291964366365,0.602
exploratory,log_kap_z,DASS21_Depression_z,0.03569055520293226,0.21237407827974497,0.007579748764515095,-0.02169431170832637,0.03964915582801913,0.602
exploratory,log_kap_z,OASIS_Total_z,0.03569055520293226,0.21587287930024046,0.007704622915481165,-0.022454280169872717,0.04139122861098071,0.602
exploratory,log_kap_z,STAI_Trait_z,0.03252895132229958,-0.20860599028465843,-0.006785734103509754,-0.04284215904935049,0.021605354392612047,0.6273333333333333
confirmatory,log_kap_z,DASS21_Anxiety_z,-0.003842191988204464,0.19687250977411083,-0.0007564219797517937,-0.023989453728538782,0.020748896865953527,0.9146666666666666
confirmatory,log_kap_z,DASS21_Depression_z,-0.003842191988204464,0.11763034663533867,-0.00045195837541201216,-0.01762429570770308,0.013930131739860541,0.9113333333333333
confirmatory,log_kap_z,OASIS_Total_z,-0.003842191988204464,0.1789215933521652,-0.0006874511124944663,-0.02268717492017255,0.018386351202373207,0.9146666666666666
confirmatory,log_kap_z,STAI_Trait_z,-0.004169511141082317,-0.08520407047787826,0.0003552593211230763,-0.01111942165205369,0.01397729767116896,0.9053333333333333
