scale,r_exp_insample,r_conf_oos,p_conf
DASS21_Stress,0.1129704545341987,0.04707340048390263,0.4326881322121811
DASS21_Anxiety,0.09687428972503676,-0.002465227480066296,0.9672427443007042
DASS21_Depression,0.15399847506176811,-0.06540600987834114,0.27539426453459426
AMI_Behavioural,0.10796886170390255,0.0819053725428744,0.17171770943773026
AMI_Social,0.13778795661480014,0.18972008899547146,0.0014254945199374967
AMI_Emotional,0.16217140866518792,0.032138060402115705,0.5923005293351322
MFIS_Physical,0.10193101439989061,0.0006150114123259554,0.9918257573362861
MFIS_Cognitive,0.09263991213631292,-0.03338696406190413,0.5779875460086019
MFIS_Psychosocial,0.12786637682004057,-0.07760624114506334,0.195408204747989
OASIS_Total,0.13527526138875423,0.06613506944355926,0.27006682382307134
PHQ9_Total,0.11706894428558155,-0.005776269116836197,0.9233427610979863
STICSA_Total,0.07089138096354201,-0.03359589188096164,0.575609034211717
STAI_Trait,0.1236141785809901,-0.11757041466655731,0.049373765921246315
